k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.01577650870463, 149.96506561159455, -100.064061324771, 1.1603695529310765, 1.983830248908501]|84555.4765625000000000|      2.00000000|[25, 8, 0, 2]                                                              |  | trying linear partial model with 13 points | iterate success | actual_k=4
       2|[49.01577650870463, 149.96506561159455, -100.064061324771, 1.1603695529310765, 1.983830248908501]|84555.4765625000000000|      1.00000000|[49, 16, 0, 4]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[48.02020455918265, 149.90012842574504, -100.13029756078475, 1.1744406940414616, 1.9896970406663177]|81284.0859375000000000|      2.00000000|[73, 24, 0, 6]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       4|[46.258450548366426, 150.1594362207269, -100.21644887806565, 2.026024457178986, 1.679269403807269]|75733.7890625000000000|      4.00000000|[97, 32, 0, 8]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       5|[46.258450548366426, 150.1594362207269, -100.21644887806565, 2.026024457178986, 1.679269403807269]|75733.7890625000000000|      2.00000000|[121, 40, 1, 11]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[44.584399030330026, 150.3868990574284, -99.73455791043796, 2.5104654394826578, 0.8553093302216391]|70749.5078125000000000|      4.00000000|[146, 48, 1, 13]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       7|[44.584399030330026, 150.3868990574284, -99.73455791043796, 2.5104654394826578, 0.8553093302216391]|70749.5078125000000000|      2.00000000|[170, 56, 1, 15]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[44.584399030330026, 150.3868990574284, -99.73455791043796, 2.5104654394826578, 0.8553093302216391]|70749.5078125000000000|      1.00000000|[194, 64, 1, 17]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[43.807445716380975, 150.0765985203318, -99.96437444773896, 2.516369916134446, 0.3581105561286187]|68099.7734375000000000|      2.00000000|[218, 72, 1, 19]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
      10|[43.807445716380975, 150.0765985203318, -99.96437444773896, 2.516369916134446, 0.3581105561286187]|68099.7734375000000000|      1.00000000|[242, 80, 2, 22]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
