k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.00970453443009, 149.98939574735024, -99.89224731670625, 0.9254234084750196, 1.9549430145600113]|84575.2343750000000000|      2.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[49.00970453443009, 149.98939574735024, -99.89224731670625, 0.9254234084750196, 1.9549430145600113]|84575.2343750000000000|      1.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[48.03356469081964, 149.92610444951293, -100.02414228815107, 0.7796770804045248, 2.022076774292078]|81358.5468750000000000|      2.00000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[48.03356469081964, 149.92610444951293, -100.02414228815107, 0.7796770804045248, 2.022076774292078]|81358.5468750000000000|      1.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[47.161634250567495, 150.1600347881983, -99.7720307161434, 0.549612139710363, 1.7603062978676411]|78714.2656250000000000|      2.00000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[47.161634250567495, 150.1600347881983, -99.7720307161434, 0.549612139710363, 1.7603062978676411]|78714.2656250000000000|      1.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[46.78803636259944, 150.74433835664857, -100.0999892707094, 0.3827131083957014, 2.379662300369677]|77844.3750000000000000|      2.00000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       8|[46.78803636259944, 150.74433835664857, -100.0999892707094, 0.3827131083957014, 2.379662300369677]|77844.3750000000000000|      1.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[46.78803636259944, 150.74433835664857, -100.0999892707094, 0.3827131083957014, 2.379662300369677]|77844.3750000000000000|      0.50000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[46.78803636259944, 150.74433835664857, -100.0999892707094, 0.3827131083957014, 2.379662300369677]|77844.3750000000000000|      0.25000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[46.59022654877913, 150.74261293504546, -100.11479477997327, 0.5348595592706102, 2.378917412277624]|76967.5234375000000000|      0.50000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[46.16716355824963, 150.7084959242846, -100.22115719565431, 0.7760174822407416, 2.359330979723346]|75559.8750000000000000|      1.00000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      13|[46.16716355824963, 150.7084959242846, -100.22115719565431, 0.7760174822407416, 2.359330979723346]|75559.8750000000000000|      0.50000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[45.67841847787312, 150.62324607330734, -100.19924592743739, 0.8018432827735665, 2.307238430658395]|74036.0859375000000000|      1.00000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[45.67841847787312, 150.62324607330734, -100.19924592743739, 0.8018432827735665, 2.307238430658395]|74036.0859375000000000|      0.50000000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      16|[45.18933276583944, 150.5255828354267, -100.222816808113, 0.8266738876204518, 2.2980236111656076]|72516.5546875000000000|      1.00000000|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
