k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 100.0, 200.0]                                             |87848.8533336333348416|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.003174193969095, 149.94279808439123, -100.05536699908993, 99.99916987440253, 200.00024409994796]|84511.8378303303616121|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       2|[47.0095976082092, 149.82423737349643, -100.16261991312035, 100.0087796844002, 199.99977663249894]|78036.0812962359923404|      4.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       3|[43.02730517012825, 149.5792460336902, -100.43663948922449, 99.93787932699622, 200.0345989278709]|65878.9690890153724467|      8.00000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       4|[35.06861039123451, 149.0567262244973, -101.03956186746647, 99.97410542077039, 199.88857584286234]|44730.7326173283217940|     16.00000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       5|[19.225998669400752, 147.64024580989636, -101.53775952495637, 101.13086713111989, 201.0797678953075]|15232.4875068811143137|     32.00000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       6|[-11.46863133869487, 147.17493484321884, -106.48390225303457, 101.55709778415833, 193.53144530586454]|5485.8345586289633502|     64.00000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       7|[-11.46863133869487, 147.17493484321884, -106.48390225303457, 101.55709778415833, 193.53144530586454]|5485.8345586289633502|     32.00000000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[-11.46863133869487, 147.17493484321884, -106.48390225303457, 101.55709778415833, 193.53144530586454]|5485.8345586289633502|     16.00000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[4.38245000349389, 146.5262212706895, -108.14656550709921, 101.58263687072272, 194.77935942260987]|2210.2658201583735718|     32.00000000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
      10|[4.38245000349389, 146.5262212706895, -108.14656550709921, 101.58263687072272, 194.77935942260987]|2210.2658201583735718|     16.00000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[4.38245000349389, 146.5262212706895, -108.14656550709921, 101.58263687072272, 194.77935942260987]|2210.2658201583735718|      8.00000000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[-3.2310141556883485, 144.7237511113832, -109.74059229338224, 101.42745224450415, 194.30897536882463]|1431.9671649063079713|     16.00000000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      13|[-3.2310141556883485, 144.7237511113832, -109.74059229338224, 101.42745224450415, 194.30897536882463]|1431.9671649063079713|      8.00000000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[1.9979621266483543, 139.5201516174898, -111.90261184762662, 99.25857428187689, 194.75841855345143]|889.3152375322156331|     16.00000000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      15|[1.9979621266483543, 139.5201516174898, -111.90261184762662, 99.25857428187689, 194.75841855345143]|889.3152375322156331|      8.00000000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[1.9979621266483543, 139.5201516174898, -111.90261184762662, 99.25857428187689, 194.75841855345143]|889.3152375322156331|      4.00000000|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      17|[-1.628698114146216, 138.4168380089743, -112.88518077679001, 99.0916383928864, 195.5563692333271]|695.1980549820194710|      8.00000000|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      18|[-1.628698114146216, 138.4168380089743, -112.88518077679001, 99.0916383928864, 195.5563692333271]|695.1980549820194710|      4.00000000|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      19|[1.8974171948166672, 136.78671933823125, -113.81667417528978, 99.11831674054856, 195.7584391754507]|630.1244371432821936|      8.00000000|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      20|[1.8974171948166672, 136.78671933823125, -113.81667417528978, 99.11831674054856, 195.7584391754507]|630.1244371432821936|      4.00000000|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      21|[-1.6026433212680762, 135.57523149914303, -115.10015902894648, 98.44260872589923, 196.1802909371614]|484.7705929396230431|      8.00000000|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      22|[-1.6026433212680762, 135.57523149914303, -115.10015902894648, 98.44260872589923, 196.1802909371614]|484.7705929396230431|      4.00000000|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      23|[1.012234342698331, 133.147596949699, -116.62424006956618, 97.47814468574653, 196.05383385467425]|284.5362832959776256|      8.00000000|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      24|[1.012234342698331, 133.147596949699, -116.62424006956618, 97.47814468574653, 196.05383385467425]|284.5362832959776256|      4.00000000|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      25|[-0.519004601492054, 132.0423796065861, -120.13759258284432, 97.62555809864158, 196.3154162000611]|154.0317115669894577|      8.00000000|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
