k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      0.50000000|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      0.25000000|[55, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[1.3271945310343405, 0.5531885203410088, 0.7119236288572932, 0.7651008556108476, 0.4614525235056219, 3.001930470583421, 4.989111993956064, 6.999437890376995, 2.147277150738588, 4.550584218929691, 5.527349967807299]|  2.3267285823822021|      0.50000000|[82, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | iterate success | actual_k=2
       4|[1.3271945310343405, 0.5531885203410088, 0.7119236288572932, 0.7651008556108476, 0.4614525235056219, 3.001930470583421, 4.989111993956064, 6.999437890376995, 2.147277150738588, 4.550584218929691, 5.527349967807299]|  2.3267285823822021|      0.25000000|[109, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[1.3271945310343405, 0.5531885203410088, 0.7119236288572932, 0.7651008556108476, 0.4614525235056219, 3.001930470583421, 4.989111993956064, 6.999437890376995, 2.147277150738588, 4.550584218929691, 5.527349967807299]|  2.3267285823822021|      0.12500000|[136, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[1.32913185938158, 0.5149612104591719, 0.750893301950616, 0.7660594456272203, 0.5125956317730547, 3.038664802697559, 5.023121462335155, 7.0487698190871315, 2.1752798630670536, 4.549820498516265, 5.592926779614643]|  1.8139891624450684|      0.25000000|[162, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       7|[1.32913185938158, 0.5149612104591719, 0.750893301950616, 0.7660594456272203, 0.5125956317730547, 3.038664802697559, 5.023121462335155, 7.0487698190871315, 2.1752798630670536, 4.549820498516265, 5.592926779614643]|  1.8139891624450684|      0.12500000|[189, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[1.3561960655905927, 0.4912220508500261, 0.6915349991239879, 0.8343328721077773, 0.525505788045854, 3.0400135210162147, 4.970302066296717, 7.059901587823577, 2.210966765000733, 4.590536553913055, 5.581495945016195]|  1.6352820396423340|      0.25000000|[215, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       9|[1.3561960655905927, 0.4912220508500261, 0.6915349991239879, 0.8343328721077773, 0.525505788045854, 3.0400135210162147, 4.970302066296717, 7.059901587823577, 2.210966765000733, 4.590536553913055, 5.581495945016195]|  1.6352820396423340|      0.12500000|[242, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[1.3541509192367778, 0.3968767164072676, 0.699043868686089, 0.8198374359081021, 0.52111551839587, 3.053164777214935, 4.995927177348052, 7.087063113262722, 2.2518784650855084, 4.612884983537296, 5.633394212369559]|  1.2082560062408447|      0.25000000|[269, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      11|[1.3194589610105047, 0.4257236885835048, 0.6991965308430219, 0.7541562977985703, 0.4203430321627254, 3.09855066484576, 4.98373774389727, 7.065539634069724, 2.434723437099481, 4.659515223721531, 5.721239569156887]|  0.9374146461486816|      0.50000000|[296, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      12|[1.3194589610105047, 0.4257236885835048, 0.6991965308430219, 0.7541562977985703, 0.4203430321627254, 3.09855066484576, 4.98373774389727, 7.065539634069724, 2.434723437099481, 4.659515223721531, 5.721239569156887]|  0.9374146461486816|      0.25000000|[322, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      13|[1.3194589610105047, 0.4257236885835048, 0.6991965308430219, 0.7541562977985703, 0.4203430321627254, 3.09855066484576, 4.98373774389727, 7.065539634069724, 2.434723437099481, 4.659515223721531, 5.721239569156887]|  0.9374146461486816|      0.12500000|[348, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
