k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|328350.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.1983922755064187, 1.0662799270445462, 0.9901171292496046, 0.9807437126899872, 0.8636167058487394, 1.1353859288427306, 1.0648885674827309, 0.8547185875689536, 0.944477984957487, 1.125904037150165, 0.8837996450809114, 1.0276228915867034, 0.9115362737593657, 1.0444312939354652, 0.9779785189807405, 0.9723807222466468, 1.017110389301697, 1.0421959032848742, 1.03477749753052, 1.0428862142184754, 0.9911533037020018, 0.9455511225978778, 0.9966341535149559, 1.1093322107692398, 1.1763233588749407, 0.9299920729742982, 1.0946841150524795, 0.9019018865330258, 0.9264995133682004, 1.1415343420940929, 0.9301936931688997, 0.9131872583664724, 0.9516677844911136, 1.0884185426614141, 1.0444849153978533, 1.1465860043964926, 0.9633110830014902, 0.9582420770609608, 0.9497851862458386, 0.9905140647711527, 1.2107982536800694, 0.9668117913394053, 0.9649054056950187, 0.9119208448663391, 0.9698161875467123, 1.0913512989272973, 1.0107598920893965, 0.7684639008284462, 1.1077050104403248, 1.2433864669059485, 0.8809918560651983, 1.0988655663826803, 0.9862400833557232, 1.087374723453557, 0.9221107197451346, 1.115121748386511, 1.1025656346231214, 0.9572622575882268, 1.0237230699291293, 1.1028533257444204, 1.1249670698896523, 0.8494873652575977, 1.0262320072399982, 1.1467440482879205, 1.08024406386521, 0.9722710077267557, 1.0911092671854623, 0.8309812856384273, 0.8477274761057476, 1.023065515384182, 0.839362374224036, 1.121913845308506, 1.0764790229923773, 1.070825025521591, 0.992315879244424, 1.0714975238386752, 0.9973624142853671, 0.8630309508075467, 1.156053958372307, 0.9037598039607264, 0.9684743967021504, 1.0855581010793982, 1.0033414240707144, 1.056965459382826, 0.970780931733952, 1.1333474720342362, 1.2225554566496402, 1.155445150391057, 1.05025023771881, 1.1646614138181512, 0.9419847754205851, 0.9910098111084057, 1.0151335566436939, 1.0431254857793621, 0.9474014180377124, 1.2211240078747179, 1.055508426380681, 1.0193743391600092, 1.051676545526031, 0.9839025349505992]|327720.7500000000000000|      2.00000000|[25, 8, 0, 2]                                                              |  | trying linear partial model with 13 points | iterate success | actual_k=4
       2|[1.1583878104428293, 1.0698588306650962, 0.8148564087429284, 1.2122365451284318, 0.9826211617698088, 1.2598521767874435, 0.9357181464873328, 0.8409055460175793, 0.7458613986276361, 1.0960592075731528, 0.8020189697098368, 0.988532489423313, 0.9392021028928818, 0.9565884240392214, 0.8686870344480855, 1.118387199175767, 1.006162525729721, 1.1361966257407503, 1.0004266466884855, 0.5776755116161802, 0.8987988271999872, 0.931017094642128, 1.0772426559114894, 1.1306634518988767, 1.1549049948584142, 0.952350986922042, 0.9527142377163084, 1.0949290234593527, 1.099342948497814, 1.1768793053475588, 0.8784424519824886, 0.9290440783207125, 1.2887617556254667, 0.7731214430251065, 0.9437511822561193, 0.7435714883156425, 0.9527105805339726, 0.7753516866623439, 1.2634064887743912, 0.87418657078855, 1.0960322442133954, 1.2973506431357034, 1.0776286416558263, 0.6775314575466511, 1.200379332730064, 1.3025697381960417, 1.233672861660617, 0.9345665040813809, 1.1222748011832269, 1.3586709751211308, 0.7532468630342005, 0.9582702873746437, 1.1529032911294772, 1.3398506290506544, 0.8270364714210969, 1.5521684980709956, 0.9236379842609808, 0.8258412646529084, 1.3330934789058357, 1.3424488197242677, 0.6291103160034902, 0.8949575087500479, 1.156088108642657, 1.0624506800638343, 1.2703335906792141, 0.925001836752788, 1.3983706094467594, 1.0889280521808926, 0.6969689806238275, 1.0240064725791869, 0.7980914675166165, 1.0502067572132026, 1.2324351785582992, 1.0672895828086235, 1.0557595767938006, 1.3983810049911787, 1.058135961372224, 1.0924590705316084, 1.1612369816597439, 0.8113142840459894, 0.8341249857498805, 1.2422630282198521, 1.3216173863769174, 1.2387125531063823, 1.402761731769333, 1.4148427949412001, 1.444598597107929, 0.9441753993028325, 1.2867738849708856, 1.1559324427432083, 0.8593730866832944, 0.8691767757730342, 1.2966252356528591, 1.287174144489638, 1.1241893145810933, 1.032504565861018, 1.5477669620287573, 1.346550476020769, 1.0684580169843978, 0.6202729547707507]|325941.8437500000000000|      4.00000000|[49, 16, 0, 4]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       3|[1.4389498137998038, 0.9837234523030053, 0.3536050209719955, 1.0503212373742516, 1.347570960490229, 1.5231410514655748, 0.7746856676482228, 1.0805299473654413, 0.7882241125303813, 0.1920659492879121, 1.2516858318555737, 1.1430533830990297, 1.2108693620736957, 0.3079984903149957, 0.4630427899019945, 0.7676545628751386, 1.2499410681560332, 1.1790100433045356, 0.357072660366379, 0.2469025673445813, 1.0081008275189949, 0.257492815473454, 0.9487682447821982, 1.1289604852491113, 1.813037830091005, 1.0685724639502079, 0.7099292385733249, 1.1930577258170914, 1.340088799718094, 1.4245371143301997, 0.8066915878923484, 1.3545703160238305, 2.1039872250681726, -0.0920176175370712, 0.6069836124316148, 1.3481892277895273, 1.0194194007087543, 1.1419077660345442, 2.1374330667031867, 0.7412755866327991, 1.436599630982375, 1.3823110096740634, 1.4369873737108936, -0.0964433999602055, 1.5189516816085622, 1.2107870440952027, 1.768603914678947, 0.7842639686014399, 1.2313738129348888, 1.3887472183147127, 0.3823433611939163, 1.1367227481419069, 1.8103732923553157, 1.1201012399288581, 1.5832642799335395, 1.4937918618075745, 1.0972224349712463, 0.7363555390091583, 1.147729203022253, 1.6786267583957715, 0.9786739068538117, 0.7849636254542544, 1.4082835593963512, 1.014286603546592, 0.790883332050432, 0.3590127234852314, 1.3900537795476324, 1.0102110837212774, 0.3907054215162959, 0.3444970716149042, 1.0531388955699796, 0.6640846868268079, 1.357560818025035, 1.357556909561905, 1.0090956231105843, 1.7201209824286874, 0.66967800000748, 1.7089258648701968, 1.8136232132496337, 0.3299340084258517, 0.3536923669784254, 1.5117978839412172, 1.505681469538731, 1.4253843379113782, 1.7563712828758538, 1.8755033428296422, 0.8361665705316896, 0.4970024796639432, 0.9608024065054259, 0.8746548331943095, 1.1367062515314106, 1.3017963289910086, 0.8299976034144239, 1.4250243060810244, 1.101922123104971, 1.0260450984381675, 2.0498975348649373, 2.342099575431088, 1.113974969589667, 0.8115636679652876]|323043.3125000000000000|      8.00000000|[73, 24, 0, 6]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       4|[-0.0888502641519309, 1.0972419643288003, -0.258680869525244, 0.8845309559970382, 1.6005632665156742, 0.861366325635201, 0.173405486127069, 0.5188889708905159, 0.1342982843298566, 0.0991664134693183, 1.3262242782221725, 0.6642058246747031, 1.889560513687341, 0.3925027701638434, 1.695386227112861, -0.5179425902961075, 1.0522205896191406, 0.8955914189091483, -0.794331405809944, -0.3869154773796888, 0.863809667475363, -0.3317879670807651, 1.1667889711782042, 1.2648890956567107, 1.021358185932968, 2.3085064998715823, 0.1080001904605618, 0.3149996627538559, 2.3657416018117035, 2.323734770051956, 2.3248465242505647, 0.8533989249046624, 2.755647532643717, -0.5677427350181931, 0.2060608797025795, 2.7459479467363916, 0.0076173280095295, 1.3385859762743757, 2.86655888297402, 0.6924545455402615, 1.6283856701167996, 1.541915015088287, 2.459095951603747, -0.1460803663618609, 2.828546978175345, 0.0857585132923566, 2.9982992927998486, -0.8781741965008478, 0.7781715448324955, 2.0093352632098127, -0.1729926895019492, -1.086135352193418, 2.089878020214719, 1.3713021094915059, 1.8015066166802984, 0.9928517488837335, 2.2186639685355276, 1.2883077555093103, 0.8831095979008456, 0.8351419286977619, 1.8163302180365286, 1.4611641452716573, 0.9768424035912582, 1.5269144810132325, 1.3910600614809545, 1.1539573875620603, 0.2248786375079925, 2.4747959705881177, 0.9603886387944799, 0.4772884356275949, 1.0074839371119888, 0.7603784597196207, 1.6656658805552993, 2.6649413953938446, 0.7561901151744119, 1.213810052542439, 1.609429488504445, 3.1873368746519257, 1.7552339683392, 0.0387311405710993, 0.7730704424196684, 1.7998367921279605, 0.6718601291871306, 1.6871606120392615, 1.0698202785820305, 1.8309277279281002, 1.1560070894241619, 0.1528908722576517, 0.5763036468811971, 2.4821589769904002, -0.6120342999355477, 0.6957662010545916, 1.186973673593534, 0.8869853250243349, 0.7830593242611035, 1.2474111001681563, 2.216844563329053, 2.3977682016898982, -0.6119548869677522, -0.2956279169618841]|316819.9687500000000000|     16.00000000|[97, 32, 0, 8]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       5|[-0.9056521407054833, 1.097478102187112, 2.3776675438436685, 2.1188244527786084, 0.9288171516356339, 3.1037364287291376, -0.5248830539642942, 0.8250445434164, 1.404896433392392, 0.7429282511360562, 3.518396427753811, -0.3618818630094276, 3.9708328357160254, 0.2844823336314428, 2.6977772773237714, 1.1274110007835723, -1.8719187014883858, -2.1579747970400303, -0.1691948948068324, -1.0309750015675234, -2.624595098774888, 2.3207044555823164, 0.0296706311988038, 2.117129922594817, 1.7182309844706745, 3.6311486713045307, 1.1747587866918874, -0.8729366351719289, 6.403014445606242, 0.1485385464790037, 2.7697574973408794, 0.6533229385139212, 3.1661283040528327, 2.4049288176746435, -0.3526354123612748, 2.172607842697804, 0.9829580665745234, 2.502389156550503, 6.68679055607385, 1.416829898907273, 0.2774673676678621, -1.6206498463864323, 1.7712459954880404, -0.1550379516470565, 3.579408884469175, -0.6157092325152917, 4.190219898957732, -1.687887081479784, 2.8582105059379628, 3.0249598456984854, 0.4592180748850125, -3.0013428469743078, 3.0077076017411564, 2.2664155147805687, 4.0509194126055545, 2.8955765639426043, 3.9120937926018895, -0.2763668849558578, 2.4389953726091296, 0.1174192573247291, 2.5841453347707315, 2.8359745232627294, 2.992179032019086, 2.397177297833271, -1.5326540843460252, 1.0926467639832682, 1.0360657246812954, 2.2380152007337264, 0.7316019853524593, -2.03464339625171, 3.3760504017258084, 3.1994923829682316, 2.20749760436029, 4.93509243482588, 0.83986164946917, 0.2734316756673631, 3.1240084895834954, 3.7961716705030675, 6.064114318732683, -0.7507691561712972, -0.9645082993992642, 3.4649548455093053, 0.2593354468233062, 0.363851018120225, 2.8478471839055493, 2.6289481398744394, 2.540587344639156, 0.4063833703988318, 0.7051717667060873, 2.7330541838160274, -0.8592826228957606, 1.2041487839101968, -0.3805781908796815, 2.436112982147867, 0.5662026654107313, 1.1887728207001824, 2.12074852028913, -0.1766623672492562, -0.8417640316873136, -0.7705228179113688]|290034.1875000000000000|     32.00000000|[121, 40, 0, 10]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       6|[2.9318771171425753, 1.288069918986072, -0.3597294761389573, 3.6307933782344706, 1.5216487110025358, -1.130574343309862, -0.3352397434663715, -3.10484856385208, 3.8449523091247393, 4.146504939050927, 7.861943389844516, 4.363666507256263, 4.65774874869497, -0.0409560216121734, 2.1683490432262755, 1.0229215815874055, -3.0068957813369557, 5.023776377764792, -0.8427382680596496, -2.492394885150085, -3.5777590583250998, 3.5120758938402066, 0.0230069028964994, 2.9827209773486696, -2.6030049144026877, -1.483319782337026, 1.855756503854729, 0.5951255023106955, 3.6732532471371346, 4.316293853659022, 1.8979082171797446, -2.0726951522222983, 9.546272571721802, 0.3909944484729495, -8.326064977071583, -0.168638100046643, -2.88346146088808, 5.454819690989274, 6.876131490384775, -3.2311439478488095, 2.7880557595822832, -7.742303734591569, 2.2607263340614248, -0.4546270811616387, 4.832403873167248, -4.495660167435075, 3.1162208881986615, 1.0644765003800527, 3.710794444553026, 7.240466312936744, -5.211087208535235, -1.3285831829137436, 3.7854122069260208, 4.462192370115092, 4.4183574639796035, 2.265226027796289, 4.187088797870388, 0.8446047303329969, 1.7085711814322027, 3.1517754536531353, 6.451137977708048, 2.7542646961783475, 2.034235112575303, -2.2349579085458453, 5.666402562534471, 0.9639775849173564, -2.183602799898523, 8.091893961737892, 0.015542593077198, -3.3297391120606448, 8.30006387269109, 2.444321604284565, -5.111000353426893, 2.9180238997481527, 4.147071862606065, -2.25277884662359, 5.883525187956929, 7.065410355521864, 3.8785920138325447, -2.897858009431204, -2.963535957269839, 1.1408228771521167, 1.2417314645032842, -1.1364879202608509, 4.441838348431632, 3.172332060211558, 0.6102254578716768, 3.8420698089927052, 4.269160294846555, 3.7665127461606858, 2.686171598484975, 5.574326978832925, -2.185112750269245, 2.7244185710217375, -1.990023299543927, 8.60870455649766, 7.719360229049909, 0.348540872758346, -6.30003485787586, 0.5771184410512469]|225673.6093750000000000|     64.00000000|[145, 48, 0, 12]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       7|[2.9318771171425753, 1.288069918986072, -0.3597294761389573, 3.6307933782344706, 1.5216487110025358, -1.130574343309862, -0.3352397434663715, -3.10484856385208, 3.8449523091247393, 4.146504939050927, 7.861943389844516, 4.363666507256263, 4.65774874869497, -0.0409560216121734, 2.1683490432262755, 1.0229215815874055, -3.0068957813369557, 5.023776377764792, -0.8427382680596496, -2.492394885150085, -3.5777590583250998, 3.5120758938402066, 0.0230069028964994, 2.9827209773486696, -2.6030049144026877, -1.483319782337026, 1.855756503854729, 0.5951255023106955, 3.6732532471371346, 4.316293853659022, 1.8979082171797446, -2.0726951522222983, 9.546272571721802, 0.3909944484729495, -8.326064977071583, -0.168638100046643, -2.88346146088808, 5.454819690989274, 6.876131490384775, -3.2311439478488095, 2.7880557595822832, -7.742303734591569, 2.2607263340614248, -0.4546270811616387, 4.832403873167248, -4.495660167435075, 3.1162208881986615, 1.0644765003800527, 3.710794444553026, 7.240466312936744, -5.211087208535235, -1.3285831829137436, 3.7854122069260208, 4.462192370115092, 4.4183574639796035, 2.265226027796289, 4.187088797870388, 0.8446047303329969, 1.7085711814322027, 3.1517754536531353, 6.451137977708048, 2.7542646961783475, 2.034235112575303, -2.2349579085458453, 5.666402562534471, 0.9639775849173564, -2.183602799898523, 8.091893961737892, 0.015542593077198, -3.3297391120606448, 8.30006387269109, 2.444321604284565, -5.111000353426893, 2.9180238997481527, 4.147071862606065, -2.25277884662359, 5.883525187956929, 7.065410355521864, 3.8785920138325447, -2.897858009431204, -2.963535957269839, 1.1408228771521167, 1.2417314645032842, -1.1364879202608509, 4.441838348431632, 3.172332060211558, 0.6102254578716768, 3.8420698089927052, 4.269160294846555, 3.7665127461606858, 2.686171598484975, 5.574326978832925, -2.185112750269245, 2.7244185710217375, -1.990023299543927, 8.60870455649766, 7.719360229049909, 0.348540872758346, -6.30003485787586, 0.5771184410512469]|225673.6093750000000000|     32.00000000|[267, 88, 2, 24]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 37 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 61 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 74 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 86 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 99 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 111 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[-2.783565645089435, 0.5822633167500975, 2.2774005289804213, 1.544186996199302, 3.9195265732390188, -5.284460586723826, -3.4197213922177574, -0.5238130031108015, 0.9588548502752272, 5.071632470213649, 7.515387791318194, 3.7070781775442345, 1.80116117548492, 2.4511308601001915, 1.1758991519424273, -4.794704131100437, 2.4069963944753137, 3.435350266907064, -8.473866840695282, -8.468704690745778, -4.59811356991231, 2.2073968032176436, -5.805772794512746, 6.212659524954137, -4.992170712332584, -1.0683236439327346, 2.4994254144364993, -3.201029954140404, 5.7885740959946155, 3.919188609705171, 2.7274617662111726, 1.5945256021446519, 3.5920089933755337, 3.245932642654379, -3.0393246809201324, -1.8911429753210311, 1.7479512489623596, -0.4770239907790828, 6.246730445851697, -2.621110792147156, -2.5710322874586673, -1.0580440717672053, 1.334546165111835, -2.989732575140389, 6.1989232977713185, -1.935816642583922, 0.2151558751584783, 5.725867255151633, 4.906483803569574, 4.878168712764268, -7.8408514523972315, -2.691320531028163, -0.5248425797444827, 5.911325616389594, 3.6417458481046356, 3.5152578290753027, 7.2371382811299245, 4.492991204592563, 1.086078057027192, 2.26484870523837, 1.5442292112946525, 2.2392138356459803, 3.1796718160735638, -3.668988698310259, 5.75423020049719, -2.815271200079385, -3.683185917377135, 7.013905705186983, -2.0761619549474375, -9.932243630395533, 7.315289326440747, -2.5015685042312423, -4.797861997235922, 6.328067830887557, 6.793801082071576, -2.500976093567822, 2.8179518917431117, 9.88298814313325, 2.3098378623808697, -3.7648244749040782, -2.6944068305968636, -0.5111589890804904, 7.895231464415183, 0.1302991962724536, 8.429056900346662, 0.4159418257623906, 6.33817990337546, 3.809982338982172, 7.838418616914526, 1.1472655262878555, 2.1349358783399826, 8.951677089643331, -1.437470845656759, 8.23433013311841, -1.646703728172203, 9.761124889197966, 3.265219190276886, 0.4213133431238212, -8.71683499370776, -1.1305488199325326]|196473.0468750000000000|     64.00000000|[315, 104, 2, 28]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 37 points | iterate success | actual_k=4
       9|[-2.783565645089435, 0.5822633167500975, 2.2774005289804213, 1.544186996199302, 3.9195265732390188, -5.284460586723826, -3.4197213922177574, -0.5238130031108015, 0.9588548502752272, 5.071632470213649, 7.515387791318194, 3.7070781775442345, 1.80116117548492, 2.4511308601001915, 1.1758991519424273, -4.794704131100437, 2.4069963944753137, 3.435350266907064, -8.473866840695282, -8.468704690745778, -4.59811356991231, 2.2073968032176436, -5.805772794512746, 6.212659524954137, -4.992170712332584, -1.0683236439327346, 2.4994254144364993, -3.201029954140404, 5.7885740959946155, 3.919188609705171, 2.7274617662111726, 1.5945256021446519, 3.5920089933755337, 3.245932642654379, -3.0393246809201324, -1.8911429753210311, 1.7479512489623596, -0.4770239907790828, 6.246730445851697, -2.621110792147156, -2.5710322874586673, -1.0580440717672053, 1.334546165111835, -2.989732575140389, 6.1989232977713185, -1.935816642583922, 0.2151558751584783, 5.725867255151633, 4.906483803569574, 4.878168712764268, -7.8408514523972315, -2.691320531028163, -0.5248425797444827, 5.911325616389594, 3.6417458481046356, 3.5152578290753027, 7.2371382811299245, 4.492991204592563, 1.086078057027192, 2.26484870523837, 1.5442292112946525, 2.2392138356459803, 3.1796718160735638, -3.668988698310259, 5.75423020049719, -2.815271200079385, -3.683185917377135, 7.013905705186983, -2.0761619549474375, -9.932243630395533, 7.315289326440747, -2.5015685042312423, -4.797861997235922, 6.328067830887557, 6.793801082071576, -2.500976093567822, 2.8179518917431117, 9.88298814313325, 2.3098378623808697, -3.7648244749040782, -2.6944068305968636, -0.5111589890804904, 7.895231464415183, 0.1302991962724536, 8.429056900346662, 0.4159418257623906, 6.33817990337546, 3.809982338982172, 7.838418616914526, 1.1472655262878555, 2.1349358783399826, 8.951677089643331, -1.437470845656759, 8.23433013311841, -1.646703728172203, 9.761124889197966, 3.265219190276886, 0.4213133431238212, -8.71683499370776, -1.1305488199325326]|196473.0468750000000000|     32.00000000|[437, 144, 4, 40]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 38 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 50 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 62 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 74 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 87 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 99 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 111 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[-2.783565645089435, 0.5822633167500975, 2.2774005289804213, 1.544186996199302, 3.9195265732390188, -5.284460586723826, -3.4197213922177574, -0.5238130031108015, 0.9588548502752272, 5.071632470213649, 7.515387791318194, 3.7070781775442345, 1.80116117548492, 2.4511308601001915, 1.1758991519424273, -4.794704131100437, 2.4069963944753137, 3.435350266907064, -8.473866840695282, -8.468704690745778, -4.59811356991231, 2.2073968032176436, -5.805772794512746, 6.212659524954137, -4.992170712332584, -1.0683236439327346, 2.4994254144364993, -3.201029954140404, 5.7885740959946155, 3.919188609705171, 2.7274617662111726, 1.5945256021446519, 3.5920089933755337, 3.245932642654379, -3.0393246809201324, -1.8911429753210311, 1.7479512489623596, -0.4770239907790828, 6.246730445851697, -2.621110792147156, -2.5710322874586673, -1.0580440717672053, 1.334546165111835, -2.989732575140389, 6.1989232977713185, -1.935816642583922, 0.2151558751584783, 5.725867255151633, 4.906483803569574, 4.878168712764268, -7.8408514523972315, -2.691320531028163, -0.5248425797444827, 5.911325616389594, 3.6417458481046356, 3.5152578290753027, 7.2371382811299245, 4.492991204592563, 1.086078057027192, 2.26484870523837, 1.5442292112946525, 2.2392138356459803, 3.1796718160735638, -3.668988698310259, 5.75423020049719, -2.815271200079385, -3.683185917377135, 7.013905705186983, -2.0761619549474375, -9.932243630395533, 7.315289326440747, -2.5015685042312423, -4.797861997235922, 6.328067830887557, 6.793801082071576, -2.500976093567822, 2.8179518917431117, 9.88298814313325, 2.3098378623808697, -3.7648244749040782, -2.6944068305968636, -0.5111589890804904, 7.895231464415183, 0.1302991962724536, 8.429056900346662, 0.4159418257623906, 6.33817990337546, 3.809982338982172, 7.838418616914526, 1.1472655262878555, 2.1349358783399826, 8.951677089643331, -1.437470845656759, 8.23433013311841, -1.646703728172203, 9.761124889197966, 3.265219190276886, 0.4213133431238212, -8.71683499370776, -1.1305488199325326]|196473.0468750000000000|     16.00000000|[558, 184, 5, 51]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 26 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 38 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 50 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 62 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 74 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 86 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 98 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 110 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
