k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 5.0, 1.0]                                                                 |634.1111111111110858|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.2418161413061695, 4.0323631823871136, 0.9278616398592313]                    |272.2621765136718750|      2.00000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[2.2418161413061695, 4.0323631823871136, 0.9278616398592313]                    |272.2621765136718750|      1.00000000|[13, 4, 1, 5]                                                              |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[2.9297132945900404, 3.417463845056976, 1.313473246861542]                      |147.9383239746093750|      2.00000000|[20, 6, 1, 7]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[3.291311442388907, 1.477212118300389, 0.9899457884804781]                      |  7.9792032241821289|      4.00000000|[26, 8, 1, 9]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[3.291311442388907, 1.477212118300389, 0.9899457884804781]                      |  7.9792032241821289|      2.00000000|[32, 10, 1, 11]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[3.291311442388907, 1.477212118300389, 0.9899457884804781]                      |  7.9792032241821289|      1.00000000|[38, 12, 1, 13]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[3.4210831192984816, 0.4890228772659546, 0.9084513974105055]                    |  2.6461651325225830|      2.00000000|[44, 14, 1, 15]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[3.4210831192984816, 0.4890228772659546, 0.9084513974105055]                    |  2.6461651325225830|      1.00000000|[50, 16, 1, 17]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[3.4210831192984816, 0.4890228772659546, 0.9084513974105055]                    |  2.6461651325225830|      0.50000000|[56, 18, 1, 19]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[3.899006633355391, 0.3738756782098743, 0.9997215308662778]                     |  1.3121536970138550|      1.00000000|[62, 20, 1, 21]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[4.898220795943498, 0.3785545998049759, 0.960362097739568]                      |  0.0760448798537254|      2.00000000|[68, 22, 1, 23]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[4.898220795943498, 0.3785545998049759, 0.960362097739568]                      |  0.0760448798537254|      1.00000000|[74, 24, 1, 25]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[4.898220795943498, 0.3785545998049759, 0.960362097739568]                      |  0.0760448798537254|      0.50000000|[80, 26, 1, 27]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[4.898220795943498, 0.3785545998049759, 0.960362097739568]                      |  0.0760448798537254|      0.25000000|[86, 28, 1, 29]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[4.898220795943498, 0.3785545998049759, 0.960362097739568]                      |  0.0760448798537254|      0.12500000|[92, 30, 1, 31]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
