k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2, 0.21, 0.22, 0.23, 0.24, 0.25, 0.26, 0.27, 0.28, 0.29, 0.3, 0.31, 0.32, 0.33, 0.34, 0.35, 0.36, 0.37, 0.38, 0.39, 0.4, 0.41, 0.42, 0.43, 0.44, 0.45, 0.46, 0.47, 0.48, 0.49, 0.5, 0.51, 0.52, 0.53, 0.54, 0.55, 0.56, 0.57, 0.58, 0.59, 0.6, 0.61, 0.62, 0.63, 0.64, 0.65, 0.66, 0.67, 0.68, 0.69, 0.7, 0.71, 0.72, 0.73, 0.74, 0.75, 0.76, 0.77, 0.78, 0.79, 0.8, 0.81, 0.82, 0.83, 0.84, 0.85, 0.86, 0.87, 0.88, 0.89, 0.9, 0.91, 0.92, 0.93, 0.94, 0.95, 0.96, 0.97, 0.98, 0.99, 1.0]|-56.4814000545650217|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1662741232291509, -0.0391811625587081, -0.0180706730349243, -0.1179219033558309, 0.0020104339122568, 0.1891748317975424, -0.0449357836231381, -0.0808794632684958, 0.1728468258782591, 0.1511099277400799, 0.1815700049844507, 0.169558385779909, 0.1067899983700965, 0.0931843093199797, 0.2243832359682497, 0.0519872511211299, 0.3357188425486223, 0.2452751736235746, 0.0944705112644816, 0.2160971848836256, 0.3756980553192482, 0.3230378414732944, 0.2386199008340611, 0.4067994892167286, 0.3675078112051433, 0.2407760443354142, 0.2201383970115009, 0.3393183873187555, 0.3202444853727165, 0.3906904697317977, 0.3746419114704454, 0.4041973036171856, 0.4274772296411776, 0.2396363414444967, 0.3390214096887225, 0.2809120535476465, 0.3823355411471323, 0.3804709246545943, 0.4322593859450411, 0.5139539258125001, 0.3975899837419382, 0.4806051202791358, 0.3107926514072822, 0.4347990910310872, 0.6025939536948705, 0.5880468875453427, 0.3573944375388887, 0.5517488832996653, 0.5340029876573746, 0.4990908534466613, 0.4142742958777404, 0.5319568766800246, 0.596374146268625, 0.3674150326999389, 0.4630598433308669, 0.4349715192252501, 0.793787372344139, 0.5577529205568461, 0.54427205205068, 0.7513034618612368, 0.6174809173865274, 0.5937662877653261, 0.4440827503733055, 0.6023005714607816, 0.4904849367238505, 0.872862212981592, 0.8066087580299555, 0.5790045388672788, 0.7955328079432553, 0.669060990466549, 0.674010509422754, 0.855111591573139, 0.6902248436820683, 0.7385411190046671, 0.8133741353447024, 0.8271719866059019, 0.8617335612236349, 0.8381387870746596, 0.9300801623235193, 0.8705437487101404, 0.8441611944420875, 0.7954293330916672, 1.0139461141856079, 0.9288793218649655, 0.8972357222703787, 0.9223895155089457, 0.7456547143406619, 0.9323757251894313, 0.8836864913711378, 1.0654227768192561, 0.9468111650573391, 1.116374458013003, 1.0591576722965077, 1.1318341818225577, 0.996559011838408, 1.0594362163359217, 1.1200246464933858, 1.0210286210230994, 1.0023936436499687, 1.0438427593877133]|-96.2012634277343750|      2.00000000|[29, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       2|[0.2355321749785046, 0.2707520768056951, 0.0098328013731791, 0.2068733612549671, -0.0836134627026588, 0.3642745214551749, -0.0509444518101093, -0.0419458832153371, 0.2308861011480349, 0.077088020162008, 0.2555691185800849, -0.0614401314981616, 0.00739196042387, 0.0497624094958987, -0.2882217910819163, -0.1188815182444384, 0.4434065265600224, 0.2156670397276234, 0.031884487963285, 0.3060516142096827, 0.4436450038935333, -0.0747164937628204, 0.2615362734921253, 0.3448316259148749, 0.6335439459390673, -0.1953455072985718, -0.0363022578725919, 0.2944999724330747, 0.1327790308959908, 0.213698062972825, 0.0396127491810815, 0.6601768178840479, 0.2450822789487442, 0.517174319511656, 0.3609002164500475, 0.2357267724936445, 0.6753005594986674, 0.2880234434185534, 0.3900478424297015, 0.5879251577068748, 0.1751483615576498, 0.3319485477732754, 0.1068562692994764, 0.6890067809161238, 0.6025182367822652, 0.4915723366249036, 0.3889591003183877, 0.8483872428013608, 0.6015368857776644, 0.8978175844134975, 0.7182738069629346, 0.5079304863838111, 0.6603051319169447, 0.4304264312835835, 0.2341813005291618, 0.4746335578320374, 0.9785967446332742, 0.4474547481193855, 0.3871431705207865, 0.6298140529125755, 0.3395130088829637, 0.4322228557083178, 0.5026491277929026, 0.6514115441556545, 0.1915668608239625, 0.7399220996383762, 0.8555875811247586, 1.0167667450695177, 1.0666124141376008, 0.6258758276420299, 0.5125185663631141, 1.0259914833653767, 0.8047557732926361, 0.4230203286821538, 0.8963375621995083, 0.9554629379187403, 0.761628664016789, 0.8830048985517787, 1.195436799210648, 1.0674480283944332, 1.0199670612782141, 0.711100598479482, 0.7713651942765063, 1.4091783256084285, 0.9859480616565298, 0.8325924094677023, 0.6091754561709438, 1.056042403629295, 1.0760135318611004, 1.057507730530957, 1.2552910537216921, 1.3667270832181655, 1.4118559510789102, 1.1328881066757353, 1.0773697854933446, 1.350530946677301, 1.0996390162653638, 1.0385398405464263, 1.308440734150184, 0.8390563927606486]|-179.5437927246093750|      4.00000000|[57, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       3|[-0.826494546687778, 0.3566215249090469, 0.3548673114027626, 0.016219013148067, -1.0870030595936642, 0.2522440238864059, -0.0066294918627406, 0.0876966774541343, -0.6858422302259315, 0.0855123205669364, 0.1505829258523195, 0.0563248145718554, -0.1474100469998961, -0.5765544233349095, -0.4346454322738783, -0.3709179259208632, 0.3966276127818846, -0.01620350812743, 0.1080876793445017, 0.4660171729848716, 0.9836394268338584, -0.4310553101939141, 0.127145576837993, 1.12399720544533, 0.5664343694407533, 0.2971954464320782, 0.3577380002614972, 0.1929691127642054, 0.3217992609467386, 0.4823168923271376, -0.1645214309309326, 0.6974240085770256, -0.0743530832399728, 0.5454438875318051, 0.7499320417668232, -0.2038035088056177, 0.8666720950871645, -0.5502792163447885, 0.350507890242678, 1.287540187845264, -0.1045337106050764, 1.1371366943543855, 0.1267520026421867, 0.5688462996683232, 0.7688850669737217, 0.4287539856427877, 0.2484112310943643, 1.273413714566564, 0.7453636150794991, 0.7707992283800946, 0.9045774179695092, 0.8343933963607983, 1.327381850424925, 0.7050602793755341, -0.1942343897677237, 0.1290380649762089, 0.6841504657214305, 0.5617836624030369, 0.4468437167391661, 0.7053891812276473, -0.1459041613931014, -0.3766381594881602, 0.2916439624126358, 0.8994057913430554, 0.3339708299850884, 1.0829579056286176, 1.6606196251639451, 0.8836995147450472, 0.6347029585250112, 1.3153847059302304, 0.0498628495171362, 1.082191459096384, 1.1985973994601649, -0.0305769269556186, 1.7259757826075028, 1.0542175126576396, 0.9515898255162004, 1.272340454636712, 1.4958093061588682, 0.8856893264316956, 1.2456461768212919, 0.5114612092096974, 1.2997532979415296, 1.9910538390558024, 0.8779634789131948, 1.2932509050586547, 0.2682743801178671, 0.8405979458751662, 0.8110542751254524, 1.6419823235366264, 1.0360851741624328, 1.4231387539765958, 0.9294416066541641, 0.8369533437270709, 1.1299201956527942, 1.3861267772086683, 1.634299290965347, 1.0820775346175258, 1.7748400622306133, 0.1972942070373876]|-512.3987426757812500|      8.00000000|[86, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       4|[-1.332989928089271, 1.118496686295702, 1.2524314758482558, 0.0557531741033638, -2.6271993573747774, 0.1667105322704682, -1.388933331740453, 1.4692329968936801, -0.0734689448420166, 2.5841190989357417, 0.8916705293730163, 0.8395266003974949, 0.4167993534122739, 1.3399592483789262, -0.1991532855828866, -2.170630040162466, 1.13222079925577, -1.0121870687889618, 0.6872074394161032, 0.4944708647443952, 1.4976670418285902, -0.1899613469839213, 0.7876066229252898, 1.5298131383530136, 1.0964087569646885, -0.0659402607724866, -0.477403895062049, 0.2910863473660211, 0.058844639418105, 0.1283406714600781, 0.0429347916576664, 1.5276940733087132, 0.0374743969830537, 2.611630027273598, 0.4851028770553862, 0.4294829042162062, 1.6764983209235067, -0.4313400529098377, 0.7258618684363618, 1.1102338736625383, -0.1447564287387213, 2.1210003605621615, -1.0808057104082573, -0.3516134366289833, 1.6286702955873351, 0.4626969003506485, 0.5756091514298591, 0.7624021438563449, 0.5948763516705343, 0.0334916019811908, 1.8406542407093345, 1.4877349340310382, 0.8114490745196346, -0.7327460652664812, 0.4967388065203689, 0.168921661312176, -0.3268453891919049, 0.2596098045782222, 0.5764408158641854, 0.8978183392772717, -0.0903758758936486, -0.2494393075881302, 1.4387224858121028, 0.0656319496316562, 1.0437653504536573, 1.598224349529156, 1.8612576260175395, 1.4886224698077846, 0.9150570052612694, 1.2714859210978222, 0.1606937598554285, 1.0926462045447476, 1.5534794487220278, -0.082182661349434, 2.278292861619352, 1.3816329794737074, 1.282786990975221, 0.6776386559978357, 1.653563325565667, 1.906415598213189, 1.9962764096993533, -0.2775545382705057, 1.426912491196193, 1.6877730342814856, 1.343148598946744, 1.9165338689506917, 0.271365464632827, -0.2028932008859703, -0.6700888825526259, 0.7091445430979124, 0.2909587786524039, 1.044021087019301, 3.1525852240726047, 1.0088680888004713, 1.4650239297041845, 1.8401525586577707, 0.7697888414546119, 0.0328709792051025, 1.6240247379787098, 1.2657865809241056]|-785.9185180664062500|     16.00000000|[114, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | iterate success | actual_k=1
       5|[-0.1923289918586832, 3.1332342166162155, 2.199256399312822, -2.4315903155449776, -2.5392121594389403, -0.2347901716312311, -1.5428193730927977, 2.0000098879100014, -1.0258543532161686, 2.152247944342644, 1.7101454350468375, 1.2612262989872922, -0.282206387984617, 2.796046626510048, 1.4437552179586766, -2.656555460887929, 1.2523304559893307, -1.5374853229894976, 2.516661105895318, 1.7035620697775946, 0.7802222067322899, -0.7018467738070194, -0.0267777208110336, 1.6872413616629873, 0.6937848957935, -0.3125660905420272, -2.0962013863733864, 0.747694257160313, -2.9846523655671287, -0.3260030798379314, 1.8590209911741469, 0.6637506246408592, 0.0030388031241775, 0.097991535522417, 0.4058460969287554, 3.7667092055048887, -0.4004271528550125, -1.271842351638558, 0.2517881828338932, -1.48528780199939, 0.5373983305133477, 3.027478137216127, 1.2880213390851778, 1.410766344198262, -1.1640655028333158, 1.3831871465292735, 1.5193646087908146, 2.2701320942349716, -0.1808441381999525, 0.2893417559145934, 0.8088619877240839, 2.384282171530881, 1.2774426219000456, -0.0223923014230463, -1.0754583102691566, 3.0846234487596855, -0.6887718203930135, 0.6749740875966801, 0.1443754702172373, 0.8127791961410711, -0.2230084683462722, 1.2737266264377418, -1.0139801710824026, 0.5777879266507194, 0.4854798362096941, 2.4422046991839492, 4.486250570278016, 2.254449215724127, -2.911665571666573, -1.1439631247039754, 3.2934569436458054, 0.2068020660471253, 3.1814913049312112, 0.089882999546664, 5.1204463346412075, 1.1574324124453002, -1.3132736449501599, 1.8322827018652958, 1.6491444808241802, 2.0434021929496144, 0.9517276051380179, 1.3372683815879718, 3.586244156218531, 0.2650552065995564, 2.924487989435273, 3.9604248526692936, 2.3347011745362245, -3.5690475583169956, -1.4316146310100653, 0.7829034752137014, 3.0089516260182476, 1.8442848475635523, 1.0505848048066846, 3.2088579326569304, -2.0458648082574227, -1.0982226937546058, 0.2773959319669517, 1.4925702144992068, 2.9304705489273157, 3.220795444854123]|-816.5671386718750000|     32.00000000|[142, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       6|[-0.1923289918586832, 3.1332342166162155, 2.199256399312822, -2.4315903155449776, -2.5392121594389403, -0.2347901716312311, -1.5428193730927977, 2.0000098879100014, -1.0258543532161686, 2.152247944342644, 1.7101454350468375, 1.2612262989872922, -0.282206387984617, 2.796046626510048, 1.4437552179586766, -2.656555460887929, 1.2523304559893307, -1.5374853229894976, 2.516661105895318, 1.7035620697775946, 0.7802222067322899, -0.7018467738070194, -0.0267777208110336, 1.6872413616629873, 0.6937848957935, -0.3125660905420272, -2.0962013863733864, 0.747694257160313, -2.9846523655671287, -0.3260030798379314, 1.8590209911741469, 0.6637506246408592, 0.0030388031241775, 0.097991535522417, 0.4058460969287554, 3.7667092055048887, -0.4004271528550125, -1.271842351638558, 0.2517881828338932, -1.48528780199939, 0.5373983305133477, 3.027478137216127, 1.2880213390851778, 1.410766344198262, -1.1640655028333158, 1.3831871465292735, 1.5193646087908146, 2.2701320942349716, -0.1808441381999525, 0.2893417559145934, 0.8088619877240839, 2.384282171530881, 1.2774426219000456, -0.0223923014230463, -1.0754583102691566, 3.0846234487596855, -0.6887718203930135, 0.6749740875966801, 0.1443754702172373, 0.8127791961410711, -0.2230084683462722, 1.2737266264377418, -1.0139801710824026, 0.5777879266507194, 0.4854798362096941, 2.4422046991839492, 4.486250570278016, 2.254449215724127, -2.911665571666573, -1.1439631247039754, 3.2934569436458054, 0.2068020660471253, 3.1814913049312112, 0.089882999546664, 5.1204463346412075, 1.1574324124453002, -1.3132736449501599, 1.8322827018652958, 1.6491444808241802, 2.0434021929496144, 0.9517276051380179, 1.3372683815879718, 3.586244156218531, 0.2650552065995564, 2.924487989435273, 3.9604248526692936, 2.3347011745362245, -3.5690475583169956, -1.4316146310100653, 0.7829034752137014, 3.0089516260182476, 1.8442848475635523, 1.0505848048066846, 3.2088579326569304, -2.0458648082574227, -1.0982226937546058, 0.2773959319669517, 1.4925702144992068, 2.9304705489273157, 3.220795444854123]|-816.5671386718750000|     16.00000000|[261, 19, 0, 19]                                                           |  | trying linear partial model with 16 points | trying linear partial model with 29 points | trying linear partial model with 42 points | trying linear partial model with 55 points | trying linear partial model with 68 points | trying linear partial model with 81 points | trying linear partial model with 94 points | trying linear partial model with 107 points | exploitation failed, decreasing delta | actual_k=1
       7|[-1.7813608671039387, 4.140837737408123, 3.1081220224370503, -0.6729876099753687, -3.106605232264555, -3.3294334143837947, 0.1863414057349153, 2.106599237830937, -0.7161284995904025, 0.6465279749266466, 2.225218903426233, 0.4867163306523458, 0.2705830916603466, 3.187383098218723, 3.877012732732532, -0.9232603927205256, 1.1401162730007297, -3.9489597396607623, 1.9559229465457841, 1.2718701679740856, 0.8391277580193233, 1.289506886160782, 2.8401210792236764, 3.0201311355985743, -2.764652769858313, 0.3426865995684838, -0.7558741153545372, -0.2169183686153076, -0.4358070531811502, -0.362502000475574, 2.086780204203664, 4.171652415687939, 1.4219491765439922, -2.128783668452925, -1.1703861366806048, 4.819034238386665, -2.550776913865633, -0.2267397198005956, 2.446807657790071, -1.7309661435071073, 0.1388461596219361, 2.1819344814708885, 0.3528243890120876, -0.6543551058336381, -2.2681961329200835, 0.2507626443040616, 3.501791797842973, 1.8889334208801531, 0.1924191132820853, 1.2157453337219, 1.8769097471037235, 3.553326118272234, 3.003091160840744, 0.0250360013378876, -1.3142923265009139, 2.749111208205653, -0.2636331862001204, -1.899411265118119, 1.4123307504805007, -1.8777483078628314, 1.3157231243874992, -0.0118867626421661, -2.443310598022509, 0.3473835893189573, 0.5443377571246418, 2.2696502035810098, 2.7168125356063624, 0.8786374085928734, -2.7220926566385653, 2.586388701773783, 2.2587513527748877, 0.651986188454243, 4.150545607255023, -3.139859031851779, 4.522180354861004, -1.9042797642389728, -0.6613952503933779, 4.472771936429577, 0.8525941866281468, 2.7923284198626535, 2.810427202695788, 2.085088586629194, 2.02249559300461, -1.0132298442861793, 5.631519426481148, 3.693050297661864, 3.5516861348954727, -0.7066826602542777, -2.0352214183421626, -0.5378116535973418, 1.8764075107733635, 1.9983175015841155, 4.708237800843243, 2.4178232232744423, -3.8560326579316957, -2.7522610936185536, 0.8130659914264915, 0.4525715764698837, 2.5533267791754017, 0.6698708370458148]|-879.4647216796875000|     32.00000000|[302, 22, 0, 22]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | iterate success | actual_k=1
       8|[-1.7813608671039387, 4.140837737408123, 3.1081220224370503, -0.6729876099753687, -3.106605232264555, -3.3294334143837947, 0.1863414057349153, 2.106599237830937, -0.7161284995904025, 0.6465279749266466, 2.225218903426233, 0.4867163306523458, 0.2705830916603466, 3.187383098218723, 3.877012732732532, -0.9232603927205256, 1.1401162730007297, -3.9489597396607623, 1.9559229465457841, 1.2718701679740856, 0.8391277580193233, 1.289506886160782, 2.8401210792236764, 3.0201311355985743, -2.764652769858313, 0.3426865995684838, -0.7558741153545372, -0.2169183686153076, -0.4358070531811502, -0.362502000475574, 2.086780204203664, 4.171652415687939, 1.4219491765439922, -2.128783668452925, -1.1703861366806048, 4.819034238386665, -2.550776913865633, -0.2267397198005956, 2.446807657790071, -1.7309661435071073, 0.1388461596219361, 2.1819344814708885, 0.3528243890120876, -0.6543551058336381, -2.2681961329200835, 0.2507626443040616, 3.501791797842973, 1.8889334208801531, 0.1924191132820853, 1.2157453337219, 1.8769097471037235, 3.553326118272234, 3.003091160840744, 0.0250360013378876, -1.3142923265009139, 2.749111208205653, -0.2636331862001204, -1.899411265118119, 1.4123307504805007, -1.8777483078628314, 1.3157231243874992, -0.0118867626421661, -2.443310598022509, 0.3473835893189573, 0.5443377571246418, 2.2696502035810098, 2.7168125356063624, 0.8786374085928734, -2.7220926566385653, 2.586388701773783, 2.2587513527748877, 0.651986188454243, 4.150545607255023, -3.139859031851779, 4.522180354861004, -1.9042797642389728, -0.6613952503933779, 4.472771936429577, 0.8525941866281468, 2.7923284198626535, 2.810427202695788, 2.085088586629194, 2.02249559300461, -1.0132298442861793, 5.631519426481148, 3.693050297661864, 3.5516861348954727, -0.7066826602542777, -2.0352214183421626, -0.5378116535973418, 1.8764075107733635, 1.9983175015841155, 4.708237800843243, 2.4178232232744423, -3.8560326579316957, -2.7522610936185536, 0.8130659914264915, 0.4525715764698837, 2.5533267791754017, 0.6698708370458148]|-879.4647216796875000|     16.00000000|[423, 31, 0, 31]                                                           |  | trying linear partial model with 16 points | trying linear partial model with 29 points | trying linear partial model with 42 points | trying linear partial model with 56 points | trying linear partial model with 69 points | trying linear partial model with 82 points | trying linear partial model with 95 points | trying linear partial model with 108 points | exploitation failed, decreasing delta | actual_k=1
       9|[-2.516096355504982, 4.617706158033967, 3.0593436296465817, -1.2628408413236114, -0.6991963911091545, -4.8911393411890325, 0.4303192693723817, 1.05757399865774, 1.2913136723867231, 1.0370511128677797, 3.249104124317041, 1.3999918658863715, -0.283231722920331, 2.18351176909277, 3.163825716974837, -1.4469794313811186, 1.9604626363253859, -3.1791640794022324, 3.233205159933901, 4.810185218805856, 1.9209655973248667, 3.5780518838181194, 2.27703216597964, 2.9594036896697316, -2.2511697968438322, 0.2873944460418633, -2.046960833935181, 1.8176400471896377, 0.995387711517032, -0.3091280755142714, 3.3810386341638234, 8.072566798937135, 3.3471136044354486, -3.707662348180961, -1.6654921800443896, 2.99414165907499, 0.8532148222064655, -4.060828928796392, 0.0536949168961902, -2.6498369177679155, 0.3530661955869622, 3.6368282357247486, -1.4778109852825474, -1.757285449019793, -2.628903197625623, 1.0073120775727737, 3.9807994291553075, 3.1821852648008346, 3.7930773265358244, 1.483916836787784, 2.2181780888576967, 3.7034157670207404, 2.468262421031108, 1.1810615336484898, -1.0188675199376944, 0.6005753039930322, -0.9202472985593249, -1.1149195099336051, 1.7280874592427962, -2.578168459432477, 1.6317691956598546, -2.457548132322671, -1.8204651420645896, -3.230319479746667, -1.1744293266582697, 2.7335235704645027, -0.6191297873184052, 1.1077639426401769, -1.2993362701852567, 4.140812699976847, 2.045820244270814, 2.3169871038781302, 2.9743926574614203, -5.84166013599825, 4.559065467246969, -1.2653298786386982, 0.7215197548012563, 3.6096654565810624, 4.1098766908724995, 1.6302589980647326, 1.665635097155897, 4.311696354502832, 3.47921369789915, -0.7719225957579307, 6.72746676318943, 4.373798171363949, 2.7337241337077884, -0.6633857407208447, -1.647466488691468, -1.9925095343525339, -1.0496125759445882, 3.3692206228515156, 5.178179768404535, 1.6613379004095163, -3.2669899649009, -3.8236453063116898, 1.9358329173705953, -0.2605132510017809, 4.407001055853966, -3.9653519278016405]|-1002.7770385742187500|     32.00000000|[451, 33, 0, 33]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      10|[-2.516096355504982, 4.617706158033967, 3.0593436296465817, -1.2628408413236114, -0.6991963911091545, -4.8911393411890325, 0.4303192693723817, 1.05757399865774, 1.2913136723867231, 1.0370511128677797, 3.249104124317041, 1.3999918658863715, -0.283231722920331, 2.18351176909277, 3.163825716974837, -1.4469794313811186, 1.9604626363253859, -3.1791640794022324, 3.233205159933901, 4.810185218805856, 1.9209655973248667, 3.5780518838181194, 2.27703216597964, 2.9594036896697316, -2.2511697968438322, 0.2873944460418633, -2.046960833935181, 1.8176400471896377, 0.995387711517032, -0.3091280755142714, 3.3810386341638234, 8.072566798937135, 3.3471136044354486, -3.707662348180961, -1.6654921800443896, 2.99414165907499, 0.8532148222064655, -4.060828928796392, 0.0536949168961902, -2.6498369177679155, 0.3530661955869622, 3.6368282357247486, -1.4778109852825474, -1.757285449019793, -2.628903197625623, 1.0073120775727737, 3.9807994291553075, 3.1821852648008346, 3.7930773265358244, 1.483916836787784, 2.2181780888576967, 3.7034157670207404, 2.468262421031108, 1.1810615336484898, -1.0188675199376944, 0.6005753039930322, -0.9202472985593249, -1.1149195099336051, 1.7280874592427962, -2.578168459432477, 1.6317691956598546, -2.457548132322671, -1.8204651420645896, -3.230319479746667, -1.1744293266582697, 2.7335235704645027, -0.6191297873184052, 1.1077639426401769, -1.2993362701852567, 4.140812699976847, 2.045820244270814, 2.3169871038781302, 2.9743926574614203, -5.84166013599825, 4.559065467246969, -1.2653298786386982, 0.7215197548012563, 3.6096654565810624, 4.1098766908724995, 1.6302589980647326, 1.665635097155897, 4.311696354502832, 3.47921369789915, -0.7719225957579307, 6.72746676318943, 4.373798171363949, 2.7337241337077884, -0.6633857407208447, -1.647466488691468, -1.9925095343525339, -1.0496125759445882, 3.3692206228515156, 5.178179768404535, 1.6613379004095163, -3.2669899649009, -3.8236453063116898, 1.9358329173705953, -0.2605132510017809, 4.407001055853966, -3.9653519278016405]|-1002.7770385742187500|     16.00000000|[572, 42, 0, 42]                                                           |  | trying linear partial model with 16 points | trying linear partial model with 29 points | trying linear partial model with 42 points | trying linear partial model with 56 points | trying linear partial model with 69 points | trying linear partial model with 83 points | trying linear partial model with 96 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 109 points | exploitation failed, decreasing delta | actual_k=1
