k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0]                                                                 |  6.5000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.1237200937502332, 0.5713224297310469, 1.8949462995905064]                    |  3.7586960792541504|      2.00000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[1.1237200937502332, 0.5713224297310469, 1.8949462995905064]                    |  3.7586960792541504|      1.00000000|[13, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[1.1237200937502332, 0.5713224297310469, 1.8949462995905064]                    |  3.7586960792541504|      0.50000000|[19, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[1.4282736473423756, 0.2287128991034613, 1.6952819749915846]                    |  1.6737483739852905|      1.00000000|[25, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[1.4282736473423756, 0.2287128991034613, 1.6952819749915846]                    |  1.6737483739852905|      0.50000000|[31, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[1.4282736473423756, 0.2287128991034613, 1.6952819749915846]                    |  1.6737483739852905|      0.25000000|[37, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[1.4282736473423756, 0.2287128991034613, 1.6952819749915846]                    |  1.6737483739852905|      0.12500000|[43, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[1.4282736473423756, 0.2287128991034613, 1.6952819749915846]                    |  1.6737483739852905|      0.06250000|[49, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[1.487499434401654, 0.2204041849089798, 1.677129250247254]                      |  1.5308198928833008|      0.12500000|[55, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[1.5549513870231209, 0.16630438263912, 1.5868605099108923]                      |  1.3166460990905762|      0.25000000|[61, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[1.5549513870231209, 0.16630438263912, 1.5868605099108923]                      |  1.3166460990905762|      0.12500000|[67, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[1.5999181792778878, 0.1434030765969102, 1.4724991625251709]                    |  1.1412509679794312|      0.25000000|[73, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[1.5999181792778878, 0.1434030765969102, 1.4724991625251709]                    |  1.1412509679794312|      0.12500000|[79, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[1.7201171986400776, 0.1247167963078576, 1.4437238489156392]                    |  1.1016553640365601|      0.25000000|[85, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[1.7201171986400776, 0.1247167963078576, 1.4437238489156392]                    |  1.1016553640365601|      0.12500000|[91, 30, 1, 31]                                                            |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
