k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.25000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.12500000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.06250000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.03125000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.01562500|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.00781250|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[0.0007747460258504, -0.0015244395207865, 0.0010057232398781, 0.0074335468773766, 5.88284510995e-05, -0.000377554102247, -0.0007018756644413, 0.000506908240544, -0.0005496001475731, 1.0008026561890657]|2734.0086313408296519|      0.01562500|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       9|[0.0007747460258504, -0.0015244395207865, 0.0010057232398781, 0.0074335468773766, 5.88284510995e-05, -0.000377554102247, -0.0007018756644413, 0.000506908240544, -0.0005496001475731, 1.0008026561890657]|2734.0086313408296519|      0.00781250|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[0.0007747460258504, -0.0015244395207865, 0.0010057232398781, 0.0074335468773766, 5.88284510995e-05, -0.000377554102247, -0.0007018756644413, 0.000506908240544, -0.0005496001475731, 1.0008026561890657]|2734.0086313408296519|      0.00390625|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[-0.0001142054483831, -0.0016786301612178, 0.0013898896150438, 0.0037690025555113, 0.0007819247071664, 3.7513437059e-05, -0.0006972395004151, 0.0008277872182107, -0.0002950205886284, 1.000729404071304]|2706.3904074676952405|      0.00781250|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      12|[-0.0001142054483831, -0.0016786301612178, 0.0013898896150438, 0.0037690025555113, 0.0007819247071664, 3.7513437059e-05, -0.0006972395004151, 0.0008277872182107, -0.0002950205886284, 1.000729404071304]|2706.3904074676952405|      0.00390625|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[-0.0001142054483831, -0.0016786301612178, 0.0013898896150438, 0.0037690025555113, 0.0007819247071664, 3.7513437059e-05, -0.0006972395004151, 0.0008277872182107, -0.0002950205886284, 1.000729404071304]|2706.3904074676952405|      0.00195312|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      14|[-7.54252300166e-05, -0.0024911200447829, 0.0015709500745662, 0.0054069377712963, 0.000517986300484, -0.0001667512540803, -0.0003841484354501, 0.0009655089284213, -0.0001999807411393, 1.0011766461586327]|2701.7917126799325160|      0.00390625|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      15|[-7.54252300166e-05, -0.0024911200447829, 0.0015709500745662, 0.0054069377712963, 0.000517986300484, -0.0001667512540803, -0.0003841484354501, 0.0009655089284213, -0.0001999807411393, 1.0011766461586327]|2701.7917126799325160|      0.00195312|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[-7.54252300166e-05, -0.0024911200447829, 0.0015709500745662, 0.0054069377712963, 0.000517986300484, -0.0001667512540803, -0.0003841484354501, 0.0009655089284213, -0.0001999807411393, 1.0011766461586327]|2701.7917126799325160|      0.00097656|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      17|[-1.11511813862e-05, -0.0025844106943707, 0.0016000420509223, 0.0046008066305442, 0.000456666065065, 4.12098154934e-05, 3.69739764351e-05, 0.0008307631826263, -0.0004178802477124, 1.0011640929079304]|2700.6413141996545164|      0.00195312|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      18|[-1.11511813862e-05, -0.0025844106943707, 0.0016000420509223, 0.0046008066305442, 0.000456666065065, 4.12098154934e-05, 3.69739764351e-05, 0.0008307631826263, -0.0004178802477124, 1.0011640929079304]|2700.6413141996545164|      0.00097656|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      19|[-1.11511813862e-05, -0.0025844106943707, 0.0016000420509223, 0.0046008066305442, 0.000456666065065, 4.12098154934e-05, 3.69739764351e-05, 0.0008307631826263, -0.0004178802477124, 1.0011640929079304]|2700.6413141996545164|      0.00048828|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[-5.40432325862e-05, -0.0027607637950706, 0.0015284896932684, 0.0049980648860964, 0.0004917604105843, 1.38770648799e-05, 0.0001184715359456, 0.0008881319381572, -0.000524640950979, 1.0013027832356607]|2700.3074978401255066|      0.00097656|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      21|[-5.40432325862e-05, -0.0027607637950706, 0.0015284896932684, 0.0049980648860964, 0.0004917604105843, 1.38770648799e-05, 0.0001184715359456, 0.0008881319381572, -0.000524640950979, 1.0013027832356607]|2700.3074978401255066|      0.00048828|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      22|[-5.40432325862e-05, -0.0027607637950706, 0.0015284896932684, 0.0049980648860964, 0.0004917604105843, 1.38770648799e-05, 0.0001184715359456, 0.0008881319381572, -0.000524640950979, 1.0013027832356607]|2700.3074978401255066|      0.00024414|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      23|[-5.40432325862e-05, -0.0027607637950706, 0.0015284896932684, 0.0049980648860964, 0.0004917604105843, 1.38770648799e-05, 0.0001184715359456, 0.0008881319381572, -0.000524640950979, 1.0013027832356607]|2700.3074978401255066|      0.00012207|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      24|[-5.33795615351e-05, -0.002768642713606, 0.0015420515121559, 0.0048844949867633, 0.0004980024234054, 3.15667281752e-05, 0.0001487294685346, 0.0008929420988966, -0.0005450765304288, 1.001295824898121]|2700.2345346806396265|      0.00024414|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      25|[-0.0001181206324942, -0.0027790495837014, 0.001620652990852, 0.0048778804638156, 0.0006078644811899, 6.99235933862e-05, 0.0003011651451193, 0.0008757207285456, -0.0006457425127689, 1.0012525210963052]|2700.1542761827217873|      0.00048828|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      26|[-0.0001181206324942, -0.0027790495837014, 0.001620652990852, 0.0048778804638156, 0.0006078644811899, 6.99235933862e-05, 0.0003011651451193, 0.0008757207285456, -0.0006457425127689, 1.0012525210963052]|2700.1542761827217873|      0.00024414|[390, 52, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      27|[-0.0001204367939831, -0.0028431913952161, 0.001599610265783, 0.0049236330839129, 0.0007194330809959, 0.0001229802645101, 0.0004131435429278, 0.0009094356629092, -0.0007573163048371, 1.0011449949255464]|2700.0896712202975323|      0.00048828|[405, 54, 27, 54]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      28|[-0.0001204367939831, -0.0028431913952161, 0.001599610265783, 0.0049236330839129, 0.0007194330809959, 0.0001229802645101, 0.0004131435429278, 0.0009094356629092, -0.0007573163048371, 1.0011449949255464]|2700.0896712202975323|      0.00024414|[420, 56, 28, 56]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      29|[-0.0001536711560556, -0.0027849465003517, 0.0017253399433796, 0.0049322751646307, 0.0007471019579341, 0.000200496957353, 0.0005480482633942, 0.0009282593855211, -0.0008316062230118, 1.001053463486752]|2700.0037841456569367|      0.00048828|[435, 58, 29, 58]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      30|[-4.95477423513e-05, -0.0026747946245341, 0.0020472396256596, 0.0049937600463548, 0.0007115019120457, 0.0004447375195316, 0.0006466761007708, 0.0009397245011345, -0.0008870031344899, 1.0008685442355156]|2699.9311663722201047|      0.00097656|[450, 60, 30, 60]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      31|[-4.95477423513e-05, -0.0026747946245341, 0.0020472396256596, 0.0049937600463548, 0.0007115019120457, 0.0004447375195316, 0.0006466761007708, 0.0009397245011345, -0.0008870031344899, 1.0008685442355156]|2699.9311663722201047|      0.00048828|[465, 62, 31, 62]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      32|[-4.95477423513e-05, -0.0026747946245341, 0.0020472396256596, 0.0049937600463548, 0.0007115019120457, 0.0004447375195316, 0.0006466761007708, 0.0009397245011345, -0.0008870031344899, 1.0008685442355156]|2699.9311663722201047|      0.00024414|[480, 64, 32, 64]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      33|[-6.02408232987e-05, -0.0026498319282604, 0.0021299364873274, 0.0047805446978297, 0.0007593557901251, 0.0004197297004764, 0.0006102574467144, 0.0009504354818729, -0.0009147604473112, 1.0008305874934829]|2699.8708106796634638|      0.00048828|[495, 66, 33, 66]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      34|[-6.02408232987e-05, -0.0026498319282604, 0.0021299364873274, 0.0047805446978297, 0.0007593557901251, 0.0004197297004764, 0.0006102574467144, 0.0009504354818729, -0.0009147604473112, 1.0008305874934829]|2699.8708106796634638|      0.00024414|[510, 68, 34, 68]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      35|[-6.02408232987e-05, -0.0026498319282604, 0.0021299364873274, 0.0047805446978297, 0.0007593557901251, 0.0004197297004764, 0.0006102574467144, 0.0009504354818729, -0.0009147604473112, 1.0008305874934829]|2699.8708106796634638|      0.00012207|[525, 70, 35, 70]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      36|[-8.27751765552e-05, -0.0026432805324774, 0.0021408313520378, 0.0048858894311741, 0.0007689931885969, 0.0004488489311716, 0.0006504225772149, 0.0009649429790083, -0.0009172641903367, 1.0008115231431394]|2699.8164615235946258|      0.00024414|[540, 72, 36, 72]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      37|[-8.27751765552e-05, -0.0026432805324774, 0.0021408313520378, 0.0048858894311741, 0.0007689931885969, 0.0004488489311716, 0.0006504225772149, 0.0009649429790083, -0.0009172641903367, 1.0008115231431394]|2699.8164615235946258|      0.00012207|[555, 74, 37, 74]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      38|[-8.27751765552e-05, -0.0026432805324774, 0.0021408313520378, 0.0048858894311741, 0.0007689931885969, 0.0004488489311716, 0.0006504225772149, 0.0009649429790083, -0.0009172641903367, 1.0008115231431394]|2699.8164615235946258|      0.00006104|[570, 76, 38, 76]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      39|[-8.32662033318e-05, -0.0026475168320613, 0.0021632719863736, 0.0048556304407288, 0.0007761753318006, 0.0004739153063855, 0.0006515925369458, 0.0009451166658485, -0.0008983537528784, 1.0007822664876003]|2699.8038526486275259|      0.00012207|[585, 78, 39, 78]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      40|[-0.0001006101625127, -0.0026407025539516, 0.0022112438316911, 0.0048966848489863, 0.00083101935519, 0.0005389514142441, 0.0006949129474575, 0.0009193878425995, -0.0008983113642484, 1.0007541425268078]|2699.7748105758141719|      0.00024414|[600, 80, 40, 80]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      41|[-0.0001006101625127, -0.0026407025539516, 0.0022112438316911, 0.0048966848489863, 0.00083101935519, 0.0005389514142441, 0.0006949129474575, 0.0009193878425995, -0.0008983113642484, 1.0007541425268078]|2699.7748105758141719|      0.00012207|[615, 82, 41, 82]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      42|[-0.0001014587572466, -0.0026834990950982, 0.0022664046769752, 0.0048423719272285, 0.000846491562796, 0.0005003993793285, 0.0006762215504705, 0.0008900345961082, -0.000904878878707, 1.0006901384443365]|2699.7594633208063897|      0.00024414|[630, 84, 42, 84]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      43|[-0.0001014587572466, -0.0026834990950982, 0.0022664046769752, 0.0048423719272285, 0.000846491562796, 0.0005003993793285, 0.0006762215504705, 0.0008900345961082, -0.000904878878707, 1.0006901384443365]|2699.7594633208063897|      0.00012207|[645, 86, 43, 86]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      44|[-7.77462843964e-05, -0.0026941474526452, 0.0023207496243008, 0.0048604183547133, 0.0008850692854438, 0.0005281169360953, 0.0007207425218263, 0.0008982582698549, -0.0009300413766951, 1.0006126333166432]|2699.7173150802386772|      0.00024414|[660, 88, 44, 88]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      45|[-7.77462843964e-05, -0.0026941474526452, 0.0023207496243008, 0.0048604183547133, 0.0008850692854438, 0.0005281169360953, 0.0007207425218263, 0.0008982582698549, -0.0009300413766951, 1.0006126333166432]|2699.7173150802386772|      0.00012207|[675, 90, 45, 90]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      46|[-9.4310943081e-05, -0.0026765730893265, 0.0023292053633675, 0.004817204190073, 0.0009223964579817, 0.0005661022950624, 0.000772387705469, 0.0008581788356409, -0.0009378283860045, 1.0005404632215775]|2699.6879486591674322|      0.00024414|[690, 92, 46, 92]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      47|[-9.4310943081e-05, -0.0026765730893265, 0.0023292053633675, 0.004817204190073, 0.0009223964579817, 0.0005661022950624, 0.000772387705469, 0.0008581788356409, -0.0009378283860045, 1.0005404632215775]|2699.6879486591674322|      0.00012207|[705, 94, 47, 94]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      48|[-0.0001215135274868, -0.0026727468896241, 0.0023490640321454, 0.0049145277625587, 0.0009353771155167, 0.0005866833337539, 0.0008169084711811, 0.0008752722062939, -0.0009548387765728, 1.0005069283979833]|2699.6694339613272859|      0.00024414|[720, 96, 48, 96]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      49|[-0.0001215135274868, -0.0026727468896241, 0.0023490640321454, 0.0049145277625587, 0.0009353771155167, 0.0005866833337539, 0.0008169084711811, 0.0008752722062939, -0.0009548387765728, 1.0005069283979833]|2699.6694339613272859|      0.00012207|[735, 98, 49, 98]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      50|[-0.000125644279042, -0.0026622380456608, 0.0023800927393685, 0.0048095538030678, 0.0009558679364722, 0.0005872920198405, 0.0008409779251413, 0.0008693260756239, -0.0009793414534165, 1.0004729279723643]|2699.6421379738421820|      0.00024414|[750, 100, 50, 100]                                                        |  | used linear model with 17 points | iterate success | actual_k=2
