k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|1827.7085714285710765|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1952397185409839, 0.1257685362719403, 0.0270512964201067, -0.1248371082925158, 0.0485083822997888, 0.3159252176827071, 0.3491337758097823, 0.0318366628708793, 0.161684315047058, -0.0829821179951568, 0.0974488463368289, 0.0860200314630501, 0.0258230631060338, -0.010610884886855, 0.1476159430015907, 0.1530330531781333, 0.0555857184838216, -0.1193551309371402, 0.1181912882605276, 0.0953892045879944, 0.1715565706568763, -0.1265050231670272, 0.3273244040600258, -0.123328560479033, 0.1391025796134777, 0.0772153356076223, -0.0545825674409291, 0.1808034431879877, -0.0415635306224271, -0.0799618025947325, 0.0418730195915177, 0.0899466190308855, 0.0240915914740929, 0.2968501556867331, -0.1808105436801711, 0.0009265903363869, 0.0653695745704035, -0.014893076290994, 0.0109952641295972, 0.1006401230772406, 0.1118082504895467, 0.1727927828177029, -0.0468504128018244, -0.1209069064897832, -0.0684392229968385, 0.0978891512155836, 0.2795702218671943, 0.1026028026371044, 0.1526316367848949, 0.00835428874815]|1776.9090576171875000|      2.00000000|[25, 8, 0, 2]                                                              |  | trying linear partial model with 13 points | iterate success | actual_k=4
       2|[0.3051831876267062, 0.6821937948485596, 0.7021760613306556, -0.0854906084058396, 0.1853920209285542, 0.3688534815627819, 0.6373681936392896, 0.1015050074674602, 0.1421701640978074, -0.1533433083250133, -0.0284934876393343, 0.2820345426618767, 0.2149116245211485, 0.0520202126005688, 0.3517331054790102, 0.124492485628131, 0.4976625200536066, 0.2110988375888921, 0.2805720388662198, 0.1036225153835201, 0.0733389413245688, -0.2644423737264299, 0.5734161403374395, 0.1648683961112198, 0.9167092726803413, 0.7053836413975283, 0.1657926523657621, 0.2188332502379897, 0.0521809218204024, 0.3418500823130037, 0.0422987978098536, -0.0247428693989471, -0.423869286620953, 0.1058923539570348, 0.1235130656194736, -0.0722070636327769, -0.1047549637618652, 0.3203913562589263, 0.3202762819522781, 0.5544019911037399, 0.0717256470301679, 0.2581674894809769, 0.0327927931383094, 0.1829129659406717, 0.07065756760158, 0.4145368622629629, 0.3202681402298098, 0.5374402547939113, 0.2183830620766327, 0.1386819739863749]|1662.1944580078125000|      4.00000000|[49, 16, 0, 4]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       3|[1.4030198242484708, 0.6428406649917532, 0.8465804944184074, -0.8270305475012796, -0.1815370075264465, -0.0402374472474628, 0.9725227614723988, -0.2234868965391806, 0.0407437635775218, -0.3333804518763925, 0.6304311622199564, 0.9002054187160089, 0.9331650487921298, 1.0758512334205022, 0.8247847950664426, 0.986809841611934, 0.1293850092489059, 0.3740183560281203, -0.0352265835782701, 0.1144821380984409, 0.9072655554995741, -0.3011982354565831, -0.2356559028401199, 0.9413215191029867, 0.9811505229109555, 1.173417020198917, 1.2692597919786346, 0.0703958569431369, -0.514277360426554, 0.8240570278739141, 0.6847524086350673, 0.334150773227855, 0.1315689654539465, 0.8902610189379704, 0.2901262007472812, 0.5490615212878983, 1.3219942603528978, -0.5938161411110603, 0.8348515593863608, 0.8354995898950894, 0.2315501490760178, 0.3020198142444345, -0.1908884644564619, 0.1518508297802971, 0.8711030207451531, 0.4856154274317834, 0.1635759577919694, 0.7385639054648108, 0.1855005230917146, 0.5801894047960147]|1501.9358682927006612|      8.00000000|[73, 24, 1, 7]                                                             |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
       4|[2.2134941110425252, 0.7574652543321747, 0.3713938578132537, 0.0109977191626753, 0.4816739026351879, -1.3474595667924332, 2.5258910087867292, 0.6708975362841882, 1.704857642891744, 0.3517512340402029, 1.051695659992328, 1.8328096877191022, 2.8372463155714587, 0.6061531113250389, 1.2030781499029288, 1.1289390861844548, 1.4098344556838143, 1.1074451171905553, -0.7219197005562781, 1.4681672240165569, 0.7825941565944635, -1.6363635854330179, -2.12806091686902, 2.884018379548161, 1.104451530289702, 0.3677650184404611, 1.9326783521179114, 0.0058483506264295, 1.370266280683596, 2.1133955130091495, 1.0922707121595578, 2.0345200278028925, 1.881074971937674, 0.774475699082862, 0.3038758711326551, 0.3833629860072166, 2.1215900432012367, -1.1156870222483624, 1.7236152317487599, 1.2747284672088561, 1.9628110390521847, -0.0149295930975628, 3.2515436089503584, 1.0590218292186273, 0.9330754970232787, 1.1148281679560275, 0.8838849939685044, 1.4044126700460984, -0.898152143710411, 2.137955097302802]|1378.1289062500000000|     16.00000000|[98, 32, 1, 9]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       5|[2.2134941110425252, 0.7574652543321747, 0.3713938578132537, 0.0109977191626753, 0.4816739026351879, -1.3474595667924332, 2.5258910087867292, 0.6708975362841882, 1.704857642891744, 0.3517512340402029, 1.051695659992328, 1.8328096877191022, 2.8372463155714587, 0.6061531113250389, 1.2030781499029288, 1.1289390861844548, 1.4098344556838143, 1.1074451171905553, -0.7219197005562781, 1.4681672240165569, 0.7825941565944635, -1.6363635854330179, -2.12806091686902, 2.884018379548161, 1.104451530289702, 0.3677650184404611, 1.9326783521179114, 0.0058483506264295, 1.370266280683596, 2.1133955130091495, 1.0922707121595578, 2.0345200278028925, 1.881074971937674, 0.774475699082862, 0.3038758711326551, 0.3833629860072166, 2.1215900432012367, -1.1156870222483624, 1.7236152317487599, 1.2747284672088561, 1.9628110390521847, -0.0149295930975628, 3.2515436089503584, 1.0590218292186273, 0.9330754970232787, 1.1148281679560275, 0.8838849939685044, 1.4044126700460984, -0.898152143710411, 2.137955097302802]|1378.1289062500000000|      8.00000000|[172, 56, 3, 17]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 26 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 38 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 51 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 63 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[2.853689682779694, 1.001164773161394, 1.6183981311894637, 0.5168113940164385, 1.4395823313978884, -0.7094645263141346, 3.596564043163151, 2.018965562088419, 2.3210465535446727, -0.5124201029557527, -0.0928903242019978, 2.2165718323199135, 4.003761541773865, 0.9981909059772212, -0.5889681953643975, 3.6331747497832225, -0.0064384822461634, 2.2291284013506565, -0.2370046985470442, 0.8231317956479295, 2.8580189716728985, -1.3577675659494675, -0.5212553713073378, 1.627658320495135, 0.1052615375587481, 0.1630880808832184, 1.8192867493877967, 2.6361319206369545, 3.1174794464825353, 2.27997800623433, 0.399213136022515, 1.079624581267292, 0.2460141986564428, 0.4532314110253235, 1.244844420429635, -0.9840263953344034, 1.8354067210843616, -2.2498226379610466, 1.9153223397781556, 0.723319977889921, 2.920758623168471, 0.6144380199143613, 2.189040708901323, 0.9888592397048204, 3.3086468144688497, 0.0385142726547694, 0.5959774621758157, 2.565069270480592, 0.1037868280609269, 2.2863167743904538]|1148.5686188562806365|     16.00000000|[208, 68, 4, 21]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
       7|[2.853689682779694, 1.001164773161394, 1.6183981311894637, 0.5168113940164385, 1.4395823313978884, -0.7094645263141346, 3.596564043163151, 2.018965562088419, 2.3210465535446727, -0.5124201029557527, -0.0928903242019978, 2.2165718323199135, 4.003761541773865, 0.9981909059772212, -0.5889681953643975, 3.6331747497832225, -0.0064384822461634, 2.2291284013506565, -0.2370046985470442, 0.8231317956479295, 2.8580189716728985, -1.3577675659494675, -0.5212553713073378, 1.627658320495135, 0.1052615375587481, 0.1630880808832184, 1.8192867493877967, 2.6361319206369545, 3.1174794464825353, 2.27997800623433, 0.399213136022515, 1.079624581267292, 0.2460141986564428, 0.4532314110253235, 1.244844420429635, -0.9840263953344034, 1.8354067210843616, -2.2498226379610466, 1.9153223397781556, 0.723319977889921, 2.920758623168471, 0.6144380199143613, 2.189040708901323, 0.9888592397048204, 3.3086468144688497, 0.0385142726547694, 0.5959774621758157, 2.565069270480592, 0.1037868280609269, 2.2863167743904538]|1148.5686188562806365|      8.00000000|[282, 92, 5, 28]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 37 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 62 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[2.853689682779694, 1.001164773161394, 1.6183981311894637, 0.5168113940164385, 1.4395823313978884, -0.7094645263141346, 3.596564043163151, 2.018965562088419, 2.3210465535446727, -0.5124201029557527, -0.0928903242019978, 2.2165718323199135, 4.003761541773865, 0.9981909059772212, -0.5889681953643975, 3.6331747497832225, -0.0064384822461634, 2.2291284013506565, -0.2370046985470442, 0.8231317956479295, 2.8580189716728985, -1.3577675659494675, -0.5212553713073378, 1.627658320495135, 0.1052615375587481, 0.1630880808832184, 1.8192867493877967, 2.6361319206369545, 3.1174794464825353, 2.27997800623433, 0.399213136022515, 1.079624581267292, 0.2460141986564428, 0.4532314110253235, 1.244844420429635, -0.9840263953344034, 1.8354067210843616, -2.2498226379610466, 1.9153223397781556, 0.723319977889921, 2.920758623168471, 0.6144380199143613, 2.189040708901323, 0.9888592397048204, 3.3086468144688497, 0.0385142726547694, 0.5959774621758157, 2.565069270480592, 0.1037868280609269, 2.2863167743904538]|1148.5686188562806365|      4.00000000|[355, 116, 7, 36]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 38 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 50 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 62 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[2.3441729069187596, 1.038775588886521, 2.090378135045548, 1.251949820513376, 1.9607572295227818, -1.3944293981087483, 4.288869333915204, 2.6338586556759642, 2.48500652881731, 0.099584345437436, 0.4683181762880811, 2.8110019364135597, 4.341127326636539, 0.6614627780031861, 0.7332455060627765, 4.332426611726226, -0.3525391054896012, 2.369914550086312, -0.6678739149570033, 1.6873749866884955, 2.96043342227475, -0.4578438020949044, -0.5018944738564802, 1.929989902382039, 0.604702841703798, -0.1015045983985896, 1.8372390164268224, 1.9278447193872077, 3.1064994967546475, 3.110257411348579, 0.8873465425709637, 0.681057864753164, 0.406300125263051, 1.4848201463977035, 1.4051969691280968, -0.4414333924367851, 1.1277335123510042, -2.455326966330915, 1.5515050781913302, 1.0446813277140574, 3.5414143779423304, -0.0766442514561185, 2.7347890819476897, 1.0898332056539515, 2.4293472668867797, 0.5305400891893661, 1.4256938679262847, 2.7338837488478593, -0.3069457032102398, 3.1174115179060142]|1034.3638916015625000|      8.00000000|[380, 124, 7, 38]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      10|[2.3441729069187596, 1.038775588886521, 2.090378135045548, 1.251949820513376, 1.9607572295227818, -1.3944293981087483, 4.288869333915204, 2.6338586556759642, 2.48500652881731, 0.099584345437436, 0.4683181762880811, 2.8110019364135597, 4.341127326636539, 0.6614627780031861, 0.7332455060627765, 4.332426611726226, -0.3525391054896012, 2.369914550086312, -0.6678739149570033, 1.6873749866884955, 2.96043342227475, -0.4578438020949044, -0.5018944738564802, 1.929989902382039, 0.604702841703798, -0.1015045983985896, 1.8372390164268224, 1.9278447193872077, 3.1064994967546475, 3.110257411348579, 0.8873465425709637, 0.681057864753164, 0.406300125263051, 1.4848201463977035, 1.4051969691280968, -0.4414333924367851, 1.1277335123510042, -2.455326966330915, 1.5515050781913302, 1.0446813277140574, 3.5414143779423304, -0.0766442514561185, 2.7347890819476897, 1.0898332056539515, 2.4293472668867797, 0.5305400891893661, 1.4256938679262847, 2.7338837488478593, -0.3069457032102398, 3.1174115179060142]|1034.3638916015625000|      4.00000000|[452, 148, 8, 45]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 37 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 61 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
