k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]                              |  2.9665404653292509|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]                              |  2.9665404653292509|      0.50000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]                              |  2.9665404653292509|      0.25000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[0.1159120662412578, 0.0331239777213454, 0.1012039315776003, 0.0439520251001819, 0.0974087727817713, 0.1961827553040391, 0.0509546233059903, 0.0176395464956076, -0.0269045063618636, -0.041704957438604]|  1.6947619542800489|      0.50000000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       4|[0.1159120662412578, 0.0331239777213454, 0.1012039315776003, 0.0439520251001819, 0.0974087727817713, 0.1961827553040391, 0.0509546233059903, 0.0176395464956076, -0.0269045063618636, -0.041704957438604]|  1.6947619542800489|      0.25000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[0.1159120662412578, 0.0331239777213454, 0.1012039315776003, 0.0439520251001819, 0.0974087727817713, 0.1961827553040391, 0.0509546233059903, 0.0176395464956076, -0.0269045063618636, -0.041704957438604]|  1.6947619542800489|      0.12500000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[0.1023658211354454, 0.0073231015522584, 0.0379889615229818, 0.0090957174808211, 0.0908407148828911, 0.1171436411375203, 0.0478577817591132, 0.0553043159441872, 0.0013705209212313, -0.0093522758380481]|  0.8712645993689040|      0.25000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       7|[0.1023658211354454, 0.0073231015522584, 0.0379889615229818, 0.0090957174808211, 0.0908407148828911, 0.1171436411375203, 0.0478577817591132, 0.0553043159441872, 0.0013705209212313, -0.0093522758380481]|  0.8712645993689040|      0.12500000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[0.1023658211354454, 0.0073231015522584, 0.0379889615229818, 0.0090957174808211, 0.0908407148828911, 0.1171436411375203, 0.0478577817591132, 0.0553043159441872, 0.0013705209212313, -0.0093522758380481]|  0.8712645993689040|      0.06250000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[0.1145941657733684, -0.0022750097201599, 0.0428435727494149, 0.0040789143758326, 0.0653003430127879, 0.0830780460456968, 0.0334174594186584, 0.0157512314143127, -0.0039350160485576, -0.0107539862146088]|  0.4038940748261217|      0.12500000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
      10|[0.1145941657733684, -0.0022750097201599, 0.0428435727494149, 0.0040789143758326, 0.0653003430127879, 0.0830780460456968, 0.0334174594186584, 0.0157512314143127, -0.0039350160485576, -0.0107539862146088]|  0.4038940748261217|      0.06250000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[0.1145941657733684, -0.0022750097201599, 0.0428435727494149, 0.0040789143758326, 0.0653003430127879, 0.0830780460456968, 0.0334174594186584, 0.0157512314143127, -0.0039350160485576, -0.0107539862146088]|  0.4038940748261217|      0.03125000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      12|[0.1174744120511145, -0.0053606767368186, 0.0435958389818845, 0.006805478873491, 0.0604688127830379, 0.0634103655485462, 0.015559237998446, 0.0197969801947412, -0.0006778511446444, 0.003199173384546]|  0.2604921991123383|      0.06250000|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      13|[0.1174744120511145, -0.0053606767368186, 0.0435958389818845, 0.006805478873491, 0.0604688127830379, 0.0634103655485462, 0.015559237998446, 0.0197969801947412, -0.0006778511446444, 0.003199173384546]|  0.2604921991123383|      0.03125000|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      14|[0.1176395972412771, -0.00119834423972, 0.0329671541564165, 0.0100173255369987, 0.0504230247298185, 0.0465803517912718, 0.0016231138653274, 0.0111189188907224, 4.4394079614e-05, -0.0102808911269211]|  0.1625092914108956|      0.06250000|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      15|[0.1176395972412771, -0.00119834423972, 0.0329671541564165, 0.0100173255369987, 0.0504230247298185, 0.0465803517912718, 0.0016231138653274, 0.0111189188907224, 4.4394079614e-05, -0.0102808911269211]|  0.1625092914108956|      0.03125000|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      16|[0.1166482444974112, -0.0044776478596403, 0.0221563188375779, 0.0049554550125788, 0.0316665495904184, 0.0250578646361045, 0.0016702964865522, 0.0138205554313615, 7.57650591878e-05, -0.0103466989795643]|  0.0785985107890221|      0.06250000|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      17|[0.1166482444974112, -0.0044776478596403, 0.0221563188375779, 0.0049554550125788, 0.0316665495904184, 0.0250578646361045, 0.0016702964865522, 0.0138205554313615, 7.57650591878e-05, -0.0103466989795643]|  0.0785985107890221|      0.03125000|[289, 0, 17, 34]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      18|[0.1130340599994305, -0.0102168198476168, 0.0178817390830397, 0.0046137606913008, 0.0326515508305009, 0.0059304257030094, 0.0060640822115263, 0.0055285076339503, -0.0121935324000982, 0.007167440189166]|  0.0576633984508830|      0.06250000|[306, 0, 18, 36]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      19|[0.1130340599994305, -0.0102168198476168, 0.0178817390830397, 0.0046137606913008, 0.0326515508305009, 0.0059304257030094, 0.0060640822115263, 0.0055285076339503, -0.0121935324000982, 0.007167440189166]|  0.0576633984508830|      0.03125000|[323, 0, 19, 38]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      20|[0.1130340599994305, -0.0102168198476168, 0.0178817390830397, 0.0046137606913008, 0.0326515508305009, 0.0059304257030094, 0.0060640822115263, 0.0055285076339503, -0.0121935324000982, 0.007167440189166]|  0.0576633984508830|      0.01562500|[340, 0, 20, 40]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      21|[0.1123288649691564, -0.0018773999905454, 0.0168097470565878, 0.0062771054451688, 0.0305496539696171, 0.0071497398691123, -0.0008251138130508, 0.0019237255622708, -0.0038164479176034, 0.0013669401058885]|  0.0359000498834999|      0.03125000|[357, 0, 21, 42]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      22|[0.1123288649691564, -0.0018773999905454, 0.0168097470565878, 0.0062771054451688, 0.0305496539696171, 0.0071497398691123, -0.0008251138130508, 0.0019237255622708, -0.0038164479176034, 0.0013669401058885]|  0.0359000498834999|      0.01562500|[374, 0, 22, 44]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      23|[0.1103800153593379, 0.0002358672697361, 0.0158090542546801, 0.0018476291625389, 0.0185365115934509, 0.0016353000064501, -0.0001092235211964, 0.0043589976913763, -0.0014545313526759, -0.0039724165596056]|  0.0219071376069623|      0.03125000|[391, 0, 23, 46]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      24|[0.1103800153593379, 0.0002358672697361, 0.0158090542546801, 0.0018476291625389, 0.0185365115934509, 0.0016353000064501, -0.0001092235211964, 0.0043589976913763, -0.0014545313526759, -0.0039724165596056]|  0.0219071376069623|      0.01562500|[408, 0, 24, 48]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
