k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]                              |  2.9665404653292509|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]                              |  2.9665404653292509|      0.50000000|[29, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]                              |  2.9665404653292509|      0.25000000|[58, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.0533649207252732, 0.1670932591759138, 0.1165595717675332, 0.0533998216812899, 0.0719517479110358, 0.1319450237953404, 0.0545881479577725, -0.0128678406761554, 0.0434631743074862, -0.0832290383727812]|  1.8280869722366333|      0.50000000|[87, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       4|[0.0533649207252732, 0.1670932591759138, 0.1165595717675332, 0.0533998216812899, 0.0719517479110358, 0.1319450237953404, 0.0545881479577725, -0.0128678406761554, 0.0434631743074862, -0.0832290383727812]|  1.8280869722366333|      0.25000000|[115, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.0168175713173925, 0.0248002455725327, 0.0050783497619139, -0.0262507960157529, 0.0028274609169686, 0.0897992384129281, 0.0447002573161888, -0.0067315000168345, -0.0184127849516199, 0.0245958757303118]|  0.4518075585365295|      0.50000000|[144, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       6|[0.0168175713173925, 0.0248002455725327, 0.0050783497619139, -0.0262507960157529, 0.0028274609169686, 0.0897992384129281, 0.0447002573161888, -0.0067315000168345, -0.0184127849516199, 0.0245958757303118]|  0.4518075585365295|      0.25000000|[172, 12, 0, 12]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.0168175713173925, 0.0248002455725327, 0.0050783497619139, -0.0262507960157529, 0.0028274609169686, 0.0897992384129281, 0.0447002573161888, -0.0067315000168345, -0.0184127849516199, 0.0245958757303118]|  0.4518075585365295|      0.12500000|[200, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.0168175713173925, 0.0248002455725327, 0.0050783497619139, -0.0262507960157529, 0.0028274609169686, 0.0897992384129281, 0.0447002573161888, -0.0067315000168345, -0.0184127849516199, 0.0245958757303118]|  0.4518075585365295|      0.06250000|[228, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.0047391701332031, 0.0130318780956656, 0.0017877350560334, -0.0485220648001958, 0.0278121313034258, 0.0481235853222949, 0.039921282585663, 0.0091442227350632, -0.0062228776053581, 0.0064171693676342]|  0.2214933335781097|      0.12500000|[257, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
