k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3865888319236482, -0.1263079181919243, 0.2343829028368462, 0.7008506337383252, 0.0657709626816765, -0.0578331420455108, 0.2219601445280479, 0.0736634578488721, -0.1773206199599237, 0.0460854961673746, -0.2776422174752127, -0.0011549850561469, -0.1308359923979095, -0.1091616014076538, -0.0845551931305401, 0.0844793125313792, 0.0781272852829251, -0.0685266112245403, 0.1876731192218992, -0.0197589791682681, 0.1298527521388161, -0.0941198476814531]| 13.4344577789306641|      2.00000000|[29, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       2|[0.3865888319236482, -0.1263079181919243, 0.2343829028368462, 0.7008506337383252, 0.0657709626816765, -0.0578331420455108, 0.2219601445280479, 0.0736634578488721, -0.1773206199599237, 0.0460854961673746, -0.2776422174752127, -0.0011549850561469, -0.1308359923979095, -0.1091616014076538, -0.0845551931305401, 0.0844793125313792, 0.0781272852829251, -0.0685266112245403, 0.1876731192218992, -0.0197589791682681, 0.1298527521388161, -0.0941198476814531]| 13.4344577789306641|      1.00000000|[58, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       3|[0.9654770016580403, -0.1520784115404672, 0.2767313884594154, 1.0734161197887402, 0.1191310872264962, 0.1262679505429589, 0.1426985615337193, 0.2209188030348803, -0.3996434307172758, 0.0174033140734445, -0.5623745659739418, 0.2053619942796513, -0.1820168432634336, -0.2256019346910673, -0.1819172753162463, -0.0146258939760375, -0.1683655185924678, -0.0491308617092986, 0.5549779575694744, 0.0136332052290673, 0.3574512177277501, -0.1165724827095878]| 12.6223430633544922|      2.00000000|[87, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       4|[0.9654770016580403, -0.1520784115404672, 0.2767313884594154, 1.0734161197887402, 0.1191310872264962, 0.1262679505429589, 0.1426985615337193, 0.2209188030348803, -0.3996434307172758, 0.0174033140734445, -0.5623745659739418, 0.2053619942796513, -0.1820168432634336, -0.2256019346910673, -0.1819172753162463, -0.0146258939760375, -0.1683655185924678, -0.0491308617092986, 0.5549779575694744, 0.0136332052290673, 0.3574512177277501, -0.1165724827095878]| 12.6223430633544922|      1.00000000|[115, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       5|[1.2609467805015542, 0.0523017912123811, 0.3147903667795455, 1.6947401619616311, 0.1072019292291137, 0.1206150880634981, -0.0543527457443859, 0.4527852729205386, -0.391364022900926, -0.3870029690757308, -0.8178561509358502, 0.396264463759151, -0.1660949849144972, -0.4320271135288236, -0.0914497172255835, 0.0915658799633939, -0.1344733773784176, -0.0347560726870769, 0.5331820484977113, 0.09001494677097, 0.3279534020252927, 0.1168382573067531]| 12.1947860717773438|      2.00000000|[144, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       6|[1.2609467805015542, 0.0523017912123811, 0.3147903667795455, 1.6947401619616311, 0.1072019292291137, 0.1206150880634981, -0.0543527457443859, 0.4527852729205386, -0.391364022900926, -0.3870029690757308, -0.8178561509358502, 0.396264463759151, -0.1660949849144972, -0.4320271135288236, -0.0914497172255835, 0.0915658799633939, -0.1344733773784176, -0.0347560726870769, 0.5331820484977113, 0.09001494677097, 0.3279534020252927, 0.1168382573067531]| 12.1947860717773438|      1.00000000|[172, 12, 0, 12]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       7|[1.2609467805015542, 0.0523017912123811, 0.3147903667795455, 1.6947401619616311, 0.1072019292291137, 0.1206150880634981, -0.0543527457443859, 0.4527852729205386, -0.391364022900926, -0.3870029690757308, -0.8178561509358502, 0.396264463759151, -0.1660949849144972, -0.4320271135288236, -0.0914497172255835, 0.0915658799633939, -0.1344733773784176, -0.0347560726870769, 0.5331820484977113, 0.09001494677097, 0.3279534020252927, 0.1168382573067531]| 12.1947860717773438|      0.50000000|[200, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       8|[1.5442631953278525, -0.04114012645847, 0.4206560358554685, 1.9901072282140329, 0.0896282672709402, 0.0780486966486724, -0.1501245049428767, 0.4173554864018498, -0.3412318675194803, -0.3278327815487973, -0.8409629076776277, 0.3460004620760712, -0.19855605624429, -0.4869547960870097, -0.1807749528750938, 0.0533385139697663, -0.1990259391728586, -0.0043862652582375, 0.5206998274897764, 0.1010587574354637, 0.2066689932465883, 0.0311640617733761]| 12.1479167938232422|      1.00000000|[228, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       9|[1.5442631953278525, -0.04114012645847, 0.4206560358554685, 1.9901072282140329, 0.0896282672709402, 0.0780486966486724, -0.1501245049428767, 0.4173554864018498, -0.3412318675194803, -0.3278327815487973, -0.8409629076776277, 0.3460004620760712, -0.19855605624429, -0.4869547960870097, -0.1807749528750938, 0.0533385139697663, -0.1990259391728586, -0.0043862652582375, 0.5206998274897764, 0.1010587574354637, 0.2066689932465883, 0.0311640617733761]| 12.1479167938232422|      0.50000000|[257, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      10|[1.5442631953278525, -0.04114012645847, 0.4206560358554685, 1.9901072282140329, 0.0896282672709402, 0.0780486966486724, -0.1501245049428767, 0.4173554864018498, -0.3412318675194803, -0.3278327815487973, -0.8409629076776277, 0.3460004620760712, -0.19855605624429, -0.4869547960870097, -0.1807749528750938, 0.0533385139697663, -0.1990259391728586, -0.0043862652582375, 0.5206998274897764, 0.1010587574354637, 0.2066689932465883, 0.0311640617733761]| 12.1479167938232422|      0.25000000|[285, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      11|[1.5442631953278525, -0.04114012645847, 0.4206560358554685, 1.9901072282140329, 0.0896282672709402, 0.0780486966486724, -0.1501245049428767, 0.4173554864018498, -0.3412318675194803, -0.3278327815487973, -0.8409629076776277, 0.3460004620760712, -0.19855605624429, -0.4869547960870097, -0.1807749528750938, 0.0533385139697663, -0.1990259391728586, -0.0043862652582375, 0.5206998274897764, 0.1010587574354637, 0.2066689932465883, 0.0311640617733761]| 12.1479167938232422|      0.12500000|[314, 22, 0, 22]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
