k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6060185375877324, 0.062414724069702, 0.1200245535216136, 0.7831057900418203, 0.0092450177934755, -0.0059798463131244, 0.0015109275501277, -0.0040516218683711, 0.0033782815507473, 0.0061022327310079, 0.0010368299147671, -5.40345122065e-05, 0.0019173342981904, 0.0147777055900449, 0.0185250746458798, 0.0111917706579134, 0.0019021203382759, 0.007723509553704, -0.0019928720760399, -0.0023528377317677, 0.0130118774256321, -0.0079453870443044]| 13.1522769927978516|      2.00000000|[121, 8, 0, 2]                                                             |  | trying linear partial model with 61 points | iterate success | actual_k=4
       2|[1.826862764846486, 0.2331943638381602, 0.363915674035124, 2.310959725763918, -0.0749942852997565, 0.0570782688970996, 0.0020862943869907, -0.0470640919500034, -0.0455682470117036, 0.1654945232855153, 0.116073805894067, 0.0094280591558597, -0.0829434987567128, 0.0517427600436782, 0.0301006069482775, -0.0689127354697889, 0.0406493316682964, -0.0353007203333442, -0.0078799270694432, 0.0911337768671636, -0.0469165250063473, -0.0487906985235312]| 12.2695312500000000|      4.00000000|[241, 16, 0, 4]                                                            |  | trying linear partial model with 61 points | iterate success | actual_k=4
       3|[1.826862764846486, 0.2331943638381602, 0.363915674035124, 2.310959725763918, -0.0749942852997565, 0.0570782688970996, 0.0020862943869907, -0.0470640919500034, -0.0455682470117036, 0.1654945232855153, 0.116073805894067, 0.0094280591558597, -0.0829434987567128, 0.0517427600436782, 0.0301006069482775, -0.0689127354697889, 0.0406493316682964, -0.0353007203333442, -0.0078799270694432, 0.0911337768671636, -0.0469165250063473, -0.0487906985235312]| 12.2695312500000000|      2.00000000|[361, 24, 0, 6]                                                            |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       4|[1.826862764846486, 0.2331943638381602, 0.363915674035124, 2.310959725763918, -0.0749942852997565, 0.0570782688970996, 0.0020862943869907, -0.0470640919500034, -0.0455682470117036, 0.1654945232855153, 0.116073805894067, 0.0094280591558597, -0.0829434987567128, 0.0517427600436782, 0.0301006069482775, -0.0689127354697889, 0.0406493316682964, -0.0353007203333442, -0.0078799270694432, 0.0911337768671636, -0.0469165250063473, -0.0487906985235312]| 12.2695312500000000|      1.00000000|[481, 32, 0, 8]                                                            |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       5|[1.826862764846486, 0.2331943638381602, 0.363915674035124, 2.310959725763918, -0.0749942852997565, 0.0570782688970996, 0.0020862943869907, -0.0470640919500034, -0.0455682470117036, 0.1654945232855153, 0.116073805894067, 0.0094280591558597, -0.0829434987567128, 0.0517427600436782, 0.0301006069482775, -0.0689127354697889, 0.0406493316682964, -0.0353007203333442, -0.0078799270694432, 0.0911337768671636, -0.0469165250063473, -0.0487906985235312]| 12.2695312500000000|      0.50000000|[601, 40, 0, 10]                                                           |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       6|[1.5223316219462788, 0.1919379913795048, 0.2804947321882302, 1.9284139806071625, -0.0745138346008008, 0.0443764374787164, -0.0116793412103523, -0.032717734827133, -0.0337517760142343, 0.1618043980104896, 0.1164799775782513, 0.0214166682072053, -0.0706139939195349, 0.0536410417946076, 0.0463377372381779, -0.0567207057726878, 0.0431126525185507, -0.0247474334873439, 0.0023391844341344, 0.0684853883906443, -0.0512100428934476, -0.039668512130298]| 12.1448392868041992|      1.00000000|[721, 48, 0, 12]                                                           |  | trying linear partial model with 61 points | iterate success | actual_k=4
       7|[1.5223316219462788, 0.1919379913795048, 0.2804947321882302, 1.9284139806071625, -0.0745138346008008, 0.0443764374787164, -0.0116793412103523, -0.032717734827133, -0.0337517760142343, 0.1618043980104896, 0.1164799775782513, 0.0214166682072053, -0.0706139939195349, 0.0536410417946076, 0.0463377372381779, -0.0567207057726878, 0.0431126525185507, -0.0247474334873439, 0.0023391844341344, 0.0684853883906443, -0.0512100428934476, -0.039668512130298]| 12.1448392868041992|      0.50000000|[841, 56, 0, 14]                                                           |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       8|[1.5223316219462788, 0.1919379913795048, 0.2804947321882302, 1.9284139806071625, -0.0745138346008008, 0.0443764374787164, -0.0116793412103523, -0.032717734827133, -0.0337517760142343, 0.1618043980104896, 0.1164799775782513, 0.0214166682072053, -0.0706139939195349, 0.0536410417946076, 0.0463377372381779, -0.0567207057726878, 0.0431126525185507, -0.0247474334873439, 0.0023391844341344, 0.0684853883906443, -0.0512100428934476, -0.039668512130298]| 12.1448392868041992|      0.25000000|[961, 64, 0, 16]                                                           |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       9|[1.5223316219462788, 0.1919379913795048, 0.2804947321882302, 1.9284139806071625, -0.0745138346008008, 0.0443764374787164, -0.0116793412103523, -0.032717734827133, -0.0337517760142343, 0.1618043980104896, 0.1164799775782513, 0.0214166682072053, -0.0706139939195349, 0.0536410417946076, 0.0463377372381779, -0.0567207057726878, 0.0431126525185507, -0.0247474334873439, 0.0023391844341344, 0.0684853883906443, -0.0512100428934476, -0.039668512130298]| 12.1448392868041992|      0.12500000|[1081, 72, 0, 18]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      10|[1.5223316219462788, 0.1919379913795048, 0.2804947321882302, 1.9284139806071625, -0.0745138346008008, 0.0443764374787164, -0.0116793412103523, -0.032717734827133, -0.0337517760142343, 0.1618043980104896, 0.1164799775782513, 0.0214166682072053, -0.0706139939195349, 0.0536410417946076, 0.0463377372381779, -0.0567207057726878, 0.0431126525185507, -0.0247474334873439, 0.0023391844341344, 0.0684853883906443, -0.0512100428934476, -0.039668512130298]| 12.1448392868041992|      0.06250000|[1201, 80, 0, 20]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      11|[1.5223316219462788, 0.1919379913795048, 0.2804947321882302, 1.9284139806071625, -0.0745138346008008, 0.0443764374787164, -0.0116793412103523, -0.032717734827133, -0.0337517760142343, 0.1618043980104896, 0.1164799775782513, 0.0214166682072053, -0.0706139939195349, 0.0536410417946076, 0.0463377372381779, -0.0567207057726878, 0.0431126525185507, -0.0247474334873439, 0.0023391844341344, 0.0684853883906443, -0.0512100428934476, -0.039668512130298]| 12.1448392868041992|      0.03125000|[1321, 88, 0, 22]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
