k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6080249957362308, 0.0483601812538227, 0.1321652942820154, 0.7800271018348457, -0.0062639602496481, 0.0006727598848186, 0.0161043042927374, 0.0194768026968054, -0.0035314257627477, -0.0024041785062214, 0.0038877871831856, 0.0050623652765343, 0.0177853489960044, 0.0016597697869728, -0.0221772203925518, 0.0009985947626645, -0.0094075444135678, -0.0076896976621002, 0.0058796459024493, 0.0062704474495999, 0.0138191187248054, -0.0097562892549581]| 13.1526384353637695|      2.00000000|[118, 8, 0, 2]                                                             |  | trying linear partial model with 61 points | iterate success | actual_k=4
       2|[1.76083637388159, 0.146710556393893, 0.4633039446182869, 2.3528536745505786, -0.0341237159034327, -0.0452377919713155, -0.0702433398514191, -0.1037562936316611, 0.0025541777703215, 0.0265898036686255, 0.0576494169206723, -0.0467540934751246, -0.0384845847588434, -0.0294980842831114, -0.1308184297188466, 0.0385206127610364, 0.0363050183801185, -0.0092391424563672, 0.0422895243866146, -0.0558465484080407, -0.0665081252175602, -0.131662232781834]| 12.2699031829833984|      4.00000000|[235, 16, 0, 4]                                                            |  | trying linear partial model with 61 points | iterate success | actual_k=4
       3|[1.76083637388159, 0.146710556393893, 0.4633039446182869, 2.3528536745505786, -0.0341237159034327, -0.0452377919713155, -0.0702433398514191, -0.1037562936316611, 0.0025541777703215, 0.0265898036686255, 0.0576494169206723, -0.0467540934751246, -0.0384845847588434, -0.0294980842831114, -0.1308184297188466, 0.0385206127610364, 0.0363050183801185, -0.0092391424563672, 0.0422895243866146, -0.0558465484080407, -0.0665081252175602, -0.131662232781834]| 12.2699031829833984|      2.00000000|[352, 24, 0, 6]                                                            |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       4|[1.76083637388159, 0.146710556393893, 0.4633039446182869, 2.3528536745505786, -0.0341237159034327, -0.0452377919713155, -0.0702433398514191, -0.1037562936316611, 0.0025541777703215, 0.0265898036686255, 0.0576494169206723, -0.0467540934751246, -0.0384845847588434, -0.0294980842831114, -0.1308184297188466, 0.0385206127610364, 0.0363050183801185, -0.0092391424563672, 0.0422895243866146, -0.0558465484080407, -0.0665081252175602, -0.131662232781834]| 12.2699031829833984|      1.00000000|[470, 32, 0, 8]                                                            |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       5|[1.76083637388159, 0.146710556393893, 0.4633039446182869, 2.3528536745505786, -0.0341237159034327, -0.0452377919713155, -0.0702433398514191, -0.1037562936316611, 0.0025541777703215, 0.0265898036686255, 0.0576494169206723, -0.0467540934751246, -0.0384845847588434, -0.0294980842831114, -0.1308184297188466, 0.0385206127610364, 0.0363050183801185, -0.0092391424563672, 0.0422895243866146, -0.0558465484080407, -0.0665081252175602, -0.131662232781834]| 12.2699031829833984|      0.50000000|[587, 40, 0, 10]                                                           |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       6|[1.4290452957310797, 0.1270600362790091, 0.4075762322576415, 1.985968865743584, -0.020611902428888, -0.0423640779109364, -0.0607851252662352, -0.117361778287135, 0.0080107345573128, 0.0378039718899542, 0.0783382282776275, -0.0433607037484989, -0.0379031096749817, -0.0259883781754216, -0.1381992703721222, 0.0530730538498502, 0.0235423740998269, -0.0168644896232973, 0.029699750035176, -0.0650140326795734, -0.0673188506709328, -0.1355208242261212]| 12.1445760726928711|      1.00000000|[704, 48, 0, 12]                                                           |  | trying linear partial model with 61 points | iterate success | actual_k=4
       7|[1.4290452957310797, 0.1270600362790091, 0.4075762322576415, 1.985968865743584, -0.020611902428888, -0.0423640779109364, -0.0607851252662352, -0.117361778287135, 0.0080107345573128, 0.0378039718899542, 0.0783382282776275, -0.0433607037484989, -0.0379031096749817, -0.0259883781754216, -0.1381992703721222, 0.0530730538498502, 0.0235423740998269, -0.0168644896232973, 0.029699750035176, -0.0650140326795734, -0.0673188506709328, -0.1355208242261212]| 12.1445760726928711|      0.50000000|[822, 56, 0, 14]                                                           |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       8|[1.4290452957310797, 0.1270600362790091, 0.4075762322576415, 1.985968865743584, -0.020611902428888, -0.0423640779109364, -0.0607851252662352, -0.117361778287135, 0.0080107345573128, 0.0378039718899542, 0.0783382282776275, -0.0433607037484989, -0.0379031096749817, -0.0259883781754216, -0.1381992703721222, 0.0530730538498502, 0.0235423740998269, -0.0168644896232973, 0.029699750035176, -0.0650140326795734, -0.0673188506709328, -0.1355208242261212]| 12.1445760726928711|      0.25000000|[939, 64, 0, 16]                                                           |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       9|[1.4290452957310797, 0.1270600362790091, 0.4075762322576415, 1.985968865743584, -0.020611902428888, -0.0423640779109364, -0.0607851252662352, -0.117361778287135, 0.0080107345573128, 0.0378039718899542, 0.0783382282776275, -0.0433607037484989, -0.0379031096749817, -0.0259883781754216, -0.1381992703721222, 0.0530730538498502, 0.0235423740998269, -0.0168644896232973, 0.029699750035176, -0.0650140326795734, -0.0673188506709328, -0.1355208242261212]| 12.1445760726928711|      0.12500000|[1056, 72, 0, 18]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      10|[1.4290452957310797, 0.1270600362790091, 0.4075762322576415, 1.985968865743584, -0.020611902428888, -0.0423640779109364, -0.0607851252662352, -0.117361778287135, 0.0080107345573128, 0.0378039718899542, 0.0783382282776275, -0.0433607037484989, -0.0379031096749817, -0.0259883781754216, -0.1381992703721222, 0.0530730538498502, 0.0235423740998269, -0.0168644896232973, 0.029699750035176, -0.0650140326795734, -0.0673188506709328, -0.1355208242261212]| 12.1445760726928711|      0.06250000|[1174, 80, 0, 20]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      11|[1.4290452957310797, 0.1270600362790091, 0.4075762322576415, 1.985968865743584, -0.020611902428888, -0.0423640779109364, -0.0607851252662352, -0.117361778287135, 0.0080107345573128, 0.0378039718899542, 0.0783382282776275, -0.0433607037484989, -0.0379031096749817, -0.0259883781754216, -0.1381992703721222, 0.0530730538498502, 0.0235423740998269, -0.0168644896232973, 0.029699750035176, -0.0650140326795734, -0.0673188506709328, -0.1355208242261212]| 12.1445760726928711|      0.03125000|[1291, 88, 0, 22]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
