k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0]                                                                      |  5.9900000000000002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.3824098110198975, 1.3813771605491638]                                        |  1.2213151454925537|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[1.3824098110198975, 1.3813771605491638]                                        |  1.2213151454925537|      1.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[1.5337490439414978, 1.202966645359993]                                         |  0.3016308248043060|      2.00000000|[11, 3, 1, 4]                                                              | | GPS sucess | actual_k=1
       4|[1.5337490439414978, 1.202966645359993]                                         |  0.3016308248043060|      1.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[1.5337490439414978, 1.202966645359993]                                         |  0.3016308248043060|      0.50000000|[18, 5, 3, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[1.5337490439414978, 1.202966645359993]                                         |  0.3016308248043060|      0.25000000|[22, 6, 4, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[1.6294677555561066, 1.303487405180931]                                         |  0.2025786042213440|      0.50000000|[26, 7, 4, 11]                                                             | | GPS sucess | actual_k=1
       8|[1.6294677555561066, 1.303487405180931]                                         |  0.2025786042213440|      0.25000000|[29, 8, 5, 13]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[1.7422674894332886, 1.359485186636448]                                         |  0.1734794676303864|      0.50000000|[33, 9, 5, 14]                                                             | | GPS sucess | actual_k=1
      10|[1.7422674894332886, 1.359485186636448]                                         |  0.1734794676303864|      0.25000000|[36, 10, 6, 16]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[1.7422674894332886, 1.359485186636448]                                         |  0.1734794676303864|      0.12500000|[40, 11, 7, 18]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[1.7422674894332886, 1.359485186636448]                                         |  0.1734794676303864|      0.06250000|[44, 12, 8, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
