k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 5.0]                                                                      |  4.0997369887712187|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.4755842343952914, 5.851462333157039]                                         |  1.8246290399200285|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[-0.0012828751418332, 7.071090786411738]                                        |  1.5225707292556763|      4.00000000|[10, 0, 1, 3]                                                              | | GPS sucess | actual_k=0
       3|[-0.0012828751418332, 7.071090786411738]                                        |  1.5225707292556763|      2.00000000|[14, 0, 2, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.4356348172810336, 6.254902570202327]                                         |  1.3714982271194458|      4.00000000|[19, 0, 2, 6]                                                              | | GPS sucess | actual_k=0
       5|[1.4737801210072299, 8.76962706322906]                                          |  0.3324632644653320|      8.00000000|[23, 0, 2, 7]                                                              | | GPS sucess | actual_k=0
       6|[1.4737801210072299, 8.76962706322906]                                          |  0.3324632644653320|      4.00000000|[27, 0, 2, 8]                                                              |  | used linear model with 5 points | actual_k=0
       7|[1.2401415810969134, 10.273585765316462]                                        |  0.0319183170795441|      8.00000000|[31, 0, 2, 9]                                                              | | GPS sucess | actual_k=0
       8|[1.2401415810969134, 10.273585765316462]                                        |  0.0319183170795441|      4.00000000|[35, 0, 2, 10]                                                             |  | used linear model with 5 points | actual_k=0
       9|[1.2401415810969134, 10.273585765316462]                                        |  0.0319183170795441|      2.00000000|[39, 0, 3, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[1.2401415810969134, 10.273585765316462]                                        |  0.0319183170795441|      1.00000000|[44, 0, 4, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[0.9481278763201495, 9.446681885673975]                                         |  0.0172994788736105|      2.00000000|[49, 0, 4, 15]                                                             | | GPS sucess | actual_k=0
      12|[0.9481278763201495, 9.446681885673975]                                         |  0.0172994788736105|      1.00000000|[53, 0, 5, 17]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[0.9481278763201495, 9.446681885673975]                                         |  0.0172994788736105|      0.50000000|[58, 0, 6, 19]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[0.8737861470368167, 9.721415756895517]                                         |  0.0120675154030323|      1.00000000|[63, 0, 6, 20]                                                             | | GPS sucess | actual_k=0
