k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-4.0, -0.1]                                                                    | 41.0311021275976984|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-4.0, -0.1]                                                                    | 41.0311021275976984|      0.50000000|[4, 0, 1, 2]                                                               |  | used linear model with 4 points | iterate failure | actual_k=0
       2|[-4.0, -0.1]                                                                    | 41.0311021275976984|      0.25000000|[8, 0, 2, 4]                                                               |  | used linear model with 4 points | iterate failure | actual_k=0
       3|[-4.0, -0.1]                                                                    | 41.0311021275976984|      0.12500000|[12, 0, 3, 6]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       4|[-4.0, -0.1]                                                                    | 41.0311021275976984|      0.06250000|[16, 0, 4, 8]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       5|[-4.0, -0.1]                                                                    | 41.0311021275976984|      0.03125000|[20, 0, 5, 10]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       6|[-4.001982977846637, -0.1094891311600804]                                       | 35.0401382446289062|      0.06250000|[24, 0, 5, 11]                                                             | | GPS sucess | actual_k=0
       7|[-3.9398079647216946, -0.115021045692265]                                       | 34.5101699829101562|      0.12500000|[27, 0, 5, 12]                                                             | | GPS sucess | actual_k=0
       8|[-3.9398079647216946, -0.115021045692265]                                       | 34.5101699829101562|      0.06250000|[30, 0, 6, 14]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       9|[-3.9398079647216946, -0.115021045692265]                                       | 34.5101699829101562|      0.03125000|[34, 0, 7, 16]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
      10|[-3.9398079647216946, -0.115021045692265]                                       | 34.5101699829101562|      0.01562500|[38, 0, 8, 18]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
      11|[-3.9398079647216946, -0.115021045692265]                                       | 34.5101699829101562|      0.00781250|[42, 0, 9, 20]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
