k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |106.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.4042300283908844, 1.8646819591522217]                                        | 55.8041229248046875|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[1.1536245942115784, 2.774890124797821]                                         | 50.9668045043945312|      4.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[1.1536245942115784, 2.774890124797821]                                         | 50.9668045043945312|      2.00000000|[13, 0, 1, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[2.595730424421972, 1.389130125926014]                                          | 14.3780172176630856|      4.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[2.23236477424497, 2.3721901878576244]                                          | 14.0203399658203125|      8.00000000|[23, 0, 2, 7]                                                              | | GPS sucess | actual_k=0
       6|[2.23236477424497, 2.3721901878576244]                                          | 14.0203399658203125|      4.00000000|[27, 0, 3, 9]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[3.0936609511553703, 1.3150119289617503]                                        |  4.7527418136596680|      8.00000000|[32, 0, 3, 10]                                                             | | GPS sucess | actual_k=0
       8|[3.0936609511553703, 1.3150119289617503]                                        |  4.7527418136596680|      4.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[3.0936609511553703, 1.3150119289617503]                                        |  4.7527418136596680|      2.00000000|[41, 0, 5, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[3.0936609511553703, 1.3150119289617503]                                        |  4.7527418136596680|      1.00000000|[46, 0, 6, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[3.0936609511553703, 1.3150119289617503]                                        |  4.7527418136596680|      0.50000000|[51, 0, 7, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[2.9524305169760643, 1.7658633395891155]                                        |  1.1311810016632080|      1.00000000|[56, 0, 7, 19]                                                             | | GPS sucess | actual_k=0
      13|[2.9524305169760643, 1.7658633395891155]                                        |  1.1311810016632080|      0.50000000|[60, 0, 8, 21]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
