k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 2.0]                                                                      |  2.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2998883426189423, 1.5366668701171875]                                        |  0.4153161644935608|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[0.5842796564102173, 0.5199246406555176]                                        | -0.3229036331176758|      4.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[-2.0728548765182495, 1.1780419945716858]                                       | -1.6562286615371704|      8.00000000|[13, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[-5.826675295829773, 4.761430084705353]                                         |-165.1880950927734375|     16.00000000|[17, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       5|[-10.472673773765564, -4.91209477186203]                                        |-1081.2395019531250000|     32.00000000|[21, 0, 0, 5]                                                              | | GPS sucess | actual_k=0
       6|[-37.47731053829193, -18.20035618543625]                                        |-52156.6250000000000000|     64.00000000|[25, 0, 0, 6]                                                              | | GPS sucess | actual_k=0
       7|[-80.0268748998642, 0.2947362065315247]                                         |-512274.5937500000000000|    128.00000000|[29, 0, 0, 7]                                                              | | GPS sucess | actual_k=0
       8|[-116.57696950435638, 40.05073291063309]                                        |-1582427.5000000000000000|    256.00000000|[33, 0, 0, 8]                                                              | | GPS sucess | actual_k=0
       9|[-283.3437999486923, 5.13568240404129]                                          |-22747024.0000000000000000|    512.00000000|[37, 0, 0, 9]                                                              | | GPS sucess | actual_k=0
      10|[-413.93689382076263, 289.4489148259163]                                        |-70841056.0000000000000000|   1024.00000000|[41, 0, 0, 10]                                                             | | GPS sucess | actual_k=0
      11|[-756.7103008031845, -328.36498898267746]                                       |-433189504.0000000000000000|   2048.00000000|[45, 0, 0, 11]                                                             | | GPS sucess | actual_k=0
      12|[-1540.452366232872, -860.9389025568962]                                        |-3654735872.0000000000000000|   4096.00000000|[49, 0, 0, 12]                                                             | | GPS sucess | actual_k=0
      13|[-2917.9620097875595, -143.6631457209587]                                       |-24844963840.0000000000000000|   8192.00000000|[53, 0, 0, 13]                                                             | | GPS sucess | actual_k=0
      14|[-8112.3804668188095, 3607.4572156071663]                                       |-533868544000.0000000000000000|  16384.00000000|[57, 0, 0, 14]                                                             | | GPS sucess | actual_k=0
      15|[-14262.77841603756, 3965.6828625798225]                                        |-2901416345600.0000000000000000|  32768.00000000|[61, 0, 0, 15]                                                             | | GPS sucess | actual_k=0
      16|[-27946.40341603756, -3591.4504382014275]                                       |-21826168160256.0000000000000000|  65536.00000000|[65, 0, 0, 16]                                                             | | GPS sucess | actual_k=0
      17|[-75132.84091603756, 6152.3444836735725]                                        |-424120638504960.0000000000000000| 131072.00000000|[69, 0, 0, 17]                                                             | | GPS sucess | actual_k=0
      18|[-154912.93466603756, 4277.9492200016975]                                       |-3717603163897856.0000000000000000| 262144.00000000|[73, 0, 0, 18]                                                             | | GPS sucess | actual_k=0
      19|[-345353.32529103756, 167422.7148450017]                                        |-41189891714842624.0000000000000000| 524288.00000000|[77, 0, 0, 19]                                                             | | GPS sucess | actual_k=0
      20|[-589221.8877910376, 422019.7617200017]                                         |-204567316623523840.0000000000000000|1048576.00000000|[81, 0, 0, 20]                                                             | | GPS sucess | actual_k=0
