k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.8407289385795593, 1.1897437870502472, 0.8006951957941055, 0.9136117175221443, 0.7103115320205688, 0.9337598234415054, 0.8965528458356857, 1.343752235174179, 0.9861039156094193, 0.9112193807959557, 0.9385241605341434, 0.5845414698123932, 1.098515659570694, 1.1201448664069176, 0.8048132359981537, 0.938631895929575, 0.7324298322200775, 1.264800488948822, 0.7920666635036469, 1.2316918969154358, 0.9342602044343948, 0.6110811531543732]|  1.4051631689071655|      2.00000000|[33, 0, 0, 2]                                                              | | GPS sucess | actual_k=0
       2|[1.3949156999588013, 0.5469119250774384, 1.0161129832267761, 0.4439590349793434, 0.2591139078140259, 0.714470386505127, 0.6686165928840637, 0.5068533718585968, 0.3764287466183305, 1.1049623116850853, 0.7243502624332905, 0.037250429391861, 1.8033360540866852, 0.8371903523802757, 0.8361523300409317, 0.7631860561668873, 0.6909461170434952, 1.1373715698719025, 1.0820364654064178, 1.5006622076034546, 0.9098421018570662, 0.0793540775775909]|  1.1509931087493896|      4.00000000|[65, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       3|[0.7032992839813232, 0.1216383278369904, 0.9507195726037025, -0.262328527867794, -0.580054521560669, 1.3699065446853638, -1.6138264536857605, 0.7899925410747528, 0.9179211491718888, -0.350774921476841, 1.1993244476616383, -0.9833836257457733, 1.7014026492834091, 1.0966361686587334, 0.1892412453889847, 0.6415890790522099, 1.2666779905557632, 2.3176988661289215, 1.3593419194221497, 1.8304466903209686, 0.1824640911072493, 0.5462307929992676]|  0.8923782706260681|      8.00000000|[97, 0, 0, 6]                                                              | | GPS sucess | actual_k=0
       4|[-0.2336598634719849, -0.8985782563686371, 1.0330877155065536, 0.435155488550663, 1.168936848640442, -0.7930833101272583, 0.2007481455802917, -1.6370826065540314, -0.3978833323344588, -2.0996065512299538, 0.2963231988251209, -2.728135198354721, 2.1829406768083572, -0.1710978820919991, -0.3734894245862961, 2.4725934602320194, 0.1956859976053238, 1.5989868938922882, 0.6321178078651428, 4.358985871076584, -1.8274681884795427, -0.2431708574295044]|  0.6903304457664490|     16.00000000|[129, 0, 0, 8]                                                             | | GPS sucess | actual_k=0
       5|[-0.2336598634719849, -0.8985782563686371, 1.0330877155065536, 0.435155488550663, 1.168936848640442, -0.7930833101272583, 0.2007481455802917, -1.6370826065540314, -0.3978833323344588, -2.0996065512299538, 0.2963231988251209, -2.728135198354721, 2.1829406768083572, -0.1710978820919991, -0.3734894245862961, 2.4725934602320194, 0.1956859976053238, 1.5989868938922882, 0.6321178078651428, 4.358985871076584, -1.8274681884795427, -0.2431708574295044]|  0.6903304457664490|      8.00000000|[161, 0, 0, 10]                                                            |  | used linear model with 33 points | actual_k=0
       6|[1.494678258895874, -2.9440434873104095, -0.8916454464197159, -0.4048979505896568, 1.3461895883083344, 0.4692802429199219, -1.9609587788581848, -1.3454047441482544, 0.3719905847683549, -2.565814681351185, 2.2585340924561024, -3.998894304037094, 3.710451677441597, -1.5102050378918648, -0.9038540571928024, 2.7227327562868595, 0.5064639896154404, -2.6859337985515594, -0.0582805275917053, 3.5035315454006195, -0.6484881956130266, -0.5560485422611237]|  0.6172523498535156|     16.00000000|[193, 0, 0, 12]                                                            | | GPS sucess | actual_k=0
       7|[1.494678258895874, -2.9440434873104095, -0.8916454464197159, -0.4048979505896568, 1.3461895883083344, 0.4692802429199219, -1.9609587788581848, -1.3454047441482544, 0.3719905847683549, -2.565814681351185, 2.2585340924561024, -3.998894304037094, 3.710451677441597, -1.5102050378918648, -0.9038540571928024, 2.7227327562868595, 0.5064639896154404, -2.6859337985515594, -0.0582805275917053, 3.5035315454006195, -0.6484881956130266, -0.5560485422611237]|  0.6172523498535156|      8.00000000|[225, 0, 0, 14]                                                            |  | used linear model with 33 points | actual_k=0
       8|[-0.7906074523925781, -3.7212304770946503, -3.1067884117364883, -1.4039821848273277, 1.6749344766139984, -2.185621500015259, -1.2958940267562866, -1.1745958775281906, -0.1804263954982162, -1.0049330666661263, 1.9315062053501606, -4.598466843366623, 1.5029559880495071, 1.685433380305767, -0.6203998774290085, 3.452266488224268, -0.3926911503076553, -3.194379597902298, -0.6183074712753296, 4.299712091684341, -2.064584882929921, 1.245419591665268]|  0.5426179766654968|     16.00000000|[257, 0, 0, 16]                                                            | | GPS sucess | actual_k=0
       9|[-0.7906074523925781, -3.7212304770946503, -3.1067884117364883, -1.4039821848273277, 1.6749344766139984, -2.185621500015259, -1.2958940267562866, -1.1745958775281906, -0.1804263954982162, -1.0049330666661263, 1.9315062053501606, -4.598466843366623, 1.5029559880495071, 1.685433380305767, -0.6203998774290085, 3.452266488224268, -0.3926911503076553, -3.194379597902298, -0.6183074712753296, 4.299712091684341, -2.064584882929921, 1.245419591665268]|  0.5426179766654968|      8.00000000|[289, 0, 0, 18]                                                            |  | used linear model with 33 points | actual_k=0
      10|[-0.5265022218227386, -0.8540217578411102, -1.1894095093011856, -3.4826584085822105, 0.2091787755489349, -2.171600092202425, -4.490692973136902, -1.6432529240846634, -0.6758763259276748, -2.126422591507435, 1.0496391542255878, -2.575036734342575, 0.8185718804597855, -0.8138387277722359, 0.0353876501321793, 2.4258652068674564, -0.4849595129489899, -4.113926976919174, 0.9354355335235596, 6.366030365228653, -3.4218368846923113, -0.7709473669528961]|  0.4995490312576294|     16.00000000|[321, 0, 0, 20]                                                            | | GPS sucess | actual_k=0
