k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0]|24876.8647026020043995|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2712907686829567, 0.9312790557742119, -1.0970190435647964, 1.1727188378572464, -1.2492303669452667, 1.254969835281372, -1.1354218244552612, 1.0827438309788704, -1.1421121701598167, 0.9875145554542542, -1.1576421864330768, 0.9812172446399927, -1.0291798084974288, 0.9508732259273529, -1.1545981176197528, 1.0071268267929554, -1.0419058918952941, 1.031280990689993, -1.326677080988884, 0.8382366001605988, -1.292674471437931, 1.036513939499855, -1.1620135836303234, 1.0238668955862522, -1.4594976425170898, 1.0294882021844387, -1.0614054918289184, 0.8543081134557724, -1.2769119188189506, 1.0143693909049034, -1.194216535706073, 0.9245707094669342, -1.1968265742063522, 1.1241767406463623, -1.1528439976274967, 0.9773881956934929, -1.122159619629383, 1.0122561734169722, -1.2914875492453575, 0.9605039358139038, -1.2377082079648971, 1.0652458891272545, -1.1895763993263244, 0.8957462459802628, -1.0562205582857132, 1.013080546632409, -1.0880474343895912, 0.8683275282382965, -1.1571009501814842, 1.1400115489959717, -1.1343260005116462, 0.914754644036293, -1.2840654969215393, 1.0023392816074193, -1.111649078130722, 0.9485253803431988, -1.1426755607128143, 0.9876551143825054, -1.3460978835821151, 0.8712480962276459, -1.4343330234289169, 0.8911892995238304, -0.9748921513557434, 0.9121223241090775, -1.2500282868742942, 1.0417690314352512, -1.1427343904972076, 0.9041200429201126, -1.0477241694927215, 1.1011368781328201, -1.1667293056845665, 0.9140102863311768, -1.1312091246247291, 1.078077033162117, -1.2325869470834732, 1.0196085907518864, -1.2080720093101263, 0.933137483894825, -1.2371503084897995, 1.0747011601924896, -1.116400447487831, 0.9853035807609558, -1.1410063177347183, 0.9786667618900537, -1.3521916389465332, 0.7004837989807129, -1.2091599561274051, 0.8773473054170609, -1.1578678347170352, 1.058690868318081, -1.194978342205286, 1.1738337874412537, -1.2529648773372173, 0.9748478308320045, -1.227103029191494, 0.8094208836555481, -1.0950648307800293, 1.0315873473882675, -1.1681595340371131, 1.045588232576847]|24758.9589843750000000|      2.00000000|[17, 0, 0, 1]                                                              | | GPS sucess | actual_k=0
       2|[-1.4695586795436681, 1.2057581697033268, -0.6909071473601369, 0.8021312916307302, -1.00763302030227, 1.2518525471883952, -0.8154698106058424, 0.966539642175701, -1.1232596888282005, 0.8475266530030996, -1.316095378611239, 1.37321849632967, -1.0881592197394248, 1.0946970423153977, -1.2097664430163622, 0.6245401085490807, -0.8394104081049006, 0.8024840788556364, -1.3104056157333306, 0.7560778862277696, -1.4078035494945804, 0.8191787867873735, -1.2386886484700874, 0.8356583705194454, -1.0576835896975276, 0.6605576263798962, -1.2509307450897924, 0.6305351636868641, -1.1298838310327266, 1.1220570279937658, -1.1372678770349913, 0.8168301311054618, -1.044456581221507, 0.9282541641259664, -1.245620801611231, 0.8836231236433287, -1.125822094550205, 0.8294361902196901, -1.3151172253445707, 0.8360374573637839, -0.8748454844402666, 0.6415816402570873, -0.8692199515803806, 1.1823975624455458, -1.0852077126250248, 0.978151270053435, -1.1549026992542644, 0.9751366302253341, -1.566015880598476, 1.112879643573132, -0.8030107825008486, 0.9052777858197111, -0.9832567949570459, 0.8826396342961847, -0.9109261771343575, 0.8047918854845226, -1.0721839540078846, 1.0170108303437044, -1.54710052159851, 0.9016944438017352, -1.3493728120328177, 0.7695186329673471, -1.2349024173415217, 1.1559170745890657, -1.0750010715749674, 1.1674944607072442, -1.0470360127810292, 1.1073606330822439, -0.9766505406877994, 0.751755030292837, -1.2226219036999662, 0.9941460000568375, -1.2880837361760888, 1.2150403229285098, -1.3929365186692775, 0.9868472360367742, -1.0771167613785944, 0.9594191200407443, -1.466297866237433, 1.013569425739411, -0.8631970105871379, 0.8827747685925481, -1.100830974670637, 0.9683640871575007, -1.2847926503843419, 1.0471074287237208, -1.1974849735273805, 1.1680360832487662, -0.9993738819049738, 1.3425381321415126, -1.3272375042842173, 1.2771632353973998, -1.0113866088341128, 1.230764826062188, -1.2713194531055245, 0.6140203606933645, -0.9561409204866874, 1.0594722382378443, -0.8027174771949919, 0.9706396198197768]|24144.5898437500000000|      4.00000000|[47, 0, 0, 3]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       3|[-1.804713620716448, 1.6465820490547114, -0.6957352079241635, 1.467905773327776, -0.9957077461017362, 0.8226726062708092, -1.3453593054763036, 0.4959468369809407, -0.6351590579347011, 1.3594317591298468, -0.3722751945298963, 0.4509345962632528, -0.8087849002281202, 0.6211635008722831, -0.6155391548706941, 0.2592229724288222, -0.9773855548004522, 0.9049883109990279, -1.0713155750263952, 0.7597634288129126, -1.0909651807847973, 0.961692294361598, -1.506941535044858, 0.7855822133960759, -1.3846499238453611, 1.0999622787247674, -0.9969782023185007, 0.7761477681111183, -0.7309121946311689, 0.8431142427736832, -1.1233938095100369, 0.6993404564511461, -0.3155358758576252, 1.0344653551203296, -1.7380663324254715, 0.8449257079668923, -1.396736144298955, 0.9327895840814512, -1.2261647983474824, 0.3735802223362641, -0.6060374350737261, 1.0958328958593149, -1.0728157153902094, 1.2767502070007597, -0.8671681040561501, 1.1103440555146813, -1.249613613247019, 0.5499537255945408, -0.9115217322303127, 0.4093913622467462, -1.0407373008692784, 0.550917960892543, -1.2594941196861094, 1.1612907264323296, -0.4042240246961426, 0.6749927574380683, -0.7250657437300311, 0.8266736395645113, -1.1240100970358327, 0.5616256112046347, -1.4501789099911626, 0.2651364837819163, -0.8983157418120002, 0.4866294114853021, -1.4841014031046633, 1.774150926192811, -1.2056634480513064, 0.7558512843264042, -1.5751618967322918, 0.9673056681329147, -1.9355611184394825, 0.679299149052473, -1.313571088777419, 1.4919925557680878, -0.6948621525564136, 1.0719506409417667, -0.6947135847538233, 0.3928540520295478, -1.4204895187090205, 0.7731273178425659, -0.6357814278625551, 0.3311700378422834, -0.9976100781436656, 0.8553112466784949, -1.0855721411585695, 1.1564492285491679, -1.0736296513021495, 1.2547755839176078, -0.2579222815721917, 0.7221089890359866, -0.8419096268621871, 1.2498472164685732, -0.862209562700272, 1.3777053060629583, -1.194698482705351, 0.6453062206759622, -0.4213747526028231, 0.1205611621294462, -0.6441093951862995, 1.6522733649907617]|24035.8496093750000000|      8.00000000|[133, 0, 0, 9]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 73 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=0
       4|[-1.804713620716448, 1.6465820490547114, -0.6957352079241635, 1.467905773327776, -0.9957077461017362, 0.8226726062708092, -1.3453593054763036, 0.4959468369809407, -0.6351590579347011, 1.3594317591298468, -0.3722751945298963, 0.4509345962632528, -0.8087849002281202, 0.6211635008722831, -0.6155391548706941, 0.2592229724288222, -0.9773855548004522, 0.9049883109990279, -1.0713155750263952, 0.7597634288129126, -1.0909651807847973, 0.961692294361598, -1.506941535044858, 0.7855822133960759, -1.3846499238453611, 1.0999622787247674, -0.9969782023185007, 0.7761477681111183, -0.7309121946311689, 0.8431142427736832, -1.1233938095100369, 0.6993404564511461, -0.3155358758576252, 1.0344653551203296, -1.7380663324254715, 0.8449257079668923, -1.396736144298955, 0.9327895840814512, -1.2261647983474824, 0.3735802223362641, -0.6060374350737261, 1.0958328958593149, -1.0728157153902094, 1.2767502070007597, -0.8671681040561501, 1.1103440555146813, -1.249613613247019, 0.5499537255945408, -0.9115217322303127, 0.4093913622467462, -1.0407373008692784, 0.550917960892543, -1.2594941196861094, 1.1612907264323296, -0.4042240246961426, 0.6749927574380683, -0.7250657437300311, 0.8266736395645113, -1.1240100970358327, 0.5616256112046347, -1.4501789099911626, 0.2651364837819163, -0.8983157418120002, 0.4866294114853021, -1.4841014031046633, 1.774150926192811, -1.2056634480513064, 0.7558512843264042, -1.5751618967322918, 0.9673056681329147, -1.9355611184394825, 0.679299149052473, -1.313571088777419, 1.4919925557680878, -0.6948621525564136, 1.0719506409417667, -0.6947135847538233, 0.3928540520295478, -1.4204895187090205, 0.7731273178425659, -0.6357814278625551, 0.3311700378422834, -0.9976100781436656, 0.8553112466784949, -1.0855721411585695, 1.1564492285491679, -1.0736296513021495, 1.2547755839176078, -0.2579222815721917, 0.7221089890359866, -0.8419096268621871, 1.2498472164685732, -0.862209562700272, 1.3777053060629583, -1.194698482705351, 0.6453062206759622, -0.4213747526028231, 0.1205611621294462, -0.6441093951862995, 1.6522733649907617]|24035.8496093750000000|      4.00000000|[247, 0, 0, 17]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 73 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 87 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 101 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[-0.7490679897082004, 1.6716615597087006, -0.758292843088214, 1.3906397484118822, -0.8017050910331829, 0.7387008984941372, -0.9906970921134506, 0.3821117065976753, -0.6751143977486221, 1.0755773996328817, -0.3154585788001894, 1.2599735765594304, -0.7636410531105688, 0.9632628212075066, 0.0597041718547806, 0.2977179009420325, -0.9754553129172443, 1.082614188182362, -1.955584263456438, 0.2425322027528581, -1.2237368455247644, 0.8654169809646162, -1.820764040037614, 1.231603680105609, -1.2975060962973428, 0.2696873165586851, -0.8170882726592623, 0.7427478801660211, -0.4306477340783677, 0.8601163529257341, -1.3325838488567419, 0.6106672266445476, -0.5453312154745763, 1.0110856951513614, -1.6319519656022374, 0.6356794905552311, -1.2746048886445691, 1.0011993066132072, -1.1656328598850096, 1.12567306635433, -0.5012321242474655, 1.5068218241542601, -0.7713584375078941, 0.9041932503964358, -0.7299015291331526, 0.8366388386255612, -1.0636990178910128, 0.5253429106243187, -0.6265493900208252, 0.1327495552699946, -0.2227675365042121, 0.8138763322522377, -1.356679570947153, 0.9039279335293451, -0.1834770090596234, 1.2559925885402983, -1.514276043437525, 0.2125184928777493, -0.4906961961537404, 1.087785734529048, -1.38575315340173, -0.0973965613124071, -0.6614692623932548, -0.2817474856393334, -1.2830728895973182, 1.1993971907442318, -0.9611399861189212, -0.0641958060657525, -1.3540175513794406, 0.7269458365157173, -1.2062259290850559, 0.8075071898449313, -1.2072295023847692, 0.6516616615274131, -0.5964529399790868, 1.6651884484232646, -0.3450821099475673, 0.8452961188670951, -1.0477663489708577, 0.5033838859182708, -1.1440595495706776, -0.0786236813239223, -1.4291378899356841, 0.6168456522116595, -0.6705168519235174, 1.240116342792302, -0.6445164479101024, 0.8967358810571096, -0.0876375927577698, 0.123276639006653, -1.2071337023577158, 0.892170353290201, -1.2673240894922522, 1.116219962891067, -1.453991616376546, 0.623828112710245, -1.0353996338686833, -0.2546065161781379, -0.4516766585527092, 1.7066671890691578]|23812.7421875000000000|      8.00000000|[277, 0, 0, 19]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=0
       6|[-0.7490679897082004, 1.6716615597087006, -0.758292843088214, 1.3906397484118822, -0.8017050910331829, 0.7387008984941372, -0.9906970921134506, 0.3821117065976753, -0.6751143977486221, 1.0755773996328817, -0.3154585788001894, 1.2599735765594304, -0.7636410531105688, 0.9632628212075066, 0.0597041718547806, 0.2977179009420325, -0.9754553129172443, 1.082614188182362, -1.955584263456438, 0.2425322027528581, -1.2237368455247644, 0.8654169809646162, -1.820764040037614, 1.231603680105609, -1.2975060962973428, 0.2696873165586851, -0.8170882726592623, 0.7427478801660211, -0.4306477340783677, 0.8601163529257341, -1.3325838488567419, 0.6106672266445476, -0.5453312154745763, 1.0110856951513614, -1.6319519656022374, 0.6356794905552311, -1.2746048886445691, 1.0011993066132072, -1.1656328598850096, 1.12567306635433, -0.5012321242474655, 1.5068218241542601, -0.7713584375078941, 0.9041932503964358, -0.7299015291331526, 0.8366388386255612, -1.0636990178910128, 0.5253429106243187, -0.6265493900208252, 0.1327495552699946, -0.2227675365042121, 0.8138763322522377, -1.356679570947153, 0.9039279335293451, -0.1834770090596234, 1.2559925885402983, -1.514276043437525, 0.2125184928777493, -0.4906961961537404, 1.087785734529048, -1.38575315340173, -0.0973965613124071, -0.6614692623932548, -0.2817474856393334, -1.2830728895973182, 1.1993971907442318, -0.9611399861189212, -0.0641958060657525, -1.3540175513794406, 0.7269458365157173, -1.2062259290850559, 0.8075071898449313, -1.2072295023847692, 0.6516616615274131, -0.5964529399790868, 1.6651884484232646, -0.3450821099475673, 0.8452961188670951, -1.0477663489708577, 0.5033838859182708, -1.1440595495706776, -0.0786236813239223, -1.4291378899356841, 0.6168456522116595, -0.6705168519235174, 1.240116342792302, -0.6445164479101024, 0.8967358810571096, -0.0876375927577698, 0.123276639006653, -1.2071337023577158, 0.892170353290201, -1.2673240894922522, 1.116219962891067, -1.453991616376546, 0.623828112710245, -1.0353996338686833, -0.2546065161781379, -0.4516766585527092, 1.7066671890691578]|23812.7421875000000000|      4.00000000|[391, 0, 0, 27]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 73 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 87 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 101 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[-0.3174553204248435, 1.8321755837288756, -0.7344078491437535, 1.3983616118691176, 0.0321471920680132, 1.0966478668926685, -0.6751583332312816, 0.7450935110844805, -1.0714548118553302, 0.9632669573575032, 0.0876278101072918, 0.7270350294092579, -0.6535242655108428, 0.7922697704484258, 0.2079161522764352, 0.255061530144686, -1.1062164006590203, 1.3713587942608572, -1.2948220076040422, 0.0275252270348557, -1.1997124754109334, 0.1676647286175653, -1.8019679648251177, 1.1071081413225716, -0.9358239296271702, 0.237824932134312, -0.981015163871999, 0.8814499294512004, -0.3230908635480893, 1.0324163047866821, -1.3022806734813492, 0.4204318852558765, -0.6501918955280628, 1.6037251472710836, -1.205561092703237, 1.1938506760286418, -0.4501900015353492, 0.6745223507691975, -1.6374427890507126, 0.9026013447882966, 0.1558417951630597, 2.269272066184232, -0.2698553765057606, 0.3566098484415419, -1.1236812926876039, 0.746030765327904, -1.4669676326846035, 0.2540135093826619, -0.1611185851883104, -0.4755688821155805, -0.1976960822755665, 1.202151453406376, -0.7324211857676739, 0.4420607836765769, -0.239296488316803, 0.1342507691673405, -1.3754059255824362, 0.7592694486049004, -0.289338044902533, 0.6133619395830978, -1.6154340617906988, -0.3534743096566385, -1.016285729220008, -0.3450032678091048, -1.5840906137473645, 1.0067934941999896, -0.83339553256672, -0.091415905064494, -1.4832094142013963, 0.116331055222299, -0.9901966634244191, 0.1442489584157816, -1.087235332081057, 0.1633678094814365, -0.8811434897257083, 1.0559516651510044, -0.028634582972323, 0.9616555470510177, -1.4633306818749123, 0.9643195308292652, -0.5734676736817745, -0.1596263793362357, -1.724303379637935, 0.8852676025981849, -0.5524075848518627, 0.7558459087092891, -0.3685786877483536, 0.185842013909895, -0.0404232819570842, 0.6193213979669244, -1.3779333244438563, 0.5540050926447406, -0.9544673556597971, 0.6176843165433208, -1.0133313934735972, 1.0541207221572615, -1.3183191577731552, -0.2538537211175393, 0.329663521304022, 1.5034407454388352]|23685.2988281250000000|      8.00000000|[449, 0, 0, 31]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=0
       8|[-0.3174553204248435, 1.8321755837288756, -0.7344078491437535, 1.3983616118691176, 0.0321471920680132, 1.0966478668926685, -0.6751583332312816, 0.7450935110844805, -1.0714548118553302, 0.9632669573575032, 0.0876278101072918, 0.7270350294092579, -0.6535242655108428, 0.7922697704484258, 0.2079161522764352, 0.255061530144686, -1.1062164006590203, 1.3713587942608572, -1.2948220076040422, 0.0275252270348557, -1.1997124754109334, 0.1676647286175653, -1.8019679648251177, 1.1071081413225716, -0.9358239296271702, 0.237824932134312, -0.981015163871999, 0.8814499294512004, -0.3230908635480893, 1.0324163047866821, -1.3022806734813492, 0.4204318852558765, -0.6501918955280628, 1.6037251472710836, -1.205561092703237, 1.1938506760286418, -0.4501900015353492, 0.6745223507691975, -1.6374427890507126, 0.9026013447882966, 0.1558417951630597, 2.269272066184232, -0.2698553765057606, 0.3566098484415419, -1.1236812926876039, 0.746030765327904, -1.4669676326846035, 0.2540135093826619, -0.1611185851883104, -0.4755688821155805, -0.1976960822755665, 1.202151453406376, -0.7324211857676739, 0.4420607836765769, -0.239296488316803, 0.1342507691673405, -1.3754059255824362, 0.7592694486049004, -0.289338044902533, 0.6133619395830978, -1.6154340617906988, -0.3534743096566385, -1.016285729220008, -0.3450032678091048, -1.5840906137473645, 1.0067934941999896, -0.83339553256672, -0.091415905064494, -1.4832094142013963, 0.116331055222299, -0.9901966634244191, 0.1442489584157816, -1.087235332081057, 0.1633678094814365, -0.8811434897257083, 1.0559516651510044, -0.028634582972323, 0.9616555470510177, -1.4633306818749123, 0.9643195308292652, -0.5734676736817745, -0.1596263793362357, -1.724303379637935, 0.8852676025981849, -0.5524075848518627, 0.7558459087092891, -0.3685786877483536, 0.185842013909895, -0.0404232819570842, 0.6193213979669244, -1.3779333244438563, 0.5540050926447406, -0.9544673556597971, 0.6176843165433208, -1.0133313934735972, 1.0541207221572615, -1.3183191577731552, -0.2538537211175393, 0.329663521304022, 1.5034407454388352]|23685.2988281250000000|      4.00000000|[563, 0, 0, 39]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 73 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 87 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 101 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[-1.0694710985873492, 1.341881845696266, -0.2082594960617807, 1.174689306302999, -0.1787524277372215, 0.9787049109207848, -0.9896464595106487, 0.6992554410258308, -0.7193454631168119, 0.7801865760601605, -0.2844141192721102, 0.3634775852347755, -1.0426708680521122, 1.392558290502009, 0.0495052064995453, 0.6336018143565281, -1.3031042565598592, 1.1977772238232893, -1.2272210154504166, 0.0804465577720879, -0.2897378038163643, 0.5292964785435161, -0.7436023333250421, 0.9202803075991655, -0.955562088510457, 0.6382946628273602, -0.7690428287291212, 0.7542010053020146, 0.4363889853390054, 0.4556562774432104, -0.9463536050756678, 0.4853394348826472, -0.4537422001161207, 1.463763083616631, -1.1439186948278768, 1.270486554643001, -0.1221906852743262, 0.6653635072464743, -2.056650592830076, 0.1403224160915644, 0.1072820259450726, 1.915792199631757, -0.0968702924449214, 0.5528807105399876, -0.6772450261974826, 0.2126780231727776, -1.8674717237969745, -0.5149600583186023, -0.2955447993099694, -0.4138306718925793, -0.3048349246105241, 0.6589468315430634, -1.074105561047714, 1.2180622219960149, -0.0052487129153919, 0.3829694786449345, -0.9322424545906292, 0.2586664659314071, -0.1853979409415629, 0.4609509131587173, -1.3406124521997234, 0.1412045029695336, -0.9863331563239659, -0.4250144154001854, -1.5124398201796458, 1.2158221864653525, -0.8600298003107685, 0.0879489638126768, -1.3511408539564667, 0.1608399884212322, -0.9146453449254333, 0.663363261437846, -0.4442267692030963, 0.4332383346216857, -1.4021783588967678, 1.9550018713220436, -0.3280106497886022, 0.9542065826946813, -1.1598927284442333, 0.5367681118912058, -0.5304522802055406, -0.3421076161164951, -0.5687355531671225, 1.2321091092421161, -0.5242369523559993, 0.064623494385317, -0.8479729120954623, -0.0399764958813094, 0.179849591209576, 0.0600728026021657, -1.4482362045488852, 0.7323950802576751, -1.2981615701902502, 0.8681842181182696, -1.116328249400464, 1.4686255043150223, -1.1951306666291448, -0.7518395125735373, 0.1257901760292879, 1.070008590487929]|21277.8613281250000000|      8.00000000|[607, 0, 0, 42]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | iterate success | actual_k=0
      10|[-1.0694710985873492, 1.341881845696266, -0.2082594960617807, 1.174689306302999, -0.1787524277372215, 0.9787049109207848, -0.9896464595106487, 0.6992554410258308, -0.7193454631168119, 0.7801865760601605, -0.2844141192721102, 0.3634775852347755, -1.0426708680521122, 1.392558290502009, 0.0495052064995453, 0.6336018143565281, -1.3031042565598592, 1.1977772238232893, -1.2272210154504166, 0.0804465577720879, -0.2897378038163643, 0.5292964785435161, -0.7436023333250421, 0.9202803075991655, -0.955562088510457, 0.6382946628273602, -0.7690428287291212, 0.7542010053020146, 0.4363889853390054, 0.4556562774432104, -0.9463536050756678, 0.4853394348826472, -0.4537422001161207, 1.463763083616631, -1.1439186948278768, 1.270486554643001, -0.1221906852743262, 0.6653635072464743, -2.056650592830076, 0.1403224160915644, 0.1072820259450726, 1.915792199631757, -0.0968702924449214, 0.5528807105399876, -0.6772450261974826, 0.2126780231727776, -1.8674717237969745, -0.5149600583186023, -0.2955447993099694, -0.4138306718925793, -0.3048349246105241, 0.6589468315430634, -1.074105561047714, 1.2180622219960149, -0.0052487129153919, 0.3829694786449345, -0.9322424545906292, 0.2586664659314071, -0.1853979409415629, 0.4609509131587173, -1.3406124521997234, 0.1412045029695336, -0.9863331563239659, -0.4250144154001854, -1.5124398201796458, 1.2158221864653525, -0.8600298003107685, 0.0879489638126768, -1.3511408539564667, 0.1608399884212322, -0.9146453449254333, 0.663363261437846, -0.4442267692030963, 0.4332383346216857, -1.4021783588967678, 1.9550018713220436, -0.3280106497886022, 0.9542065826946813, -1.1598927284442333, 0.5367681118912058, -0.5304522802055406, -0.3421076161164951, -0.5687355531671225, 1.2321091092421161, -0.5242369523559993, 0.064623494385317, -0.8479729120954623, -0.0399764958813094, 0.179849591209576, 0.0600728026021657, -1.4482362045488852, 0.7323950802576751, -1.2981615701902502, 0.8681842181182696, -1.116328249400464, 1.4686255043150223, -1.1951306666291448, -0.7518395125735373, 0.1257901760292879, 1.070008590487929]|21277.8613281250000000|      4.00000000|[721, 0, 0, 50]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 73 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 87 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 101 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[-0.8060037701022108, 0.4284870258208809, 0.1412505268498379, 1.2843293584036417, -0.3446691251596721, 0.2252899712625942, -1.0171020923641692, 0.1349338568833465, -0.7653895052191639, 1.1435620941222517, -0.2616509126738898, 0.6367022180050056, -0.9436095898259362, 0.8389423434092665, 0.2470650976919478, 0.4677424904203016, -0.5753245762624386, 1.1889694013151315, -1.2934872759588634, 0.0482466811802022, 0.1709398323037565, 0.4243644895532384, -0.7169337116037322, 0.6494944165147922, -0.9707611261272971, -0.2311665536901797, -0.3912691555997467, 0.8185373453006359, 0.3434209413369394, 0.417323634368013, -0.4481643936607199, 0.830562067697171, -0.3072570273578926, 1.0547788291989384, -1.4864223263758762, 0.9436013593357218, -0.2200484371844265, 1.0826342711160604, -2.0678726683243993, 0.7826614965885773, 0.0834467965201001, 1.2381028630773236, 0.6108205073670487, 0.4687768391219914, 0.0730058882363264, 0.425593654934509, -1.039730691810317, 0.1043874929375829, -0.43881967318331, -0.3407063271165175, -0.6379577345456927, 0.2377114823866859, -1.1715374539023888, 1.331650649943437, -0.7728010624811248, 0.3970591851942962, -1.1583056235380862, 1.0685000644238616, -0.1403255708373035, -0.1178970869063419, -0.5604081014538983, 0.0618579095985972, -0.8205315917765683, -0.2402424710428691, -1.5144906129246725, 0.4215282114924537, -0.8434033399998746, -0.3142966655717122, -1.2289865754518874, 0.0352000102702007, -0.1996243059522906, 0.5893977341619319, -0.5602803029073052, 0.3255942176851521, -1.6535307356085627, 1.2327928815626392, -0.4811011152086253, 0.6215127790731385, -0.6623031025703641, 0.1643116634920259, 0.0497162349672733, -0.6663717605519208, -0.6344997158965544, 1.3679812321609033, -0.3224883479383274, 0.2319174584510773, -0.1470891253245946, -0.1902931360553742, 0.7997031384667282, 0.0963312595735767, -1.659712180808575, 1.2326839123623414, -1.5325160540267255, 0.9691827949117477, -0.6483942326982302, 1.095241527771825, -0.7525038003244926, -0.8430029361162871, 0.574741348788136, 0.950210597120421]|14512.7890625000000000|      8.00000000|[765, 0, 0, 53]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | iterate success | actual_k=0
