k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.5504360973834992, 0.4188148468732834, 0.8488675594329834, 1.0227062225341796, 0.5537737630307674, 3.295492559671402, 5.414581596851349, 6.724643170833588, 1.7259357273578644, 4.800909370183945, 5.749373823404312]|  2.9643445014953613|      2.00000000|[11, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=0
       2|[1.5504360973834992, 0.4188148468732834, 0.8488675594329834, 1.0227062225341796, 0.5537737630307674, 3.295492559671402, 5.414581596851349, 6.724643170833588, 1.7259357273578644, 4.800909370183945, 5.749373823404312]|  2.9643445014953613|      1.00000000|[23, 0, 0, 9]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[1.5504360973834992, 0.4188148468732834, 0.8488675594329834, 1.0227062225341796, 0.5537737630307674, 3.295492559671402, 5.414581596851349, 6.724643170833588, 1.7259357273578644, 4.800909370183945, 5.749373823404312]|  2.9643445014953613|      0.50000000|[35, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[1.5504360973834992, 0.4188148468732834, 0.8488675594329834, 1.0227062225341796, 0.5537737630307674, 3.295492559671402, 5.414581596851349, 6.724643170833588, 1.7259357273578644, 4.800909370183945, 5.749373823404312]|  2.9643445014953613|      0.25000000|[47, 0, 0, 19]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[1.5567042778215272, 0.4211153511777195, 0.854199134231833, 0.9016822790027266, 0.6558705284350159, 3.180497452215063, 5.332724287054463, 6.823438121080069, 1.7418574660919544, 4.816805981456579, 5.834021962046804]|  2.7281064987182617|      0.50000000|[53, 0, 0, 21]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=0
       6|[1.4353758270821435, 0.2399436657204899, 0.7926169004750524, 0.7260848199248915, 0.634932474707866, 3.345569714502203, 5.3140597593700125, 6.689445359706549, 2.0193154781959888, 4.695764646291078, 5.808918318510236]|  1.9034126996994019|      1.00000000|[57, 0, 0, 22]                                                             | | GPS sucess | actual_k=0
       7|[1.3052953953823907, 0.2887778145149025, 0.4827787247014318, 0.85277993131882, 0.3912392272703888, 2.7755731787241573, 5.110072697392626, 6.17565904378858, 1.6943534582756397, 4.937565312146486, 5.744763522207918]|  1.8885287046432495|      2.00000000|[61, 0, 0, 23]                                                             | | GPS sucess | actual_k=0
       8|[1.3052953953823907, 0.2887778145149025, 0.4827787247014318, 0.85277993131882, 0.3912392272703888, 2.7755731787241573, 5.110072697392626, 6.17565904378858, 1.6943534582756397, 4.937565312146486, 5.744763522207918]|  1.8885287046432495|      1.00000000|[73, 0, 0, 28]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[1.3052953953823907, 0.2887778145149025, 0.4827787247014318, 0.85277993131882, 0.3912392272703888, 2.7755731787241573, 5.110072697392626, 6.17565904378858, 1.6943534582756397, 4.937565312146486, 5.744763522207918]|  1.8885287046432495|      0.50000000|[85, 0, 0, 33]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[1.144208968633984, 0.0828891307523044, 0.6733211078536829, 0.6123478306429828, 0.399789519035263, 2.8933480376056515, 4.904401312172043, 6.282814360567791, 1.790155170289539, 5.035451271600858, 5.777327054474486]|  1.5559015274047852|      1.00000000|[95, 0, 0, 37]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=0
      11|[1.144208968633984, 0.0828891307523044, 0.6733211078536829, 0.6123478306429828, 0.399789519035263, 2.8933480376056515, 4.904401312172043, 6.282814360567791, 1.790155170289539, 5.035451271600858, 5.777327054474486]|  1.5559015274047852|      0.50000000|[107, 0, 0, 42]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[1.144208968633984, 0.0828891307523044, 0.6733211078536829, 0.6123478306429828, 0.399789519035263, 2.8933480376056515, 4.904401312172043, 6.282814360567791, 1.790155170289539, 5.035451271600858, 5.777327054474486]|  1.5559015274047852|      0.25000000|[119, 0, 0, 47]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[1.2126758584341026, 0.1310647540339601, 0.621068604725099, 0.6636603894260727, 0.3304201636697552, 2.756905567322614, 4.871544550797571, 6.24219506397273, 1.7137271660955604, 5.052247270937048, 5.910918210420586]|  1.1798149347305298|      0.50000000|[125, 0, 0, 49]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      14|[1.2126758584341026, 0.1310647540339601, 0.621068604725099, 0.6636603894260727, 0.3304201636697552, 2.756905567322614, 4.871544550797571, 6.24219506397273, 1.7137271660955604, 5.052247270937048, 5.910918210420586]|  1.1798149347305298|      0.25000000|[137, 0, 0, 54]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
