k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-12.0, 10.0]                                                                   |100.9885487881180239|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-11.179372549057007, 10.571463525295258]                                       |100.9856643676757812|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[-9.17944848537445, 10.554048778489232]                                         |100.9720382690429688|      4.00000000|[7, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[-5.588591456413269, 8.791736485436559]                                         |100.7792968750000000|      8.00000000|[10, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
       4|[2.0166646242141724, 6.309788586571813]                                         | 83.9255752563476562|     16.00000000|[13, 4, 0, 4]                                                              | | GPS sucess | actual_k=1
       5|[2.0166646242141724, 6.309788586571813]                                         | 83.9255752563476562|      8.00000000|[16, 5, 0, 5]                                                              |  | used linear model with 5 points | actual_k=1
       6|[2.0166646242141724, 6.309788586571813]                                         | 83.9255752563476562|      4.00000000|[19, 6, 0, 6]                                                              |  | used linear model with 5 points | actual_k=1
       7|[3.3644691705703735, 10.075876833871007]                                        | 61.5860671997070312|      8.00000000|[22, 7, 0, 7]                                                              | | GPS sucess | actual_k=1
       8|[3.3644691705703735, 10.075876833871007]                                        | 61.5860671997070312|      4.00000000|[25, 8, 1, 9]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[2.663576126098633, 6.137761952355504]                                          | 48.5319137573242188|      8.00000000|[29, 9, 1, 10]                                                             | | GPS sucess | actual_k=1
      10|[2.663576126098633, 6.137761952355504]                                          | 48.5319137573242188|      4.00000000|[32, 10, 2, 12]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[2.663576126098633, 6.137761952355504]                                          | 48.5319137573242188|      2.00000000|[36, 11, 3, 14]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[2.663576126098633, 6.137761952355504]                                          | 48.5319137573242188|      1.00000000|[40, 12, 4, 16]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[2.518406018614769, 7.127168657258153]                                          | 38.8128700256347656|      2.00000000|[44, 13, 4, 17]                                                            | | GPS sucess | actual_k=1
      14|[2.518406018614769, 7.127168657258153]                                          | 38.8128700256347656|      1.00000000|[47, 14, 5, 19]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[2.518406018614769, 7.127168657258153]                                          | 38.8128700256347656|      0.50000000|[51, 15, 6, 21]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
