k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1703815907239914, 0.340261310338974, -0.2918848991394043, 0.2596587538719177, -0.0531272292137146, 0.2253860980272293, -0.0945106595754623, 0.0251506362110376, -0.0826609134674072, 0.0144698210060596, -0.1295367926359177, -0.2830583453178406, -0.2213968485593796, -0.2909031808376312, 0.0203376580029726, -0.0806582421064377, 0.1025073155760765, -0.1063051819801331, 0.1745223999023438, 0.3602338433265686, -0.1755805164575577, 0.4266362190246582]| 14.3782787322998047|      2.00000000|[15, 2, 0, 1]                                                              | | GPS sucess | actual_k=2
       2|[0.4017368704080582, 0.7368647456169128, -0.307356963865459, 1.1179901957511902, 0.2256766259670258, 0.2755560353398323, 0.2883624881505966, 0.2314246837049723, -0.1944978013634682, 0.4060554094612598, 0.993653729557991, -0.0836738646030426, 0.1040187925100327, -0.555913507938385, -0.249057961627841, 0.0078218206763268, 0.1699910089373589, 0.3477712571620941, 0.4236556738615036, -0.3429346680641174, 0.0193436741828918, -0.0772340297698975]| 13.0015897750854492|      4.00000000|[29, 4, 0, 2]                                                              | | GPS sucess | actual_k=2
       3|[0.5479229241609573, 1.4730808734893799, -1.4214760167524219, 2.3045700192451477, 0.2886678650975227, -0.3592452928423882, 1.4154900163412094, -0.1018196102231741, -1.2351628318428993, -1.2883347682654858, 1.3834091573953629, -0.8766596019268036, 0.7422547787427902, 0.3000537753105164, -1.6121694575995207, -0.5439863577485085, -0.0552404746413231, 0.3358321152627468, 1.3632378429174423, -0.8695681691169739, -0.223907932639122, 1.2233442068099976]| 12.2384777069091797|      8.00000000|[43, 6, 0, 3]                                                              | | GPS sucess | actual_k=2
       4|[3.3128975182771683, 2.2807340025901794, -1.153184781782329, 0.3938297629356384, 1.4020275548100471, -0.777556411921978, 0.9855334013700485, 1.6257027629762888, -1.4843721762299538, 0.3793203420937061, 1.5085323750972748, -1.4703106582164764, -1.2786500006914139, -1.3785657286643982, -3.329584551975131, -3.2503300085663795, 3.1850072517991066, 1.7775452099740505, 1.0538338273763657, 0.4043499827384949, -1.47357939183712, 4.562662243843079]| 12.1645765304565430|     16.00000000|[57, 8, 0, 4]                                                              | | GPS sucess | actual_k=2
       5|[4.577923610806465, 5.760695159435272, -0.9711080892011523, -0.5680162310600281, 8.400433011353016, -2.3711996003985405, -3.450951412320137, 6.4545687679201365, -0.730476476252079, -0.2794238738715649, -1.09659543633461, -2.9706866443157196, -2.2641393691301346, -1.5430082380771637, 4.811704205349088, -6.0259340181946754, 9.171968139708042, 1.9820557497441769, -1.7194775491952896, -0.7229738831520081, -4.433798059821129, 1.70256507396698]| 12.1577777862548828|     32.00000000|[71, 10, 0, 5]                                                             | | GPS sucess | actual_k=2
       6|[1.6166067868471146, 9.263693034648895, 6.350320686586201, 0.29636150598526, 19.417132802307606, -2.9610260650515556, 1.195215865969658, 11.044001007452607, -2.6980154290795326, 2.853693325072527, 7.491963714361191, 5.0667212307453156, -3.579985573887825, 4.783443063497543, 11.782147930935025, 0.7698018178343773, -0.6752055510878563, 17.749898996204138, -2.904905930161476, 10.934390008449554, -1.1136188358068466, 3.0268025398254395]| 12.1547966003417969|     64.00000000|[173, 26, 0, 13]                                                           |  | trying linear partial model with 15 points | trying quadratic partial model with 28 points | trying quadratic partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 53 points | trying quadratic partial model with 65 points | trying quadratic partial model with 78 points | trying quadratic partial model with 90 points| GPS sucess | actual_k=2
       7|[-3.105877324938774, -3.4017141461372375, -16.639402518980205, 8.503949701786041, 21.14765841513872, 20.10597337037325, -0.8202477246522903, -5.655967330560088, 4.584560178220272, 24.897732097655535, 6.007944077253342, 10.292926102876663, 4.454328581690788, 7.795039027929306, 7.998294638469815, -15.437361039221287, -16.196093879640102, 19.609276857227087, 2.005858287215233, 21.04482740163803, 13.066587463021278, 34.7835431098938]| 12.1458711624145508|    128.00000000|[274, 42, 0, 21]                                                           |  | trying linear partial model with 15 points | trying quadratic partial model with 28 points | trying quadratic partial model with 42 points | trying quadratic partial model with 54 points | trying quadratic partial model with 66 points | trying quadratic partial model with 78 points | trying quadratic partial model with 90 points| GPS sucess | actual_k=2
       8|[-3.105877324938774, -3.4017141461372375, -16.639402518980205, 8.503949701786041, 21.14765841513872, 20.10597337037325, -0.8202477246522903, -5.655967330560088, 4.584560178220272, 24.897732097655535, 6.007944077253342, 10.292926102876663, 4.454328581690788, 7.795039027929306, 7.998294638469815, -15.437361039221287, -16.196093879640102, 19.609276857227087, 2.005858287215233, 21.04482740163803, 13.066587463021278, 34.7835431098938]| 12.1458711624145508|     64.00000000|[414, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | trying quadratic partial model with 27 points | trying quadratic partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 52 points | trying quadratic partial model with 64 points | trying quadratic partial model with 78 points | trying quadratic partial model with 91 points | trying quadratic partial model with 104 points | trying quadratic partial model with 117 points | trying quadratic partial model with 129 points | exploitation failed, decreasing delta | actual_k=2
       9|[-3.105877324938774, -3.4017141461372375, -16.639402518980205, 8.503949701786041, 21.14765841513872, 20.10597337037325, -0.8202477246522903, -5.655967330560088, 4.584560178220272, 24.897732097655535, 6.007944077253342, 10.292926102876663, 4.454328581690788, 7.795039027929306, 7.998294638469815, -15.437361039221287, -16.196093879640102, 19.609276857227087, 2.005858287215233, 21.04482740163803, 13.066587463021278, 34.7835431098938]| 12.1458711624145508|     32.00000000|[549, 86, 0, 43]                                                           |  | trying linear partial model with 15 points | trying quadratic partial model with 27 points | trying quadratic partial model with 39 points | trying quadratic partial model with 51 points | trying quadratic partial model with 63 points | trying quadratic partial model with 75 points | trying quadratic partial model with 87 points | trying quadratic partial model with 99 points | trying quadratic partial model with 111 points | trying quadratic partial model with 124 points | exploitation failed, decreasing delta | actual_k=2
      10|[-4.091340646147728, -9.925242245197296, -4.811129699461162, 7.809757888317108, 20.96122621744871, 28.266206867992878, -5.127500131726265, -13.958764648064971, -3.5734751001000404, 23.831227857619524, -2.2133083641529083, 14.82333305478096, 8.086152121424675, 10.713131755590439, 13.856423186138272, -25.198003090918064, -25.302231155335903, 21.86598428711295, -14.647923603653908, 22.48523372411728, 10.035557761788368, 33.28460884094238]| 12.1258659362792969|     64.00000000|[587, 92, 0, 46]                                                           |  | trying linear partial model with 15 points | trying quadratic partial model with 27 points| GPS sucess | actual_k=2
      11|[-4.091340646147728, -9.925242245197296, -4.811129699461162, 7.809757888317108, 20.96122621744871, 28.266206867992878, -5.127500131726265, -13.958764648064971, -3.5734751001000404, 23.831227857619524, -2.2133083641529083, 14.82333305478096, 8.086152121424675, 10.713131755590439, 13.856423186138272, -25.198003090918064, -25.302231155335903, 21.86598428711295, -14.647923603653908, 22.48523372411728, 10.035557761788368, 33.28460884094238]| 12.1258659362792969|     32.00000000|[723, 114, 0, 57]                                                          |  | trying linear partial model with 15 points | trying quadratic partial model with 27 points | trying quadratic partial model with 39 points | trying quadratic partial model with 51 points | trying quadratic partial model with 63 points | trying quadratic partial model with 76 points | trying quadratic partial model with 88 points | trying quadratic partial model with 101 points | trying quadratic partial model with 113 points | trying quadratic partial model with 125 points | exploitation failed, decreasing delta | actual_k=2
      12|[-4.091340646147728, -9.925242245197296, -4.811129699461162, 7.809757888317108, 20.96122621744871, 28.266206867992878, -5.127500131726265, -13.958764648064971, -3.5734751001000404, 23.831227857619524, -2.2133083641529083, 14.82333305478096, 8.086152121424675, 10.713131755590439, 13.856423186138272, -25.198003090918064, -25.302231155335903, 21.86598428711295, -14.647923603653908, 22.48523372411728, 10.035557761788368, 33.28460884094238]| 12.1258659362792969|     16.00000000|[861, 136, 0, 68]                                                          |  | trying linear partial model with 15 points | trying quadratic partial model with 27 points | trying quadratic partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 53 points | trying quadratic partial model with 65 points | trying quadratic partial model with 77 points | trying quadratic partial model with 90 points | trying quadratic partial model with 102 points | trying quadratic partial model with 114 points | trying quadratic partial model with 127 points | exploitation failed, decreasing delta | actual_k=2
      13|[-8.568374261260033, -15.95119172334671, -5.467077265493572, 11.956872642040253, 24.37265133112669, 28.055742494761944, -5.110740326344967, -19.88946638070047, -3.072941578924656, 28.083653051406145, -2.133204586803913, 12.08367446064949, 6.657510444521904, 17.344053596258163, 17.46425990946591, -29.988829888403416, -24.84361531585455, 21.0167679451406, -14.799922183156013, 24.00535160303116, 6.190380111336708, 30.237568140029907]| 12.1112184524536133|     32.00000000|[888, 140, 0, 70]                                                          |  | trying linear partial model with 15 points| GPS sucess | actual_k=2
      14|[-17.6814151853323, -18.013815462589264, -12.080739508382976, 20.138790786266327, 22.52073895186186, 41.052342645823956, -2.4793538078665733, -27.76449260674417, -11.229297436773777, 27.622374463826418, 1.6043406650424004, 9.196237355470657, 16.47424952685833, 6.604179710149765, 24.66833429224789, -29.06865642219782, -25.972275398671627, 16.616874184459448, -15.341216817498207, 35.321010172367096, -2.7804536670446396, 28.90259885787964]| 12.0971412658691406|     64.00000000|[1001, 158, 0, 79]                                                         |  | trying linear partial model with 15 points | trying quadratic partial model with 28 points | trying quadratic partial model with 41 points | trying quadratic partial model with 53 points | trying quadratic partial model with 66 points | trying quadratic partial model with 78 points | trying quadratic partial model with 90 points | trying quadratic partial model with 102 points| GPS sucess | actual_k=2
      15|[-27.700349435210228, -0.2921529412269592, 7.006157387979329, 23.629012525081635, 19.97004472464323, 39.35818337649107, -30.314877413213253, -31.519106483086944, 2.992241106927395, 37.26445858553052, -2.7385619953274727, -6.524689882993698, 27.226748153567314, 3.6721414029598236, 44.552546786144376, -19.044407345354557, -37.305885933339596, 16.619037642376497, 15.831993326544762, 27.794889509677887, -9.903631672263145, 39.759384632110596]| 12.0740137100219727|    128.00000000|[1039, 164, 0, 82]                                                         |  | trying linear partial model with 15 points | trying quadratic partial model with 27 points| GPS sucess | actual_k=2
