k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2565729320049286, -0.2395522445440292, 0.2027064114809036, 0.240779846906662, 0.2752877175807953, 0.0421388559043407, 0.2268578410148621, -0.2071612030267715, -0.0903903767466545, -0.3298032581806183, 0.0254735592752695, 0.1300739049911499, -0.023178530856967, 0.2904719710350037, -0.2851701378822327, 0.3536576628684998, 0.2444063127040863, 0.2133458256721497, 0.092632420361042, -0.1299390345811844, 0.0313529819250107, -0.1026599928736687]| 14.2277669906616211|      2.00000000|[25, 8, 0, 2]                                                              | | GPS sucess | actual_k=4
       2|[0.4941887408494949, -0.007172554731369, 0.1910980548709631, 1.4793257415294647, 0.568414032459259, 0.4162200503051281, 0.1333463415503502, -0.0345396548509598, -0.4517430886626244, -0.8355254828929901, 0.1635249946266413, 0.4220075011253357, 0.6756690610200167, 0.2249535918235779, -0.0860932320356369, 0.7184769511222839, -0.4102252423763275, 0.2796176299452782, 0.3001370206475258, 0.1636340171098709, -0.0173666961491108, -0.3939874395728111]| 12.5982513427734375|      4.00000000|[49, 16, 0, 4]                                                             | | GPS sucess | actual_k=4
       3|[0.1681446880102158, -0.212673157453537, 0.0866623874753714, 3.041923850774765, 0.3460707068443298, 0.5571843050420284, -0.1052992567420006, -0.5027141124010086, -1.9631600007414818, -1.6780829727649689, -0.4350706245750189, 0.7670674622058868, 0.2835644353181124, 0.5798698663711548, -0.1144898720085621, -0.4792430996894836, -1.2344131767749786, -0.9103063717484474, -1.6394640430808067, 0.5326371639966965, -0.7000835426151752, 0.0283801630139351]| 12.1412525177001953|      8.00000000|[73, 24, 0, 6]                                                             | | GPS sucess | actual_k=4
       4|[-1.3353907018899918, -0.1492178067564964, 0.5500262435525656, 4.149667948484421, -0.7688480019569397, 1.8449245356023312, -0.8247652277350426, 2.4104443043470383, -3.3292685374617577, -4.021630078554153, -2.454663148149848, 0.8449349328875542, 0.53749586828053, 0.0292099118232727, 0.7779090814292431, 2.012586534023285, -2.593167930841446, -0.3957277908921242, -1.2813037261366844, -1.1958320885896683, 3.5864192955195904, -1.5452461168169975]| 12.1377763748168945|     16.00000000|[97, 32, 0, 8]                                                             | | GPS sucess | actual_k=4
       5|[-1.3353907018899918, -0.1492178067564964, 0.5500262435525656, 4.149667948484421, -0.7688480019569397, 1.8449245356023312, -0.8247652277350426, 2.4104443043470383, -3.3292685374617577, -4.021630078554153, -2.454663148149848, 0.8449349328875542, 0.53749586828053, 0.0292099118232727, 0.7779090814292431, 2.012586534023285, -2.593167930841446, -0.3957277908921242, -1.2813037261366844, -1.1958320885896683, 3.5864192955195904, -1.5452461168169975]| 12.1377763748168945|      8.00000000|[121, 40, 0, 10]                                                           |  | used linear model with 33 points | actual_k=4
       6|[-1.3353907018899918, -0.1492178067564964, 0.5500262435525656, 4.149667948484421, -0.7688480019569397, 1.8449245356023312, -0.8247652277350426, 2.4104443043470383, -3.3292685374617577, -4.021630078554153, -2.454663148149848, 0.8449349328875542, 0.53749586828053, 0.0292099118232727, 0.7779090814292431, 2.012586534023285, -2.593167930841446, -0.3957277908921242, -1.2813037261366844, -1.1958320885896683, 3.5864192955195904, -1.5452461168169975]| 12.1377763748168945|      4.00000000|[145, 48, 0, 12]                                                           |  | used linear model with 33 points | actual_k=4
       7|[-1.7088007777929306, -1.24978157132864, 1.0784056838601828, 4.348752200603485, -1.1066692173480988, 1.7137557826936245, -0.0948641523718834, 2.7511226683855057, -5.6843050345778465, -5.056420832872391, -3.1775363590568304, 0.9659473896026611, 1.938927786424756, -0.0070443265140057, 1.346402507275343, 1.124622106552124, -3.397696763277054, 0.1361369118094444, -1.0059192702174187, -0.6966415792703629, 4.315192174166441, -0.3082615062594414]| 12.1365022659301758|      8.00000000|[169, 56, 0, 14]                                                           | | GPS sucess | actual_k=4
       8|[-1.7088007777929306, -1.24978157132864, 1.0784056838601828, 4.348752200603485, -1.1066692173480988, 1.7137557826936245, -0.0948641523718834, 2.7511226683855057, -5.6843050345778465, -5.056420832872391, -3.1775363590568304, 0.9659473896026611, 1.938927786424756, -0.0070443265140057, 1.346402507275343, 1.124622106552124, -3.397696763277054, 0.1361369118094444, -1.0059192702174187, -0.6966415792703629, 4.315192174166441, -0.3082615062594414]| 12.1365022659301758|      4.00000000|[193, 64, 0, 16]                                                           |  | used linear model with 33 points | actual_k=4
       9|[-1.810604989528656, -1.4357802793383598, 1.7085661347955465, 4.394373204559088, -1.759352296590805, 0.9212810359895229, -0.2599129751324654, 2.0957646518945694, -5.860574848949909, -5.669326275587082, -3.981694331392646, -0.536558985710144, 0.2427003551274538, -0.4590593390166759, 1.7490691356360912, 2.0623793601989746, -3.273703783750534, 1.5072558149695396, -2.349253587424755, 0.1695549339056015, 3.9095614068210125, 0.3175775483250618]| 12.1353998184204102|      8.00000000|[217, 72, 0, 18]                                                           | | GPS sucess | actual_k=4
