k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 5.0]                                                                      |2117.3170600156249748|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.8779816087847262, 4.0074721604885655]                                        |509.4963367930126878|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[0.3464881238108187, 3.2202706367077427]                                        | 78.3946304321289062|      4.00000000|[8, 2, 1, 3]                                                               | | GPS sucess | actual_k=1
       3|[0.3464881238108187, 3.2202706367077427]                                        | 78.3946304321289062|      2.00000000|[11, 3, 2, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.4658759143715411, 1.690893295437296]                                         |  2.7319426536560059|      4.00000000|[15, 4, 2, 6]                                                              | | GPS sucess | actual_k=1
       5|[0.4658759143715411, 1.690893295437296]                                         |  2.7319426536560059|      2.00000000|[18, 5, 3, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[-0.1669425460929365, 1.4420638263525563]                                       |  0.5086585283279419|      4.00000000|[22, 6, 3, 9]                                                              | | GPS sucess | actual_k=1
       7|[-0.1669425460929365, 1.4420638263525563]                                       |  0.5086585283279419|      2.00000000|[25, 7, 4, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[-0.1669425460929365, 1.4420638263525563]                                       |  0.5086585283279419|      1.00000000|[29, 8, 5, 13]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.3487072494392901, 0.917354482442339]                                         |  0.1630865037441254|      2.00000000|[33, 9, 5, 14]                                                             | | GPS sucess | actual_k=1
      10|[0.3487072494392901, 0.917354482442339]                                         |  0.1630865037441254|      1.00000000|[36, 10, 6, 16]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.3487072494392901, 0.917354482442339]                                         |  0.1630865037441254|      0.50000000|[40, 11, 7, 18]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[0.3487072494392901, 0.917354482442339]                                         |  0.1630865037441254|      0.25000000|[44, 12, 8, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
