k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.50000000|[12, 2, 1, 2]                                                              |  | used linear model with 14 points | iterate failure | actual_k=2
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.25000000|[24, 4, 2, 4]                                                              |  | used linear model with 14 points | iterate failure | actual_k=2
       3|[-0.076023163217304, 0.0282382608705753, -0.0398847716684105, -0.0085219834608927, 0.2302532640431493, -0.0187602806638577, 0.0036644333926532, -0.0244519322846166, 0.0167278589974907]|320585.7183104812866077|      0.50000000|[37, 5, 3, 6]                                                              |  | used linear model with 14 points | iterate success | actual_k=2
       4|[0.0281877351480579, 0.1361403260780926, -0.1875481744406772, 0.022447438123311, 0.606239416326919, -0.1254227702504082, 0.0410053582740306, 0.2003584036966063, 0.0242871026997383]|44953.3367019306970178|      1.00000000|[51, 5, 4, 8]                                                              |  | used linear model with 14 points | iterate success | actual_k=2
       5|[0.0281877351480579, 0.1361403260780926, -0.1875481744406772, 0.022447438123311, 0.606239416326919, -0.1254227702504082, 0.0410053582740306, 0.2003584036966063, 0.0242871026997383]|44953.3367019306970178|      0.50000000|[63, 7, 5, 10]                                                             |  | used linear model with 14 points | iterate failure | actual_k=2
       6|[0.0281877351480579, 0.1361403260780926, -0.1875481744406772, 0.022447438123311, 0.606239416326919, -0.1254227702504082, 0.0410053582740306, 0.2003584036966063, 0.0242871026997383]|44953.3367019306970178|      0.25000000|[76, 8, 6, 12]                                                             |  | used linear model with 14 points | iterate failure | actual_k=2
       7|[0.0281877351480579, 0.1361403260780926, -0.1875481744406772, 0.022447438123311, 0.606239416326919, -0.1254227702504082, 0.0410053582740306, 0.2003584036966063, 0.0242871026997383]|44953.3367019306970178|      0.12500000|[88, 10, 7, 14]                                                            |  | used linear model with 14 points | iterate failure | actual_k=2
       8|[0.0360957718540728, 0.1284461978878463, -0.1761389387632107, 0.0349114490026274, 0.6789266765020647, -0.0738962438074385, 0.034580773110749, 0.185340376621847, 0.1080277975267986]|18052.6636922387078812|      0.25000000|[101, 11, 8, 16]                                                           |  | used linear model with 14 points | iterate success | actual_k=2
       9|[0.0360957718540728, 0.1284461978878463, -0.1761389387632107, 0.0349114490026274, 0.6789266765020647, -0.0738962438074385, 0.034580773110749, 0.185340376621847, 0.1080277975267986]|18052.6636922387078812|      0.12500000|[114, 12, 9, 18]                                                           |  | used linear model with 14 points | iterate failure | actual_k=2
      10|[0.0369151103218512, 0.1259594015072598, -0.1605148373284471, 0.0099792303195015, 0.7514191264335004, 0.0178515501811094, 0.0297238419083319, 0.2043209349085132, 0.1344049103658573]|4948.5588621073338800|      0.25000000|[127, 13, 10, 20]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      11|[0.0369151103218512, 0.1259594015072598, -0.1605148373284471, 0.0099792303195015, 0.7514191264335004, 0.0178515501811094, 0.0297238419083319, 0.2043209349085132, 0.1344049103658573]|4948.5588621073338800|      0.12500000|[140, 14, 11, 22]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      12|[0.0369151103218512, 0.1259594015072598, -0.1605148373284471, 0.0099792303195015, 0.7514191264335004, 0.0178515501811094, 0.0297238419083319, 0.2043209349085132, 0.1344049103658573]|4948.5588621073338800|      0.06250000|[152, 16, 12, 24]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      13|[0.0387108817130256, 0.1181809378151716, -0.1473412405529038, -0.0131736201711337, 0.7858448925740734, -0.0182115778281418, 0.0511198748900521, 0.1938063769001297, 0.1255226901360044]|2785.1840371464645614|      0.12500000|[165, 17, 13, 26]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      14|[0.0387108817130256, 0.1181809378151716, -0.1473412405529038, -0.0131736201711337, 0.7858448925740734, -0.0182115778281418, 0.0511198748900521, 0.1938063769001297, 0.1255226901360044]|2785.1840371464645614|      0.06250000|[178, 18, 14, 28]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      15|[0.0275198077722325, 0.1246667980414108, -0.1241756835444837, -0.0179334593048663, 0.8383383130645485, -0.0019724924356635, 0.053963300592388, 0.2059217397071589, 0.1278700729857614]|1216.9534114372140721|      0.12500000|[190, 20, 15, 30]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      16|[0.0275198077722325, 0.1246667980414108, -0.1241756835444837, -0.0179334593048663, 0.8383383130645485, -0.0019724924356635, 0.053963300592388, 0.2059217397071589, 0.1278700729857614]|1216.9534114372140721|      0.06250000|[202, 22, 16, 32]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      17|[0.0275198077722325, 0.1246667980414108, -0.1241756835444837, -0.0179334593048663, 0.8383383130645485, -0.0019724924356635, 0.053963300592388, 0.2059217397071589, 0.1278700729857614]|1216.9534114372140721|      0.03125000|[215, 23, 17, 34]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      18|[0.0269360638412876, 0.1466786818357608, -0.1283742206471848, -0.0090098411490158, 0.8450416699699689, -0.0137470928911889, 0.0471399802401381, 0.193146663549027, 0.1289205770974773]|1024.2464610284557693|      0.06250000|[228, 24, 18, 36]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      19|[0.0269360638412876, 0.1466786818357608, -0.1283742206471848, -0.0090098411490158, 0.8450416699699689, -0.0137470928911889, 0.0471399802401381, 0.193146663549027, 0.1289205770974773]|1024.2464610284557693|      0.03125000|[240, 26, 19, 38]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      20|[0.0242995034845512, 0.1474647124766815, -0.1347509161684453, 0.0118618205581804, 0.8546462335589536, 0.0060874791809194, 0.0466592562663137, 0.1913320203313093, 0.1270436699177836]|790.3154242605035051|      0.06250000|[253, 27, 20, 40]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      21|[0.0242995034845512, 0.1474647124766815, -0.1347509161684453, 0.0118618205581804, 0.8546462335589536, 0.0060874791809194, 0.0466592562663137, 0.1913320203313093, 0.1270436699177836]|790.3154242605035051|      0.03125000|[265, 29, 21, 42]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      22|[0.0254000883041529, 0.1421751464691806, -0.1107739430861938, -0.0042494761446261, 0.859368508855629, 0.0028795094048333, 0.0528146596629086, 0.1873005482265874, 0.1321593196816397]|530.1068811285896345|      0.06250000|[278, 30, 22, 44]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      23|[0.0254000883041529, 0.1421751464691806, -0.1107739430861938, -0.0042494761446261, 0.859368508855629, 0.0028795094048333, 0.0528146596629086, 0.1873005482265874, 0.1321593196816397]|530.1068811285896345|      0.03125000|[290, 32, 23, 46]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      24|[0.0254000883041529, 0.1421751464691806, -0.1107739430861938, -0.0042494761446261, 0.859368508855629, 0.0028795094048333, 0.0528146596629086, 0.1873005482265874, 0.1321593196816397]|530.1068811285896345|      0.01562500|[302, 34, 24, 48]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      25|[0.0254000883041529, 0.1421751464691806, -0.1107739430861938, -0.0042494761446261, 0.859368508855629, 0.0028795094048333, 0.0528146596629086, 0.1873005482265874, 0.1321593196816397]|530.1068811285896345|      0.00781250|[314, 36, 25, 50]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      26|[0.0258843700207023, 0.1450346278747587, -0.1140537087189561, 0.0012260966981525, 0.8609880099232896, 0.0030225504533466, 0.0551662220891175, 0.1855525159676606, 0.1329695825559127]|493.1336727641514699|      0.01562500|[326, 38, 26, 52]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      27|[0.0196464649837009, 0.1428442779571981, -0.1210857548590059, 0.0033958320092357, 0.8695086662382532, 0.0022307127664227, 0.0617861279244303, 0.1827763830810886, 0.1376080575983774]|403.8042893361062511|      0.03125000|[338, 40, 27, 54]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      28|[0.0196464649837009, 0.1428442779571981, -0.1210857548590059, 0.0033958320092357, 0.8695086662382532, 0.0022307127664227, 0.0617861279244303, 0.1827763830810886, 0.1376080575983774]|403.8042893361062511|      0.01562500|[350, 42, 28, 56]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      29|[0.0196464649837009, 0.1428442779571981, -0.1210857548590059, 0.0033958320092357, 0.8695086662382532, 0.0022307127664227, 0.0617861279244303, 0.1827763830810886, 0.1376080575983774]|403.8042893361062511|      0.00781250|[362, 44, 29, 58]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      30|[0.0165376629950373, 0.143602794605133, -0.1224747420871648, 0.0008838901719978, 0.8754328613785043, -0.0001559835309408, 0.0625371292022663, 0.1833908897837483, 0.1385146958635546]|343.5413670561054005|      0.01562500|[374, 46, 30, 60]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      31|[0.0165376629950373, 0.143602794605133, -0.1224747420871648, 0.0008838901719978, 0.8754328613785043, -0.0001559835309408, 0.0625371292022663, 0.1833908897837483, 0.1385146958635546]|343.5413670561054005|      0.00781250|[386, 48, 31, 62]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      32|[0.0144378337872137, 0.145520686007209, -0.1255208281301968, 0.0021059776269781, 0.8802273756656864, 0.0014768578983697, 0.0604471612466631, 0.1828613493188481, 0.1419604919466038]|299.4296103431082656|      0.01562500|[398, 50, 32, 64]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      33|[0.0144378337872137, 0.145520686007209, -0.1255208281301968, 0.0021059776269781, 0.8802273756656864, 0.0014768578983697, 0.0604471612466631, 0.1828613493188481, 0.1419604919466038]|299.4296103431082656|      0.00781250|[411, 51, 33, 66]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      34|[0.015099809846113, 0.145519408429867, -0.1279028856276048, -0.0007974232002141, 0.8865940811926252, 0.0012504229090413, 0.0622264427941102, 0.1829144353720896, 0.1403057608489138]|254.2782811523505302|      0.01562500|[423, 53, 34, 68]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      35|[0.015099809846113, 0.145519408429867, -0.1279028856276048, -0.0007974232002141, 0.8865940811926252, 0.0012504229090413, 0.0622264427941102, 0.1829144353720896, 0.1403057608489138]|254.2782811523505302|      0.00781250|[435, 55, 35, 70]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      36|[0.0165755191982398, 0.1455268441024002, -0.1282678613984485, 0.0034963581065941, 0.8924553357007275, 0.0032339505820303, 0.0623862888014897, 0.183575158551894, 0.139066073251109]|215.3332374985507442|      0.01562500|[447, 57, 36, 72]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      37|[0.0165755191982398, 0.1455268441024002, -0.1282678613984485, 0.0034963581065941, 0.8924553357007275, 0.0032339505820303, 0.0623862888014897, 0.183575158551894, 0.139066073251109]|215.3332374985507442|      0.00781250|[460, 58, 37, 74]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      38|[0.014803545412762, 0.1443483412405374, -0.1270223538783918, 0.0001445033908772, 0.8983097171188977, 0.0016722407193914, 0.0621845017022994, 0.1857756742432804, 0.1376085169693646]|179.4692156807863626|      0.01562500|[472, 60, 38, 76]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      39|[0.014803545412762, 0.1443483412405374, -0.1270223538783918, 0.0001445033908772, 0.8983097171188977, 0.0016722407193914, 0.0621845017022994, 0.1857756742432804, 0.1376085169693646]|179.4692156807863626|      0.00781250|[484, 62, 39, 78]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      40|[0.014803545412762, 0.1443483412405374, -0.1270223538783918, 0.0001445033908772, 0.8983097171188977, 0.0016722407193914, 0.0621845017022994, 0.1857756742432804, 0.1376085169693646]|179.4692156807863626|      0.00390625|[496, 64, 40, 80]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
