k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.2650276812646949, -0.0434963686163323, -0.2394006852891959, -0.1542751639744334, 0.7380074454744687, 0.3378182889413326, 0.0076545940484071, 0.1188221899877573, 0.4168949366229379]|115959.3818970176507719|      2.00000000|[25, 8, 1, 3]                                                              |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
       2|[-0.2650276812646949, -0.0434963686163323, -0.2394006852891959, -0.1542751639744334, 0.7380074454744687, 0.3378182889413326, 0.0076545940484071, 0.1188221899877573, 0.4168949366229379]|115959.3818970176507719|      1.00000000|[50, 16, 1, 5]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[0.3237679948741148, -0.4283626525963378, -0.1299790627827423, -0.0571444206959783, 0.9307857617168019, 0.1759194124582623, -0.5516666014610689, 0.4415733052388021, 0.3585261530803485]|22503.3164062500000000|      2.00000000|[74, 24, 1, 7]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       4|[0.3237679948741148, -0.4283626525963378, -0.1299790627827423, -0.0571444206959783, 0.9307857617168019, 0.1759194124582623, -0.5516666014610689, 0.4415733052388021, 0.3585261530803485]|22503.3164062500000000|      1.00000000|[98, 32, 1, 9]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[0.3237679948741148, -0.4283626525963378, -0.1299790627827423, -0.0571444206959783, 0.9307857617168019, 0.1759194124582623, -0.5516666014610689, 0.4415733052388021, 0.3585261530803485]|22503.3164062500000000|      0.50000000|[122, 40, 2, 12]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[0.3237679948741148, -0.4283626525963378, -0.1299790627827423, -0.0571444206959783, 0.9307857617168019, 0.1759194124582623, -0.5516666014610689, 0.4415733052388021, 0.3585261530803485]|22503.3164062500000000|      0.25000000|[147, 48, 3, 15]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       7|[0.3204420481239609, -0.4330304829044607, -0.1670477084375266, -0.1202018028426425, 0.8654930545334508, -0.0195083949403046, -0.6051306653639918, 0.3889837714598695, 0.4535924499289993]|13539.3544921875000000|      0.50000000|[172, 56, 3, 17]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       8|[0.3204420481239609, -0.4330304829044607, -0.1670477084375266, -0.1202018028426425, 0.8654930545334508, -0.0195083949403046, -0.6051306653639918, 0.3889837714598695, 0.4535924499289993]|13539.3544921875000000|      0.25000000|[196, 64, 3, 19]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[0.3120381671052366, -0.3292805473655747, -0.1265534467310043, 0.0307804008603609, 0.895094754836356, 0.0567746115534028, -0.7273975431147409, 0.4154883217026836, 0.5234700305560935]|5573.7416992187500000|      0.50000000|[220, 72, 3, 21]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
      10|[0.3120381671052366, -0.3292805473655747, -0.1265534467310043, 0.0307804008603609, 0.895094754836356, 0.0567746115534028, -0.7273975431147409, 0.4154883217026836, 0.5234700305560935]|5573.7416992187500000|      0.25000000|[244, 80, 3, 23]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
