k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.50000000|[3786, 1264, 1, 80]                                                        |  | used quadratic model with 5050 points | iterate failure | actual_k=16
       2|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.25000000|[7576, 2524, 2, 160]                                                       |  | used quadratic model with 5050 points | iterate failure | actual_k=16
       3|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.12500000|[11365, 3785, 3, 240]                                                      |  | used quadratic model with 5050 points | iterate failure | actual_k=16
       4|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.06250000|[15151, 5049, 4, 320]                                                      |  | used quadratic model with 5050 points | iterate failure | actual_k=16
       5|[1.0195212841826533, 0.0215385539387097, 1.8870644291756498, 0.0124704775223647, 0.0185397170479112, 2.001971441964096, 0.427550628750475, 0.0207977497532035, 2.118312748546478, 0.802613422653086, 0.0199340187541907, 2.162820809667664, 0.2221991939462875, 0.0201162356736412, 2.218778308041342, 2.6908054223699995, 0.0225754383261411, 2.2799963890462314, 0.808511782517647, 0.0197317022251578, 2.391786272841976, 2.2675552551343072, 0.0197507632942134, 2.488998817672485, 14.350583212477959, 0.0671846084817242, 2.5567723429893343, 12.158167065824276, 0.057267113442529, 2.7082894764284227, 0.2756261174661626, 0.0206883352162723, 2.9408041698344154, 0.2424249443774437, 0.0187807994316776, 2.96567039354668, 1.1682092810169342, 0.0210140742610152, 3.1302467981112416, 0.1760077615786516, 0.019294644585111, 3.2288836503975293, 0.1135685173304233, 0.0193464484445237, 3.2523346730995852, 3.748101159524021, 0.0244267431213112, 3.3818863268024364, 0.8314356614667555, 0.0199078800940239, 3.6679105201235127, 0.1635454530082565, 0.0224459455267264, 3.7229792067814755, 0.3908200278389766, 0.0204165192062743, 3.8311269931465963, 0.9240015312124177, 0.0189468706246832, 3.961697022451348, 0.2597686866957972, 0.0194729878629873, 4.0534460225182585, 2.0700596991593083, 0.0242069273204896, 4.174476788348674, 1.9455408454164098, 0.0216752793570781, 4.4291878521722445, 1.4846797102256946, 0.0208602240193225, 4.5583640063623605, 0.4811049486478932, 0.0215136127174138, 4.602236994918841, 0.4970882182566699, 0.0211783093678457, 4.705532778369518, 0.327550046515899, 0.0208443753922917, 4.798650253921533, 0.837445536098699, 0.0196066589232408, 4.968224734426882, 0.4612501198481427, 0.0200380248167004, 5.395694570013364, 0.4897696714668463, 0.0203667525389519, 5.417420169324597, 0.98450981702335, 0.0189646911058599, 2.589158560169949, -0.0163399186288981, 0.0184501674134744, 3.862356498236744, 0.2644654113190358, 0.0246047870278538, 5.198492126716021]|2095768.8749854825437069|      0.12500000|[18940, 6310, 5, 400]                                                      |  | used quadratic model with 5050 points | iterate success | actual_k=16
       6|[1.0195212841826533, 0.0215385539387097, 1.8870644291756498, 0.0124704775223647, 0.0185397170479112, 2.001971441964096, 0.427550628750475, 0.0207977497532035, 2.118312748546478, 0.802613422653086, 0.0199340187541907, 2.162820809667664, 0.2221991939462875, 0.0201162356736412, 2.218778308041342, 2.6908054223699995, 0.0225754383261411, 2.2799963890462314, 0.808511782517647, 0.0197317022251578, 2.391786272841976, 2.2675552551343072, 0.0197507632942134, 2.488998817672485, 14.350583212477959, 0.0671846084817242, 2.5567723429893343, 12.158167065824276, 0.057267113442529, 2.7082894764284227, 0.2756261174661626, 0.0206883352162723, 2.9408041698344154, 0.2424249443774437, 0.0187807994316776, 2.96567039354668, 1.1682092810169342, 0.0210140742610152, 3.1302467981112416, 0.1760077615786516, 0.019294644585111, 3.2288836503975293, 0.1135685173304233, 0.0193464484445237, 3.2523346730995852, 3.748101159524021, 0.0244267431213112, 3.3818863268024364, 0.8314356614667555, 0.0199078800940239, 3.6679105201235127, 0.1635454530082565, 0.0224459455267264, 3.7229792067814755, 0.3908200278389766, 0.0204165192062743, 3.8311269931465963, 0.9240015312124177, 0.0189468706246832, 3.961697022451348, 0.2597686866957972, 0.0194729878629873, 4.0534460225182585, 2.0700596991593083, 0.0242069273204896, 4.174476788348674, 1.9455408454164098, 0.0216752793570781, 4.4291878521722445, 1.4846797102256946, 0.0208602240193225, 4.5583640063623605, 0.4811049486478932, 0.0215136127174138, 4.602236994918841, 0.4970882182566699, 0.0211783093678457, 4.705532778369518, 0.327550046515899, 0.0208443753922917, 4.798650253921533, 0.837445536098699, 0.0196066589232408, 4.968224734426882, 0.4612501198481427, 0.0200380248167004, 5.395694570013364, 0.4897696714668463, 0.0203667525389519, 5.417420169324597, 0.98450981702335, 0.0189646911058599, 2.589158560169949, -0.0163399186288981, 0.0184501674134744, 3.862356498236744, 0.2644654113190358, 0.0246047870278538, 5.198492126716021]|2095768.8749854825437069|      0.06250000|[22729, 7571, 6, 480]                                                      |  | used quadratic model with 5050 points | iterate failure | actual_k=16
       7|[1.017636164974861, 0.022910152808605, 1.8877945417312207, 0.0134476306278554, 0.0194162266327129, 2.001847051320863, 0.4288178552121736, 0.0210745241222086, 2.1145501145242562, 0.8003197309673079, 0.0206590838593969, 2.1630385617311587, 0.2241756560402819, 0.0204799436372509, 2.2187850635750617, 2.6919576239376606, 0.0331528626335169, 2.276709819158876, 0.8078057570540491, 0.022572699097119, 2.38951595974652, 2.269234175410975, 0.035142591038024, 2.4788370841432057, 14.351945065420406, 0.1052352449326759, 2.545657166534396, 12.158562249500893, 0.0836173363197401, 2.7249413901778707, 0.274539802026402, 0.0219178402990455, 2.938691288395998, 0.2419864181286255, 0.0169160826659293, 2.9629027555834297, 1.1691493645184465, 0.0266193229895724, 3.1306782150624373, 0.1774852881124369, 0.0191097371240957, 3.230585961970915, 0.1131649453840503, 0.0208948677286397, 3.25519533737167, 3.746675097025878, 0.0434281593669155, 3.379776537032019, 0.8270586543990602, 0.0214249269387499, 3.6663131380705627, 0.1641254713720343, 0.0222771769523439, 3.722676956269165, 0.3901546027247596, 0.0215329200013422, 3.831098547158685, 0.9248723381954395, 0.0243526085358625, 3.9634367313623318, 0.2607661321738357, 0.0183451764786158, 4.053205778500346, 2.0679796169098212, 0.0295365633559514, 4.173127030755198, 1.9424280069619728, 0.0326710404126233, 4.432384615690083, 1.481649406172392, 0.0271178826834769, 4.55510350410109, 0.4829174498020058, 0.0237428635864152, 4.603163161537384, 0.4977979061987364, 0.0217048061981843, 4.70978223023412, 0.3276895958889956, 0.0206484050732009, 4.799477566710203, 0.837859708533011, 0.0224080975786902, 4.967528358608146, 0.4608495235784677, 0.0211089326779553, 5.393359392460457, 0.486768587501934, 0.0207047292589223, 5.418908756983993, 0.9844328667982662, 0.025588375948297, 2.592041362901721, -0.0149426013578407, 0.0197788682033801, 3.86293726346265, 0.2627497857866931, 0.0230640679045419, 5.198630299286481]|1612350.3016221194993705|      0.12500000|[26518, 8832, 7, 560]                                                      |  | used quadratic model with 5050 points | iterate success | actual_k=16
       8|[1.0201941095008331, 0.0404058437162578, 1.8880133704079165, 0.0056261369015751, 0.0211275673287406, 2.0294414125648625, 0.4260020557993449, 0.0280936144781083, 2.1108670967736014, 0.7975683563638404, 0.0175937140619188, 2.142842267725972, 0.2398984105304453, 0.0307569041514892, 2.2166773978561065, 2.704937419758006, 0.0708875748064637, 2.2749832083938113, 0.8168006741733536, 0.0398436504604822, 2.393245995625151, 2.276766183310557, 0.0529964377054062, 2.4720509249610334, 14.349264568378965, 0.1312890644354066, 2.5379865534680315, 12.156793594826857, 0.1149083924707573, 2.7410031443362266, 0.269365413673798, 0.0260373949197515, 2.9455256904449536, 0.2467873822624976, 0.0362455417914535, 2.9600794015068246, 1.1718631242274453, 0.047506063238357, 3.1229309668375933, 0.182115513625165, 0.0335467585058619, 3.2325609393299497, 0.1097534501455308, -0.0008778061710664, 3.256939694055482, 3.766074127753018, 0.0584495721225522, 3.384615701569936, 0.8199481070687233, 0.0276394206304549, 3.6699482900349203, 0.1556696792614944, 0.0271411910756549, 3.723300076817556, 0.3802663427616935, 0.0058995591851192, 3.8332944272706615, 0.9286529449025644, 0.031563795609908, 3.9574243663960917, 0.2561631472811755, 0.0090519168854432, 4.0626594628022294, 2.093914389699861, 0.0649625587042096, 4.1846176625770655, 1.934107417072252, 0.0506585194252467, 4.425633695939169, 1.4825331940852668, 0.0341173810272266, 4.558690971348581, 0.4686480409687884, 0.0230475118314699, 4.583461759708221, 0.4977727531570549, 0.031456049148778, 4.704142733426409, 0.3208572757462476, 0.0391421398955563, 4.811210893018401, 0.840856378458269, 0.0114173544029319, 4.964533546299453, 0.4762819235748575, 0.0403532841830958, 5.404868921931179, 0.4687947453380873, 0.014796742101212, 5.3944429908750156, 0.9842286210203638, 0.0219863181069237, 2.5874039062400187, -0.0134643941862465, 0.0132568967822529, 3.849836882878173, 0.2564479090691554, 0.0217702668609313, 5.187990634389976]|1391071.5159387493040413|      0.25000000|[30307, 10093, 8, 640]                                                     |  | used quadratic model with 5050 points | iterate success | actual_k=16
       9|[1.0201941095008331, 0.0404058437162578, 1.8880133704079165, 0.0056261369015751, 0.0211275673287406, 2.0294414125648625, 0.4260020557993449, 0.0280936144781083, 2.1108670967736014, 0.7975683563638404, 0.0175937140619188, 2.142842267725972, 0.2398984105304453, 0.0307569041514892, 2.2166773978561065, 2.704937419758006, 0.0708875748064637, 2.2749832083938113, 0.8168006741733536, 0.0398436504604822, 2.393245995625151, 2.276766183310557, 0.0529964377054062, 2.4720509249610334, 14.349264568378965, 0.1312890644354066, 2.5379865534680315, 12.156793594826857, 0.1149083924707573, 2.7410031443362266, 0.269365413673798, 0.0260373949197515, 2.9455256904449536, 0.2467873822624976, 0.0362455417914535, 2.9600794015068246, 1.1718631242274453, 0.047506063238357, 3.1229309668375933, 0.182115513625165, 0.0335467585058619, 3.2325609393299497, 0.1097534501455308, -0.0008778061710664, 3.256939694055482, 3.766074127753018, 0.0584495721225522, 3.384615701569936, 0.8199481070687233, 0.0276394206304549, 3.6699482900349203, 0.1556696792614944, 0.0271411910756549, 3.723300076817556, 0.3802663427616935, 0.0058995591851192, 3.8332944272706615, 0.9286529449025644, 0.031563795609908, 3.9574243663960917, 0.2561631472811755, 0.0090519168854432, 4.0626594628022294, 2.093914389699861, 0.0649625587042096, 4.1846176625770655, 1.934107417072252, 0.0506585194252467, 4.425633695939169, 1.4825331940852668, 0.0341173810272266, 4.558690971348581, 0.4686480409687884, 0.0230475118314699, 4.583461759708221, 0.4977727531570549, 0.031456049148778, 4.704142733426409, 0.3208572757462476, 0.0391421398955563, 4.811210893018401, 0.840856378458269, 0.0114173544029319, 4.964533546299453, 0.4762819235748575, 0.0403532841830958, 5.404868921931179, 0.4687947453380873, 0.014796742101212, 5.3944429908750156, 0.9842286210203638, 0.0219863181069237, 2.5874039062400187, -0.0134643941862465, 0.0132568967822529, 3.849836882878173, 0.2564479090691554, 0.0217702668609313, 5.187990634389976]|1391071.5159387493040413|      0.12500000|[34093, 11357, 9, 720]                                                     |  | used quadratic model with 5050 points | iterate failure | actual_k=16
      10|[1.034550786758024, 0.0598672460589456, 1.8731673245961495, 0.0144143471816037, 0.0170730354052553, 2.0365115376959575, 0.4220588243272121, 0.0169139048304739, 2.0931849195403656, 0.784461358705472, 0.0398177900748296, 2.135491818704321, 0.2338136253515714, 0.0189469520733958, 2.2193100131902908, 2.7173553044498506, 0.0858983410139578, 2.262966063336757, 0.8153128006739788, 0.0364498068915283, 2.3734199401570497, 2.2523287614096925, 0.0690672639045613, 2.4656465487124732, 14.34824166939708, 0.1663000551970941, 2.542057888126443, 12.17913029900283, 0.1454636649698755, 2.7714603524233876, 0.2684799109770193, 0.0261445132495538, 2.9364474167313808, 0.2366744655024219, 0.0251445686343036, 2.9754963299004364, 1.171999861495559, 0.0408781386083153, 3.118578194559876, 0.1979731058961349, 0.031574757568448, 3.238277267815032, 0.0994137682796357, 0.0065359917129308, 3.2580137675574647, 3.787053402490248, 0.051591246982513, 3.381128642399504, 0.8469272069451, 0.0285854067132394, 3.659899697016277, 0.1575253789193798, 0.0423914380208491, 3.719823061239796, 0.3798239550378839, 0.0115178638710597, 3.8260561909277495, 0.9247161063220679, 0.0343254786153405, 3.9623389273291205, 0.2576653399917235, 0.0150566639895209, 4.05362104359854, 2.1066266530606557, 0.0478850895764937, 4.183559966076268, 1.9366524537974263, 0.0635272636697684, 4.429756985735066, 1.4813088399348484, 0.0378048317825058, 4.56026880904961, 0.4580700821654262, 0.0240106996435649, 4.589252980769362, 0.499919110108534, 0.0368583009800811, 4.702214009565749, 0.3268248211139709, 0.0231014341465585, 4.822929556785504, 0.8383295935099256, 0.0340310907926212, 4.976628283627266, 0.4665196164319064, 0.0365636302899369, 5.3815460312075105, 0.4642672396807653, 0.0081237450018455, 5.387113407655796, 0.9895298280424842, 0.0511210101186205, 2.582215277388631, 0.0031731021716764, 0.0041699517569253, 3.83343809655077, 0.2680745146602341, 0.0225686666068647, 5.163082216409621]|1212906.7527531050145626|      0.25000000|[37881, 12619, 10, 800]                                                    |  | used quadratic model with 5050 points | iterate success | actual_k=16
      11|[1.034550786758024, 0.0598672460589456, 1.8731673245961495, 0.0144143471816037, 0.0170730354052553, 2.0365115376959575, 0.4220588243272121, 0.0169139048304739, 2.0931849195403656, 0.784461358705472, 0.0398177900748296, 2.135491818704321, 0.2338136253515714, 0.0189469520733958, 2.2193100131902908, 2.7173553044498506, 0.0858983410139578, 2.262966063336757, 0.8153128006739788, 0.0364498068915283, 2.3734199401570497, 2.2523287614096925, 0.0690672639045613, 2.4656465487124732, 14.34824166939708, 0.1663000551970941, 2.542057888126443, 12.17913029900283, 0.1454636649698755, 2.7714603524233876, 0.2684799109770193, 0.0261445132495538, 2.9364474167313808, 0.2366744655024219, 0.0251445686343036, 2.9754963299004364, 1.171999861495559, 0.0408781386083153, 3.118578194559876, 0.1979731058961349, 0.031574757568448, 3.238277267815032, 0.0994137682796357, 0.0065359917129308, 3.2580137675574647, 3.787053402490248, 0.051591246982513, 3.381128642399504, 0.8469272069451, 0.0285854067132394, 3.659899697016277, 0.1575253789193798, 0.0423914380208491, 3.719823061239796, 0.3798239550378839, 0.0115178638710597, 3.8260561909277495, 0.9247161063220679, 0.0343254786153405, 3.9623389273291205, 0.2576653399917235, 0.0150566639895209, 4.05362104359854, 2.1066266530606557, 0.0478850895764937, 4.183559966076268, 1.9366524537974263, 0.0635272636697684, 4.429756985735066, 1.4813088399348484, 0.0378048317825058, 4.56026880904961, 0.4580700821654262, 0.0240106996435649, 4.589252980769362, 0.499919110108534, 0.0368583009800811, 4.702214009565749, 0.3268248211139709, 0.0231014341465585, 4.822929556785504, 0.8383295935099256, 0.0340310907926212, 4.976628283627266, 0.4665196164319064, 0.0365636302899369, 5.3815460312075105, 0.4642672396807653, 0.0081237450018455, 5.387113407655796, 0.9895298280424842, 0.0511210101186205, 2.582215277388631, 0.0031731021716764, 0.0041699517569253, 3.83343809655077, 0.2680745146602341, 0.0225686666068647, 5.163082216409621]|1212906.7527531050145626|      0.12500000|[41669, 13881, 11, 880]                                                    |  | used quadratic model with 5050 points | iterate failure | actual_k=16
