k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.50000000|[98, 6, 1, 3]                                                              |  | used linear model with 104 points | iterate failure | actual_k=4
       2|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.25000000|[196, 12, 2, 6]                                                            |  | used linear model with 104 points | iterate failure | actual_k=4
       3|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.12500000|[293, 19, 3, 9]                                                            |  | used linear model with 104 points | iterate failure | actual_k=4
       4|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.06250000|[391, 25, 4, 12]                                                           |  | used linear model with 104 points | iterate failure | actual_k=4
       5|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.03125000|[489, 31, 5, 15]                                                           |  | used linear model with 104 points | iterate failure | actual_k=4
       6|[1.0197154413021643, 0.0198444899525339, 1.8890537902464348, 0.0086734429765569, 0.0210980697027921, 2.006229972317197, 0.433220286303096, 0.0227361158249304, 2.12083716393708, 0.8017037459872872, 0.0215686431846591, 2.167395175044033, 0.2223148503429069, 0.0215380457136709, 2.219268778178615, 2.689616137792058, 0.020295837340033, 2.282678239488046, 0.8046323676034989, 0.0219591058780505, 2.393569748021274, 2.27229714607234, 0.0193098237782384, 2.488390505105002, 14.353111874087972, 0.0332764597347638, 2.5561906531339185, 12.156594730587583, 0.0321688243609911, 2.7113260050614594, 0.2802974233682734, 0.0154093041596488, 2.9435760292170414, 0.2415280685051221, 0.0167971290873664, 2.9659420606524995, 1.1682690517706533, 0.0210003168587874, 3.1260570217536165, 0.1805350993303069, 0.0189437547740186, 3.225862012466603, 0.1173856609878654, 0.0178839152422019, 3.254435506772017, 3.7470758271727616, 0.025147685538483, 3.3819153653188234, 0.8363879648598407, 0.0204016100419605, 3.6680851928766907, 0.1530921235690926, 0.019726534562877, 3.7231704354010913, 0.3868751449309115, 0.0207400371646895, 3.8330600593516153, 0.9203436015938911, 0.0187251313157169, 3.9571452401073337, 0.2628953328815009, 0.0165051299500819, 4.053429058769543, 2.0712889098452085, 0.0228883393211807, 4.175291975266061, 1.94243714208128, 0.0186839734964407, 4.4288838725501884, 1.4845117968228676, 0.0185481111357666, 4.560950891697021, 0.487039207703168, 0.0188878813024795, 4.607094168323371, 0.4925360964873196, 0.0252125302640388, 4.706538698258847, 0.3269375860802881, 0.019624424272468, 4.7999205649167775, 0.8379607596296392, 0.0198168397399073, 4.963672858135837, 0.4558207390742359, 0.0220241805539057, 5.396934970906408, 0.490974920421007, 0.0188696610753078, 5.419216050791622, 0.9881353023377282, 0.0195508306666456, 2.589713366045502, -0.0217870953698356, 0.0211382704928082, 3.863340074771506, 0.2602173872065386, 0.019688136353018, 5.198367432560285]|2870348.0667146448977292|      0.06250000|[586, 38, 6, 18]                                                           |  | used linear model with 104 points | iterate success | actual_k=4
       7|[1.0197154413021643, 0.0198444899525339, 1.8890537902464348, 0.0086734429765569, 0.0210980697027921, 2.006229972317197, 0.433220286303096, 0.0227361158249304, 2.12083716393708, 0.8017037459872872, 0.0215686431846591, 2.167395175044033, 0.2223148503429069, 0.0215380457136709, 2.219268778178615, 2.689616137792058, 0.020295837340033, 2.282678239488046, 0.8046323676034989, 0.0219591058780505, 2.393569748021274, 2.27229714607234, 0.0193098237782384, 2.488390505105002, 14.353111874087972, 0.0332764597347638, 2.5561906531339185, 12.156594730587583, 0.0321688243609911, 2.7113260050614594, 0.2802974233682734, 0.0154093041596488, 2.9435760292170414, 0.2415280685051221, 0.0167971290873664, 2.9659420606524995, 1.1682690517706533, 0.0210003168587874, 3.1260570217536165, 0.1805350993303069, 0.0189437547740186, 3.225862012466603, 0.1173856609878654, 0.0178839152422019, 3.254435506772017, 3.7470758271727616, 0.025147685538483, 3.3819153653188234, 0.8363879648598407, 0.0204016100419605, 3.6680851928766907, 0.1530921235690926, 0.019726534562877, 3.7231704354010913, 0.3868751449309115, 0.0207400371646895, 3.8330600593516153, 0.9203436015938911, 0.0187251313157169, 3.9571452401073337, 0.2628953328815009, 0.0165051299500819, 4.053429058769543, 2.0712889098452085, 0.0228883393211807, 4.175291975266061, 1.94243714208128, 0.0186839734964407, 4.4288838725501884, 1.4845117968228676, 0.0185481111357666, 4.560950891697021, 0.487039207703168, 0.0188878813024795, 4.607094168323371, 0.4925360964873196, 0.0252125302640388, 4.706538698258847, 0.3269375860802881, 0.019624424272468, 4.7999205649167775, 0.8379607596296392, 0.0198168397399073, 4.963672858135837, 0.4558207390742359, 0.0220241805539057, 5.396934970906408, 0.490974920421007, 0.0188696610753078, 5.419216050791622, 0.9881353023377282, 0.0195508306666456, 2.589713366045502, -0.0217870953698356, 0.0211382704928082, 3.863340074771506, 0.2602173872065386, 0.019688136353018, 5.198367432560285]|2870348.0667146448977292|      0.03125000|[683, 45, 7, 21]                                                           |  | used linear model with 104 points | iterate failure | actual_k=4
       8|[1.0252482716804396, 0.0238610867351638, 1.889263959811713, 0.0115637671675074, 0.0191707933626413, 2.0095528078474363, 0.4355214110789836, 0.0257344787596271, 2.119487970375989, 0.8031415214451192, 0.0185772499603605, 2.169047807335301, 0.2206699553260191, 0.017237651988924, 2.219404911096644, 2.6910900478566018, 0.0171551975927002, 2.2804259570193, 0.8045829485622876, 0.0179091768475483, 2.3899493285644535, 2.2750380410378743, 0.0212672874113611, 2.4854142351146487, 14.352283522151755, 0.0460845065435927, 2.563285812829102, 12.155019453064016, 0.0355971244722492, 2.709678070215118, 0.2754158625343179, 0.0103588936834181, 2.9391863430647547, 0.2387609996950216, 0.0245220070222489, 2.9685640691091306, 1.1707941432998428, 0.0221214292514533, 3.124358898367356, 0.1786243228048499, 0.0170449879713545, 3.227596731077919, 0.1165704923021312, 0.0178524995038735, 3.254185478341962, 3.7504910043954065, 0.0315133484803786, 3.3835987101253893, 0.8344783866512445, 0.02287087954707, 3.664154630606826, 0.1529342086985319, 0.017544985158271, 3.721653598350964, 0.3848016060012723, 0.0220717898806921, 3.836130780289918, 0.9188676910424796, 0.0229383178427137, 3.957764434481149, 0.2654125339403015, 0.01776918587994, 4.053602065670295, 2.07674445825115, 0.0225411046064022, 4.177966266833646, 1.9402306117996992, 0.0178722926360689, 4.4324601157689, 1.4852948240096, 0.0209739829657384, 4.565762340511422, 0.4873229009104949, 0.0162388649870775, 4.601041830395369, 0.4922030838382278, 0.0233363320679852, 4.710182140313403, 0.3243826030821091, 0.0226608419262603, 4.801169585949873, 0.8415113332954859, 0.017878615323741, 4.967928262951386, 0.4542402846603263, 0.0231644526698229, 5.397774081434528, 0.4909185570172835, 0.0228110928340094, 5.419310996121846, 0.9854441139437391, 0.0189912280647314, 2.5890505818706258, -0.0208619154056857, 0.0208500512025827, 3.868231379281692, 0.2613691229423959, 0.0222244575017485, 5.196559821468286]|2540844.1098424736410379|      0.06250000|[780, 52, 8, 24]                                                           |  | used linear model with 104 points | iterate success | actual_k=4
       9|[1.0252482716804396, 0.0238610867351638, 1.889263959811713, 0.0115637671675074, 0.0191707933626413, 2.0095528078474363, 0.4355214110789836, 0.0257344787596271, 2.119487970375989, 0.8031415214451192, 0.0185772499603605, 2.169047807335301, 0.2206699553260191, 0.017237651988924, 2.219404911096644, 2.6910900478566018, 0.0171551975927002, 2.2804259570193, 0.8045829485622876, 0.0179091768475483, 2.3899493285644535, 2.2750380410378743, 0.0212672874113611, 2.4854142351146487, 14.352283522151755, 0.0460845065435927, 2.563285812829102, 12.155019453064016, 0.0355971244722492, 2.709678070215118, 0.2754158625343179, 0.0103588936834181, 2.9391863430647547, 0.2387609996950216, 0.0245220070222489, 2.9685640691091306, 1.1707941432998428, 0.0221214292514533, 3.124358898367356, 0.1786243228048499, 0.0170449879713545, 3.227596731077919, 0.1165704923021312, 0.0178524995038735, 3.254185478341962, 3.7504910043954065, 0.0315133484803786, 3.3835987101253893, 0.8344783866512445, 0.02287087954707, 3.664154630606826, 0.1529342086985319, 0.017544985158271, 3.721653598350964, 0.3848016060012723, 0.0220717898806921, 3.836130780289918, 0.9188676910424796, 0.0229383178427137, 3.957764434481149, 0.2654125339403015, 0.01776918587994, 4.053602065670295, 2.07674445825115, 0.0225411046064022, 4.177966266833646, 1.9402306117996992, 0.0178722926360689, 4.4324601157689, 1.4852948240096, 0.0209739829657384, 4.565762340511422, 0.4873229009104949, 0.0162388649870775, 4.601041830395369, 0.4922030838382278, 0.0233363320679852, 4.710182140313403, 0.3243826030821091, 0.0226608419262603, 4.801169585949873, 0.8415113332954859, 0.017878615323741, 4.967928262951386, 0.4542402846603263, 0.0231644526698229, 5.397774081434528, 0.4909185570172835, 0.0228110928340094, 5.419310996121846, 0.9854441139437391, 0.0189912280647314, 2.5890505818706258, -0.0208619154056857, 0.0208500512025827, 3.868231379281692, 0.2613691229423959, 0.0222244575017485, 5.196559821468286]|2540844.1098424736410379|      0.03125000|[877, 59, 9, 27]                                                           |  | used linear model with 104 points | iterate failure | actual_k=4
      10|[1.0252482716804396, 0.0238610867351638, 1.889263959811713, 0.0115637671675074, 0.0191707933626413, 2.0095528078474363, 0.4355214110789836, 0.0257344787596271, 2.119487970375989, 0.8031415214451192, 0.0185772499603605, 2.169047807335301, 0.2206699553260191, 0.017237651988924, 2.219404911096644, 2.6910900478566018, 0.0171551975927002, 2.2804259570193, 0.8045829485622876, 0.0179091768475483, 2.3899493285644535, 2.2750380410378743, 0.0212672874113611, 2.4854142351146487, 14.352283522151755, 0.0460845065435927, 2.563285812829102, 12.155019453064016, 0.0355971244722492, 2.709678070215118, 0.2754158625343179, 0.0103588936834181, 2.9391863430647547, 0.2387609996950216, 0.0245220070222489, 2.9685640691091306, 1.1707941432998428, 0.0221214292514533, 3.124358898367356, 0.1786243228048499, 0.0170449879713545, 3.227596731077919, 0.1165704923021312, 0.0178524995038735, 3.254185478341962, 3.7504910043954065, 0.0315133484803786, 3.3835987101253893, 0.8344783866512445, 0.02287087954707, 3.664154630606826, 0.1529342086985319, 0.017544985158271, 3.721653598350964, 0.3848016060012723, 0.0220717898806921, 3.836130780289918, 0.9188676910424796, 0.0229383178427137, 3.957764434481149, 0.2654125339403015, 0.01776918587994, 4.053602065670295, 2.07674445825115, 0.0225411046064022, 4.177966266833646, 1.9402306117996992, 0.0178722926360689, 4.4324601157689, 1.4852948240096, 0.0209739829657384, 4.565762340511422, 0.4873229009104949, 0.0162388649870775, 4.601041830395369, 0.4922030838382278, 0.0233363320679852, 4.710182140313403, 0.3243826030821091, 0.0226608419262603, 4.801169585949873, 0.8415113332954859, 0.017878615323741, 4.967928262951386, 0.4542402846603263, 0.0231644526698229, 5.397774081434528, 0.4909185570172835, 0.0228110928340094, 5.419310996121846, 0.9854441139437391, 0.0189912280647314, 2.5890505818706258, -0.0208619154056857, 0.0208500512025827, 3.868231379281692, 0.2613691229423959, 0.0222244575017485, 5.196559821468286]|2540844.1098424736410379|      0.01562500|[975, 65, 10, 30]                                                          |  | used linear model with 104 points | iterate failure | actual_k=4
      11|[1.024793033795152, 0.0239278606064655, 1.889257265362543, 0.0118691955168398, 0.0203559245428401, 2.0085658124877592, 0.434558478401072, 0.0266424804937485, 2.119203625540824, 0.8019664583303937, 0.0179754362031601, 2.1689443593151356, 0.2212772096776031, 0.0181718064737156, 2.2186876226606085, 2.6904818271861233, 0.0199209133572275, 2.280070358567519, 0.8047206303258446, 0.0179639839857003, 2.390495939643439, 2.2753688006231316, 0.0215104857243066, 2.484077350639023, 14.353076615310785, 0.0555993106416065, 2.5616148956894316, 12.155548510854418, 0.0444927400804638, 2.711858371872708, 0.2764526472158744, 0.0100098105518074, 2.938311264114111, 0.2372489286771309, 0.0223533184084494, 2.968491514027784, 1.1715515734511628, 0.0214333908353502, 3.1254036445671054, 0.178618438084832, 0.0173287110207439, 3.22732653681724, 0.1169565755341819, 0.0192107477748658, 3.253489444670113, 3.750433622609342, 0.0327959407441638, 3.384481444791234, 0.8348584444012962, 0.0223687724695371, 3.6641164948948437, 0.151965183908589, 0.0176151770244075, 3.7221550434725956, 0.3843874477466048, 0.0221574194835783, 3.8363670213311853, 0.9187943654900615, 0.0227240964835193, 3.956672148084017, 0.2651125988292543, 0.0175986140688696, 4.0531135599394865, 2.0750629369183087, 0.0231290002337417, 4.1787976155041715, 1.9407537095665244, 0.0176489725228054, 4.432625601254794, 1.4857641344387047, 0.0214407120740744, 4.565811667184805, 0.4863862271154573, 0.0172062675254987, 4.601009691183817, 0.4923978735855212, 0.0233893584794971, 4.709569178721352, 0.3231203537245997, 0.0231758694430214, 4.8029094470035965, 0.8410306428353405, 0.01913313339581, 4.96625954040614, 0.4534052546274354, 0.0240348668693852, 5.399480925499082, 0.4911857929665528, 0.0231586826281188, 5.419033819659975, 0.985452803064088, 0.0198491665684055, 2.5897693898631777, -0.0217895525145675, 0.0217029261328723, 3.8679835974172785, 0.2600166070734747, 0.0207436068510334, 5.196816493627011]|2275878.2566755996085703|      0.03125000|[1073, 71, 11, 33]                                                         |  | used linear model with 104 points | iterate success | actual_k=4
