k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.50000000|[642, 44, 0, 11]                                                           |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 119 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 177 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 235 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 293 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 351 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 409 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 467 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 526 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 584 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       2|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.25000000|[1285, 88, 0, 22]                                                          |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 120 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 178 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 236 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 294 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 352 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 410 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 469 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 528 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 586 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.12500000|[1926, 132, 0, 33]                                                         |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 119 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 177 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 235 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 293 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 352 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 410 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 468 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 526 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 584 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.06250000|[2572, 176, 0, 44]                                                         |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 119 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 177 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 236 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 295 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 353 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 412 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 470 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 529 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 588 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[0.5998830936737912, 0.0192861695442926, 1.8870490099178168, 0.6550791529787793, 0.0209778281073863, 1.9990000790198648, 1.3041611653880307, 0.0309896101955807, 2.117653423177229, -0.0127345961469854, 0.0165974740056901, 2.1695929646100818, 1.239760111139711, 0.0193199564464353, 2.2219765348691483, 0.2144875197425214, 0.0234953706840557, 2.286398367056148, 1.3369244715655386, 0.0178665432424885, 2.390912546978207, 4.495908565447334, 0.0497024269028691, 2.488296517566526, 0.6615945778933681, 0.0193434973941489, 2.55587785889011, 4.383321058839247, 0.0509702115532675, 2.7062402082586554, 0.2237099770674514, 0.0194367350357184, 2.9365935596109947, 0.2341561661683809, 0.0191316029262034, 2.9760697394045086, 0.708477636395934, 0.0189075369080156, 3.132732204851935, 0.2057390594835012, 0.014567061835789, 3.232430187044514, -0.0574565746071584, 0.0250229469949835, 3.242716428784523, 1.3786398639381243, 0.0259714921457557, 3.3760936407296493, 0.2384822110831593, 0.0175896598716375, 3.6728761463783943, 0.0598752159986625, 0.0235467423358658, 3.7217709158411316, 0.0210033989553411, 0.0185772051132369, 3.8277582808575197, 0.4143423102465679, 0.0171930748555491, 3.9602972514363133, 0.2627067974610916, 0.0247735989373298, 4.043339288436857, 0.8201134999508263, 0.0187559153097829, 4.181778381977757, 0.9603470096983683, 0.0243421764294305, 4.437509005384085, 0.7433173397767093, 0.0180399130064648, 4.55329174507359, 0.2075370865269843, 0.0189547803013812, 4.611182654617052, 0.4978943884855646, 0.0206588292065472, 4.706703269041089, 0.0433379593092949, 0.0216335137015927, 4.80258093724055, 0.3766116041946871, 0.0195361999692739, 4.968087244057892, 0.159640042661729, 0.0262655789570699, 5.394326171964595, 0.28533326200443, 0.0158338798232104, 5.4173269593430735, 0.0990910192714493, 0.019367057439291, 2.585439814468219, 0.0055796130431095, 0.023375826257183, 3.874627109172544, 0.1503469957947374, 0.0207241429598263, 5.201554109452003]|314032.0000000000000000|      0.12500000|[3039, 208, 0, 52]                                                         |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 119 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 177 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 235 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 293 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 351 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 409 points | iterate success | actual_k=4
       6|[0.5998830936737912, 0.0192861695442926, 1.8870490099178168, 0.6550791529787793, 0.0209778281073863, 1.9990000790198648, 1.3041611653880307, 0.0309896101955807, 2.117653423177229, -0.0127345961469854, 0.0165974740056901, 2.1695929646100818, 1.239760111139711, 0.0193199564464353, 2.2219765348691483, 0.2144875197425214, 0.0234953706840557, 2.286398367056148, 1.3369244715655386, 0.0178665432424885, 2.390912546978207, 4.495908565447334, 0.0497024269028691, 2.488296517566526, 0.6615945778933681, 0.0193434973941489, 2.55587785889011, 4.383321058839247, 0.0509702115532675, 2.7062402082586554, 0.2237099770674514, 0.0194367350357184, 2.9365935596109947, 0.2341561661683809, 0.0191316029262034, 2.9760697394045086, 0.708477636395934, 0.0189075369080156, 3.132732204851935, 0.2057390594835012, 0.014567061835789, 3.232430187044514, -0.0574565746071584, 0.0250229469949835, 3.242716428784523, 1.3786398639381243, 0.0259714921457557, 3.3760936407296493, 0.2384822110831593, 0.0175896598716375, 3.6728761463783943, 0.0598752159986625, 0.0235467423358658, 3.7217709158411316, 0.0210033989553411, 0.0185772051132369, 3.8277582808575197, 0.4143423102465679, 0.0171930748555491, 3.9602972514363133, 0.2627067974610916, 0.0247735989373298, 4.043339288436857, 0.8201134999508263, 0.0187559153097829, 4.181778381977757, 0.9603470096983683, 0.0243421764294305, 4.437509005384085, 0.7433173397767093, 0.0180399130064648, 4.55329174507359, 0.2075370865269843, 0.0189547803013812, 4.611182654617052, 0.4978943884855646, 0.0206588292065472, 4.706703269041089, 0.0433379593092949, 0.0216335137015927, 4.80258093724055, 0.3766116041946871, 0.0195361999692739, 4.968087244057892, 0.159640042661729, 0.0262655789570699, 5.394326171964595, 0.28533326200443, 0.0158338798232104, 5.4173269593430735, 0.0990910192714493, 0.019367057439291, 2.585439814468219, 0.0055796130431095, 0.023375826257183, 3.874627109172544, 0.1503469957947374, 0.0207241429598263, 5.201554109452003]|314032.0000000000000000|      0.06250000|[3680, 252, 0, 63]                                                         |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 119 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 177 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 235 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 293 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 352 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 410 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 468 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 526 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 584 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       7|[0.6016964754978573, 0.0281270613338595, 1.8920229254758656, 0.6597777015986095, 0.0221908380220777, 1.9978772985311348, 1.2969351306279444, 0.0210571815151319, 2.115319977282798, -0.0109841407093108, 0.012843950754269, 2.1731232517864396, 1.2445777742219137, 0.0285061472297675, 2.209050534852518, 0.2111522934304945, 0.0132469358542476, 2.291810399458505, 1.3342105798616137, 0.0439723052442931, 2.3837668188761416, 4.496968026953273, 0.0587451839717178, 2.48087812657533, 0.6652985547572474, 0.0289675683189007, 2.557822950568101, 4.383249794620852, 0.0694841291764501, 2.704637172853787, 0.2219247279676694, 0.0128769794402574, 2.9345359275809058, 0.2333157554813655, 0.0167153961935297, 2.9735427111749053, 0.7055232135497688, 0.0124874531003838, 3.1341511317856168, 0.2060445206936674, 0.0148768232426962, 3.222594759761997, -0.0559793641286485, 0.016433151272749, 3.2507677000234265, 1.3803223205478738, 0.02821702786067, 3.378243024377715, 0.2356113863081327, 0.0147389213378542, 3.6769768301954193, 0.0568221047175248, 0.0201717010470143, 3.721527190708453, 0.0223404905521489, 0.0180073134443788, 3.823445757485803, 0.4154261906103441, 0.0260095380287796, 3.9529893169985537, 0.2691552108093164, 0.0344654884237684, 4.035497642739258, 0.8190710805166235, 0.0252550982858241, 4.182108859377682, 0.96364239110367, 0.025994562019967, 4.439567812979458, 0.7518705313919056, 0.0170207919204235, 4.537771573498248, 0.2106470636903292, 0.0216943834034279, 4.60733958535295, 0.4963706977496856, 0.0109945362570036, 4.708550939454828, 0.0447273836986036, 0.024621033697471, 4.808361074280107, 0.3752161923807361, 0.0187689234494582, 4.964688538524736, 0.1494781032486635, 0.0245941174619701, 5.391299657519872, 0.2840337576376805, 0.0120233780632922, 5.409273186441761, 0.1005150444218015, 0.0168524658340432, 2.5907826665911045, 0.0054577405366136, 0.008667804563347, 3.8730604143476755, 0.1441988404807112, 0.0233530757264776, 5.203523109534458]|287845.0625000000000000|      0.12500000|[4090, 280, 0, 70]                                                         |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 119 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 178 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 236 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 294 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 352 points | iterate success | actual_k=4
       8|[0.6016964754978573, 0.0281270613338595, 1.8920229254758656, 0.6597777015986095, 0.0221908380220777, 1.9978772985311348, 1.2969351306279444, 0.0210571815151319, 2.115319977282798, -0.0109841407093108, 0.012843950754269, 2.1731232517864396, 1.2445777742219137, 0.0285061472297675, 2.209050534852518, 0.2111522934304945, 0.0132469358542476, 2.291810399458505, 1.3342105798616137, 0.0439723052442931, 2.3837668188761416, 4.496968026953273, 0.0587451839717178, 2.48087812657533, 0.6652985547572474, 0.0289675683189007, 2.557822950568101, 4.383249794620852, 0.0694841291764501, 2.704637172853787, 0.2219247279676694, 0.0128769794402574, 2.9345359275809058, 0.2333157554813655, 0.0167153961935297, 2.9735427111749053, 0.7055232135497688, 0.0124874531003838, 3.1341511317856168, 0.2060445206936674, 0.0148768232426962, 3.222594759761997, -0.0559793641286485, 0.016433151272749, 3.2507677000234265, 1.3803223205478738, 0.02821702786067, 3.378243024377715, 0.2356113863081327, 0.0147389213378542, 3.6769768301954193, 0.0568221047175248, 0.0201717010470143, 3.721527190708453, 0.0223404905521489, 0.0180073134443788, 3.823445757485803, 0.4154261906103441, 0.0260095380287796, 3.9529893169985537, 0.2691552108093164, 0.0344654884237684, 4.035497642739258, 0.8190710805166235, 0.0252550982858241, 4.182108859377682, 0.96364239110367, 0.025994562019967, 4.439567812979458, 0.7518705313919056, 0.0170207919204235, 4.537771573498248, 0.2106470636903292, 0.0216943834034279, 4.60733958535295, 0.4963706977496856, 0.0109945362570036, 4.708550939454828, 0.0447273836986036, 0.024621033697471, 4.808361074280107, 0.3752161923807361, 0.0187689234494582, 4.964688538524736, 0.1494781032486635, 0.0245941174619701, 5.391299657519872, 0.2840337576376805, 0.0120233780632922, 5.409273186441761, 0.1005150444218015, 0.0168524658340432, 2.5907826665911045, 0.0054577405366136, 0.008667804563347, 3.8730604143476755, 0.1441988404807112, 0.0233530757264776, 5.203523109534458]|287845.0625000000000000|      0.06250000|[4733, 324, 0, 81]                                                         |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 120 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 179 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 237 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 296 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 354 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 412 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 470 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 528 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 586 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[0.6016964754978573, 0.0281270613338595, 1.8920229254758656, 0.6597777015986095, 0.0221908380220777, 1.9978772985311348, 1.2969351306279444, 0.0210571815151319, 2.115319977282798, -0.0109841407093108, 0.012843950754269, 2.1731232517864396, 1.2445777742219137, 0.0285061472297675, 2.209050534852518, 0.2111522934304945, 0.0132469358542476, 2.291810399458505, 1.3342105798616137, 0.0439723052442931, 2.3837668188761416, 4.496968026953273, 0.0587451839717178, 2.48087812657533, 0.6652985547572474, 0.0289675683189007, 2.557822950568101, 4.383249794620852, 0.0694841291764501, 2.704637172853787, 0.2219247279676694, 0.0128769794402574, 2.9345359275809058, 0.2333157554813655, 0.0167153961935297, 2.9735427111749053, 0.7055232135497688, 0.0124874531003838, 3.1341511317856168, 0.2060445206936674, 0.0148768232426962, 3.222594759761997, -0.0559793641286485, 0.016433151272749, 3.2507677000234265, 1.3803223205478738, 0.02821702786067, 3.378243024377715, 0.2356113863081327, 0.0147389213378542, 3.6769768301954193, 0.0568221047175248, 0.0201717010470143, 3.721527190708453, 0.0223404905521489, 0.0180073134443788, 3.823445757485803, 0.4154261906103441, 0.0260095380287796, 3.9529893169985537, 0.2691552108093164, 0.0344654884237684, 4.035497642739258, 0.8190710805166235, 0.0252550982858241, 4.182108859377682, 0.96364239110367, 0.025994562019967, 4.439567812979458, 0.7518705313919056, 0.0170207919204235, 4.537771573498248, 0.2106470636903292, 0.0216943834034279, 4.60733958535295, 0.4963706977496856, 0.0109945362570036, 4.708550939454828, 0.0447273836986036, 0.024621033697471, 4.808361074280107, 0.3752161923807361, 0.0187689234494582, 4.964688538524736, 0.1494781032486635, 0.0245941174619701, 5.391299657519872, 0.2840337576376805, 0.0120233780632922, 5.409273186441761, 0.1005150444218015, 0.0168524658340432, 2.5907826665911045, 0.0054577405366136, 0.008667804563347, 3.8730604143476755, 0.1441988404807112, 0.0233530757264776, 5.203523109534458]|287845.0625000000000000|      0.03125000|[5374, 368, 0, 92]                                                         |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 119 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 178 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 236 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 294 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 352 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 410 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 468 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 526 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 584 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[0.5979150982048711, 0.0295556098037836, 1.8893348254440736, 0.6605949431465526, 0.0181082457439387, 2.000693331079106, 1.294183743771549, 0.0248373908799586, 2.1131619510315867, -0.0093184257545587, 0.0115497585026157, 2.1684510010881897, 1.2402003533851051, 0.0288043772842781, 2.206469243196551, 0.2123771205894245, 0.0101450774168865, 2.291113079150401, 1.3332908673771144, 0.0442025187776195, 2.3846604911740714, 4.4930221701359185, 0.0653277071966583, 2.477659369745114, 0.6682957131141668, 0.0296487505346532, 2.5574574141295563, 4.384746462667118, 0.0763170528142223, 2.714104387046093, 0.2230042340269195, 0.0154722421195759, 2.9379280345135474, 0.231668236549027, 0.0166771762410233, 2.9745602315319677, 0.6999911717887091, 0.0194660101108172, 3.1337912278732176, 0.2086249726242045, 0.0160057708383325, 3.225996440946598, -0.0562653037306811, 0.0158977066905608, 3.2516107098847664, 1.3818959464023406, 0.0357305245397251, 3.3793409064580207, 0.2370324397863715, 0.0137397787349802, 3.68194347582845, 0.054714451810435, 0.0204045732708833, 3.7236626883774013, 0.0257935077662718, 0.0177880886305436, 3.815764812320791, 0.4157390616770789, 0.0301809362519839, 3.954635898680068, 0.2672185831737051, 0.0300566952601724, 4.033202206106352, 0.8204626914912065, 0.0294872390764812, 4.179759932463478, 0.9656812003425748, 0.0263312203919064, 4.441120764830597, 0.750691156313784, 0.0175697940931903, 4.536642952732246, 0.2093561624448949, 0.0236227988697914, 4.604697301749238, 0.4994177371843276, 0.0166739413098678, 4.709030737856785, 0.0434028911839404, 0.0267497789755207, 4.805331353224759, 0.3797138579481946, 0.020466357004363, 4.965636038597015, 0.1517267807078876, 0.0310497983429785, 5.39242904067063, 0.286211297345241, 0.0096084967665936, 5.403773524419105, 0.100413461742335, 0.0110965094747229, 2.592262212875356, 0.0045097942506923, 0.0064810995725103, 3.8714031976940753, 0.1417270145512032, 0.0242386957648865, 5.200278171891505]|271766.6250000000000000|      0.06250000|[5492, 376, 0, 94]                                                         |  | trying linear partial model with 61 points | iterate success | actual_k=4
