k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.372587172607863, -0.8307207980059179, -0.4256231788155665, 0.6401738903034828, -0.4271280773925255, -0.2261397183746664, -0.0515033351751522]|171116.9753536301723216|      2.00000000|[8, 0, 1, 2]                                                               |  | used linear model with 8 points | iterate success | actual_k=0
       2|[10.886759387093388, 0.2138212365074195, -0.633133676594862, 0.6292817118972027, -1.5013295781079787, 0.764361292601826, -0.7344224437538752]|61432.7899859616809408|      4.00000000|[16, 0, 2, 4]                                                              |  | used linear model with 8 points | iterate success | actual_k=0
       3|[11.152494732977722, 0.9934343570771437, -3.168819408003038, -1.8591975983751885, 0.0093036285063162, 0.391475495228682, -0.2068807873379027]|14560.7681095150255715|      8.00000000|[24, 0, 3, 6]                                                              |  | used linear model with 8 points | iterate success | actual_k=0
       4|[11.152494732977722, 0.9934343570771437, -3.168819408003038, -1.8591975983751885, 0.0093036285063162, 0.391475495228682, -0.2068807873379027]|14560.7681095150255715|      4.00000000|[32, 0, 4, 8]                                                              |  | used linear model with 8 points | iterate failure | actual_k=0
       5|[11.152494732977722, 0.9934343570771437, -3.168819408003038, -1.8591975983751885, 0.0093036285063162, 0.391475495228682, -0.2068807873379027]|14560.7681095150255715|      2.00000000|[40, 0, 5, 10]                                                             |  | used linear model with 8 points | iterate failure | actual_k=0
       6|[11.152494732977722, 0.9934343570771437, -3.168819408003038, -1.8591975983751885, 0.0093036285063162, 0.391475495228682, -0.2068807873379027]|14560.7681095150255715|      1.00000000|[48, 0, 6, 12]                                                             |  | used linear model with 8 points | iterate failure | actual_k=0
       7|[11.152494732977722, 0.9934343570771437, -3.168819408003038, -1.8591975983751885, 0.0093036285063162, 0.391475495228682, -0.2068807873379027]|14560.7681095150255715|      0.50000000|[56, 0, 7, 14]                                                             |  | used linear model with 8 points | iterate failure | actual_k=0
       8|[11.152494732977722, 0.9934343570771437, -3.168819408003038, -1.8591975983751885, 0.0093036285063162, 0.391475495228682, -0.2068807873379027]|14560.7681095150255715|      0.25000000|[64, 0, 8, 16]                                                             |  | used linear model with 8 points | iterate failure | actual_k=0
       9|[11.152494732977722, 0.9934343570771437, -3.168819408003038, -1.8591975983751885, 0.0093036285063162, 0.391475495228682, -0.2068807873379027]|14560.7681095150255715|      0.12500000|[72, 0, 9, 18]                                                             |  | used linear model with 8 points | iterate failure | actual_k=0
      10|[11.152494732977722, 0.9934343570771437, -3.168819408003038, -1.8591975983751885, 0.0093036285063162, 0.391475495228682, -0.2068807873379027]|14560.7681095150255715|      0.06250000|[80, 0, 10, 20]                                                            |  | used linear model with 8 points | iterate failure | actual_k=0
      11|[11.119340266158748, 0.9843694893412306, -3.143823763449051, -1.8786717248721023, 0.020899421142371, 0.3887595893708773, -0.1671441908315842]|10751.2133490873129631|      0.12500000|[88, 0, 11, 22]                                                            |  | used linear model with 8 points | iterate success | actual_k=0
