k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.709081561401035, -0.9891399809703953, -0.6194813818818067, 0.6018982692360979, 0.0960154530606323, -0.2275412016416526, 0.1766286787868243]|35373.2906900857997243|      2.00000000|[7, 1, 1, 2]                                                               |  | used linear model with 8 points | iterate success | actual_k=2
       2|[9.709081561401035, -0.9891399809703953, -0.6194813818818067, 0.6018982692360979, 0.0960154530606323, -0.2275412016416526, 0.1766286787868243]|35373.2906900857997243|      1.00000000|[15, 1, 2, 4]                                                              |  | used linear model with 8 points | iterate failure | actual_k=2
       3|[9.709081561401035, -0.9891399809703953, -0.6194813818818067, 0.6018982692360979, 0.0960154530606323, -0.2275412016416526, 0.1766286787868243]|35373.2906900857997243|      0.50000000|[22, 2, 3, 6]                                                              |  | used linear model with 8 points | iterate failure | actual_k=2
       4|[9.709081561401035, -0.9891399809703953, -0.6194813818818067, 0.6018982692360979, 0.0960154530606323, -0.2275412016416526, 0.1766286787868243]|35373.2906900857997243|      0.25000000|[30, 2, 4, 8]                                                              |  | used linear model with 8 points | iterate failure | actual_k=2
       5|[9.709081561401035, -0.9891399809703953, -0.6194813818818067, 0.6018982692360979, 0.0960154530606323, -0.2275412016416526, 0.1766286787868243]|35373.2906900857997243|      0.12500000|[37, 3, 5, 10]                                                             |  | used linear model with 8 points | iterate failure | actual_k=2
       6|[9.690954841098366, -1.0153330871789303, -0.6449808178653458, 0.6163579370515183, 0.0991021701827737, -0.2208121937289632, 0.0595977743242632]|11761.2066654081809247|      0.25000000|[44, 4, 6, 12]                                                             |  | used linear model with 8 points | iterate success | actual_k=2
       7|[9.690954841098366, -1.0153330871789303, -0.6449808178653458, 0.6163579370515183, 0.0991021701827737, -0.2208121937289632, 0.0595977743242632]|11761.2066654081809247|      0.12500000|[51, 5, 7, 14]                                                             |  | used linear model with 8 points | iterate failure | actual_k=2
       8|[9.690954841098366, -1.0153330871789303, -0.6449808178653458, 0.6163579370515183, 0.0991021701827737, -0.2208121937289632, 0.0595977743242632]|11761.2066654081809247|      0.06250000|[58, 6, 8, 16]                                                             |  | used linear model with 8 points | iterate failure | actual_k=2
       9|[9.690954841098366, -1.0153330871789303, -0.6449808178653458, 0.6163579370515183, 0.0991021701827737, -0.2208121937289632, 0.0595977743242632]|11761.2066654081809247|      0.03125000|[66, 6, 9, 18]                                                             |  | used linear model with 8 points | iterate failure | actual_k=2
      10|[9.690954841098366, -1.0153330871789303, -0.6449808178653458, 0.6163579370515183, 0.0991021701827737, -0.2208121937289632, 0.0595977743242632]|11761.2066654081809247|      0.01562500|[73, 7, 10, 20]                                                            |  | used linear model with 8 points | iterate failure | actual_k=2
      11|[9.691074294325679, -1.0158308000874445, -0.6449320438024628, 0.6174814935832129, 0.0990882997933016, -0.2206944084253699, 0.0440221583225568]|9651.0161038174392161|      0.03125000|[81, 7, 11, 22]                                                            |  | used linear model with 8 points | iterate success | actual_k=2
