k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.50000000|[187, 0, 0, 3]                                                             |  | trying quadratic partial model with 65 points | trying quadratic partial model with 126 points | exploitation failed, decreasing delta | actual_k=0
       2|[0.8871091435684693, 0.8904516979906678, 0.8853535134848892, 0.8851109342551416, 0.8886050959236015, 0.8873683455514523, 0.882441226643242, 0.8879800492608423, 0.8875764428965032, 0.890194461110516, 1.039265398421333, 0.6558424926030864, 0.9881710361019267, 0.989053196049957, 0.9863387432845464, 0.9931012700548056, 0.9760369392291128, 0.9654036906948287, 0.9824692690751764, 0.9948667754568312, 0.9911472336599692, 0.9905858197692863]|  1.3729472160339355|      1.00000000|[312, 0, 0, 5]                                                             |  | trying quadratic partial model with 65 points | iterate success | actual_k=0
       3|[0.8871091435684693, 0.8904516979906678, 0.8853535134848892, 0.8851109342551416, 0.8886050959236015, 0.8873683455514523, 0.882441226643242, 0.8879800492608423, 0.8875764428965032, 0.890194461110516, 1.039265398421333, 0.6558424926030864, 0.9881710361019267, 0.989053196049957, 0.9863387432845464, 0.9931012700548056, 0.9760369392291128, 0.9654036906948287, 0.9824692690751764, 0.9948667754568312, 0.9911472336599692, 0.9905858197692863]|  1.3729472160339355|      0.50000000|[498, 0, 0, 8]                                                             |  | trying quadratic partial model with 65 points | trying quadratic partial model with 126 points | exploitation failed, decreasing delta | actual_k=0
       4|[0.7746903231631295, 0.7805910918720101, 0.7697116119124647, 0.7715087588291701, 0.7752139695046399, 0.7754269624625784, 0.7705423980919024, 0.7761265391377181, 0.7749282266866924, 0.7777619163654469, 1.071248465575807, 0.3116090800435696, 0.9759199042265825, 0.9758888994064719, 0.9720518811039817, 0.980937057206248, 0.9457521014082486, 0.9273910437197895, 0.9598703175899725, 0.9888625729887393, 0.9821870994234697, 0.9817388910294003]|  1.2271903753280640|      1.00000000|[623, 0, 0, 10]                                                            |  | trying quadratic partial model with 65 points | iterate success | actual_k=0
       5|[0.7746903231631295, 0.7805910918720101, 0.7697116119124647, 0.7715087588291701, 0.7752139695046399, 0.7754269624625784, 0.7705423980919024, 0.7761265391377181, 0.7749282266866924, 0.7777619163654469, 1.071248465575807, 0.3116090800435696, 0.9759199042265825, 0.9758888994064719, 0.9720518811039817, 0.980937057206248, 0.9457521014082486, 0.9273910437197895, 0.9598703175899725, 0.9888625729887393, 0.9821870994234697, 0.9817388910294003]|  1.2271903753280640|      0.50000000|[809, 0, 0, 13]                                                            |  | trying quadratic partial model with 65 points | trying quadratic partial model with 126 points | exploitation failed, decreasing delta | actual_k=0
       6|[0.6616685009690927, 0.6688904711268225, 0.6529574670365267, 0.660087983368238, 0.6630126169732822, 0.6528612717019313, 0.6514304266782115, 0.6646316225736261, 0.663624420926468, 0.6680731855858973, 1.0956877773586897, -0.0262728246017813, 0.9684587632420222, 0.9614137895711206, 0.956785350284988, 0.9567752551704081, 0.9117113517533592, 0.8819718752818533, 0.9325615029740904, 0.9856127221495204, 0.9860242407711702, 0.967033590116196]|  1.0931477546691895|      1.00000000|[934, 0, 0, 15]                                                            |  | trying quadratic partial model with 65 points | iterate success | actual_k=0
       7|[0.6616685009690927, 0.6688904711268225, 0.6529574670365267, 0.660087983368238, 0.6630126169732822, 0.6528612717019313, 0.6514304266782115, 0.6646316225736261, 0.663624420926468, 0.6680731855858973, 1.0956877773586897, -0.0262728246017813, 0.9684587632420222, 0.9614137895711206, 0.956785350284988, 0.9567752551704081, 0.9117113517533592, 0.8819718752818533, 0.9325615029740904, 0.9856127221495204, 0.9860242407711702, 0.967033590116196]|  1.0931477546691895|      0.50000000|[1120, 0, 0, 18]                                                           |  | trying quadratic partial model with 65 points | trying quadratic partial model with 126 points | exploitation failed, decreasing delta | actual_k=0
       8|[0.5503024559058728, 0.5490727260889352, 0.5396147700183854, 0.5478475627375025, 0.538391516012928, 0.5393613843370706, 0.5490184839546015, 0.5475101131181913, 0.5504589572270802, 0.5597741762680478, 1.118978890385336, -0.3635534424805565, 0.9456160159572818, 0.9379458469453907, 0.9364842675408411, 0.9362772234100023, 0.8811640977012105, 0.834664318317529, 0.910075334526645, 0.9685946253336242, 0.9698679683151985, 0.9525249678359679]|  0.9723812937736511|      1.00000000|[1245, 0, 0, 20]                                                           |  | trying quadratic partial model with 65 points | iterate success | actual_k=0
       9|[0.5503024559058728, 0.5490727260889352, 0.5396147700183854, 0.5478475627375025, 0.538391516012928, 0.5393613843370706, 0.5490184839546015, 0.5475101131181913, 0.5504589572270802, 0.5597741762680478, 1.118978890385336, -0.3635534424805565, 0.9456160159572818, 0.9379458469453907, 0.9364842675408411, 0.9362772234100023, 0.8811640977012105, 0.834664318317529, 0.910075334526645, 0.9685946253336242, 0.9698679683151985, 0.9525249678359679]|  0.9723812937736511|      0.50000000|[1431, 0, 0, 23]                                                           |  | trying quadratic partial model with 65 points | trying quadratic partial model with 126 points | exploitation failed, decreasing delta | actual_k=0
