k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2, 0.21, 0.22, 0.23, 0.24, 0.25, 0.26, 0.27, 0.28, 0.29, 0.3, 0.31, 0.32, 0.33, 0.34, 0.35, 0.36, 0.37, 0.38, 0.39, 0.4, 0.41, 0.42, 0.43, 0.44, 0.45, 0.46, 0.47, 0.48, 0.49, 0.5, 0.51, 0.52, 0.53, 0.54, 0.55, 0.56, 0.57, 0.58, 0.59, 0.6, 0.61, 0.62, 0.63, 0.64, 0.65, 0.66, 0.67, 0.68, 0.69, 0.7, 0.71, 0.72, 0.73, 0.74, 0.75, 0.76, 0.77, 0.78, 0.79, 0.8, 0.81, 0.82, 0.83, 0.84, 0.85, 0.86, 0.87, 0.88, 0.89, 0.9, 0.91, 0.92, 0.93, 0.94, 0.95, 0.96, 0.97, 0.98, 0.99, 1.0]|-56.4814000545650217|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1299154832563986, 0.068410996901928, -0.0243145620305343, -0.102853583331374, -0.0053606953627778, 0.1015670530426367, -0.0126646671771584, -0.0019101483705649, 0.1603342745899358, 0.1940679768892935, 0.2308282204184948, 0.1338867956558989, 0.2188476474798458, 0.0214726822600485, 0.2112143496086422, 0.0295022688690567, 0.3860144891724382, 0.2278467780912116, 0.0733235103616532, 0.2911340236750244, 0.3114071045251829, 0.3445412229108088, 0.2285944921183171, 0.2600838031130687, 0.4241287160830624, 0.2474752472758063, 0.1763096656529229, 0.332097674170253, 0.2393636534364193, 0.3562441448143436, 0.3755340401251607, 0.4091052858380171, 0.4755757083403707, 0.2175480827939241, 0.349918528895739, 0.2669255512900434, 0.3333364910290115, 0.3979546858568452, 0.5077085772748513, 0.4219907534360769, 0.4055777688083155, 0.5612606426231455, 0.37569086290049, 0.4411938183763705, 0.5919180604395959, 0.5583839994754182, 0.3731222935389518, 0.5544888858011343, 0.5934586598945887, 0.5804761546837947, 0.4418955812110623, 0.6246754312515954, 0.6157087803992556, 0.4474333435831891, 0.4151204178603501, 0.373895042466316, 0.754449426516115, 0.5308937695550562, 0.5266713674267043, 0.6722712888985883, 0.6795395939371228, 0.5913161128386937, 0.3852747067353454, 0.5878388833681315, 0.4655741266956877, 0.833654796735886, 0.7552760437832164, 0.6724270154512071, 0.8276145728071396, 0.6584156994815696, 0.6815697852147228, 0.7716810854953443, 0.6895140277521237, 0.7103754055243672, 0.7477158829974636, 0.781965117614673, 0.8462152237310023, 0.7746899172853229, 0.9370529487563862, 0.8391172425575185, 0.8072218509221227, 0.8415152122186896, 1.0263125435139107, 0.9134157469917833, 0.8464719245634578, 0.9388886669130819, 0.7820442860682517, 0.8688272772827685, 0.8703203932261498, 1.042024666594601, 0.9273997740822455, 1.0913000406930544, 0.970434091423538, 1.0804966418598663, 0.9223210160729424, 1.0274138870064489, 1.2465000064385499, 1.1457969696581884, 0.9453164022226367, 1.0179858096667393]|-91.6888732910156250|      2.00000000|[24, 8, 0, 2]                                                              |  | trying linear partial model with 13 points | iterate success | actual_k=4
       2|[0.402154998369349, -0.0027407355543963, -0.0462039565558144, 0.2338686005447318, -0.1653940178675485, 0.0185158660771999, -0.073234925162341, 0.3337894771610466, 0.0257587624210475, 0.110155715179152, 0.0531387217086504, 0.2082584183767316, 0.4846147962281209, -0.0360586045150123, 0.0138382902375986, 0.0333660772624395, 0.4909304024734833, 0.3483009979334698, 0.099992464073793, -0.0538118386251798, 0.1178936738646492, 0.3560035445282442, 0.4188420962492877, 0.3646224346435528, 0.3256050001760185, 0.2451069245084666, 0.1347663523488133, 0.5210573075204998, 0.2639497179417267, 0.1951721608982111, 0.1103992048072768, 0.5817285835191662, 0.2132153372008919, 0.6380685511029858, 0.3213669800764395, -0.1886115514650957, 0.4056688265086043, 0.2204517172105487, 0.1654118339751171, 0.3334148449142001, 0.2726428908854297, 0.2496882433540681, 0.1470441015335071, 0.5354430271499141, 0.801164617910536, 0.6048585279365322, 0.5054362491685487, 0.725373660360374, 0.8157483052869093, 0.8405736569402311, 0.8018199385072189, 0.5905081829600486, 1.0410312385871754, 0.352528073733834, 0.2465781915698304, 0.6125372530973678, 0.5368231083501411, 0.4927704161363732, 0.4985884428800272, 0.6271633937431458, 0.7393249365215657, 0.6203679625448173, 0.3972960255316069, 0.600356851225779, 0.1507303889106208, 0.8515609226798315, 0.5282629384116626, 0.8622728518045215, 0.9942509326895516, 0.335063781342731, 0.7179427587809266, 0.7509941700234443, 0.8250167904290354, 0.7803113763427451, 0.6183537192275246, 0.6513183877409241, 0.7580104026945337, 0.9987995184170588, 1.13446195849022, 0.7395071861242947, 0.9741164647754189, 0.6494683611318042, 0.91311603930125, 0.954403195344257, 0.9580341850261288, 0.6282155153641559, 0.7996895970342927, 0.5679951155262497, 1.1984819542011655, 1.1594532560791029, 1.282649448131888, 1.222250498498361, 1.1890647972957815, 1.0810004739232104, 1.3852079919452098, 1.3736869464393975, 1.0612377475648, 0.9989457613146188, 1.2866034000645503, 0.8383082944213829]|-152.4006042480468750|      4.00000000|[47, 16, 0, 4]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       3|[-0.3758673794240301, 0.1041600559881295, 0.0625553414520561, 0.0192093425868702, -1.211507591344005, -0.3831524588234909, -0.0992155954155463, 0.2472886450104235, -0.4272556591494946, 0.046046995923348, -0.0692164530155769, 0.4054560651502748, 0.7389467343708193, -0.4764065578197879, -0.264417833194579, 0.5640226440363683, 0.2934332570422228, -0.4827161570488866, -0.4715104801326171, 0.2889943174954357, 0.547542838344445, 0.3554844368525673, 0.6693676888934348, 0.7130829711916203, 0.4111659632528012, 0.5985208834152408, 0.0933290512271512, 0.4603750790659368, 0.8039952166360232, 0.7574344274162306, -0.1703111998734484, 0.6434758486235904, 0.1062289676865446, 0.6717903643783751, 0.2115060366512148, -0.3379545465466749, 0.3713818248112984, -0.4688279226281438, 0.0383202240628155, 1.336464671755456, -0.1053249699406783, 0.6860222061969201, 0.17716783666976, 0.4362888314122297, 0.6849139313779178, 0.2775945745698481, -0.176691888798588, 0.8550274795217859, 1.042228218655302, 0.5861386936388682, 0.7056523376108947, 0.7485040425517957, 1.339514280931195, 0.3569219757354232, -0.6378706922723807, 0.3535355992030255, 0.3232723091285062, 0.8149094147169111, 0.5033224010813705, 0.6884164298306354, 0.3405979430363669, 0.4636447674118623, 1.088694950436739, 0.628604400056039, 0.0723938690385468, 1.2573800103374007, 1.0792062987678124, 1.4815320472220685, 0.5720503704820128, 0.7982779942363979, 0.5578990317088874, 0.1943350714257329, 0.7359075096265368, 0.3313563667976704, 1.3195184596096419, 0.695423567720935, 1.3689986237510374, 1.0666359386954012, 1.3796679368150315, 1.0438034898097983, 1.1875336030010109, 0.5438894234919036, 1.7450994665478974, 1.4017606206689923, 0.8520141655851459, 0.8278747667091981, 1.2644149224175745, 0.6003256840920163, 1.1953036891766626, 1.4299201835004856, 0.8986582515525244, 1.9030892319508523, 0.2126355380549531, 0.9248929628854256, 1.2795851896958765, 1.1844145868661835, 1.6327954115099454, 1.1329291114769937, 1.6029089352873402, 0.3659251107394139]|-467.1246643066406250|      8.00000000|[71, 24, 0, 6]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       4|[-2.053943059072222, -0.3929982186590382, 0.4720065831921905, -0.6897423486841032, -1.477375097480264, -0.5665125118403255, -0.4119955039262406, 2.298725302074315, 0.4844706886789217, 1.1571514980765403, 0.4426821461378108, -0.0305385681479529, -0.0408825883240689, -0.1104574952174723, -1.0300902256059659, -0.1264071727889191, -0.2526745830801766, -0.2066507422365483, 0.1068783536877311, 1.6126250778887037, 0.1010799322446568, 1.7294488899352416, 0.4341322725478068, 1.9524044206386875, 1.6990929563845012, 0.3351939440559221, -1.6626527870739867, 0.6502883654404268, -0.1839642378891443, 1.0553003987621108, -0.0740340881601214, 1.3887034352087997, -1.1855348534652932, 0.9300719143856069, -0.0962669100242322, 0.1740480616566418, 0.1111352240231525, 0.210037000397847, 0.34419371580167, 0.9704137998503931, -0.1806001086674682, 1.5646362221878682, 0.4044693687646469, -0.7771537128019681, 1.0532685406601334, -0.4772350433897086, 0.7453512462460257, 1.8034738573919393, 0.666596504094796, -0.6233777733061601, 2.173473301629779, 0.7578998791249902, 1.4204503098433257, 0.4336610407107857, 0.0747375954264196, 0.4440970695621554, -0.4858806402412819, 0.6123110335695662, 0.20574092495771, 0.0758527962879982, 0.3305859796766773, 1.2587011691257421, 1.3043846417984388, 0.019239909952355, 0.7017658315094534, 1.1564386892800498, 1.6383759761675227, 1.3411308723252218, 0.9963802110921804, 1.2142352959788711, 1.905374059777569, 0.6353393223155086, 1.9218379453338836, -0.0230904176206392, 2.6260523105840026, -0.7352979386993221, 1.2168974827629668, -0.275699073912091, 1.7816950867010382, 2.1837744001549426, 0.7448848280297364, 0.3976404954692739, 2.2884852679805605, 1.4707011532612513, 0.5036303933702498, 0.439973324935043, 1.739235412422771, -0.3884567369246134, -0.3214973955805154, 0.771021670535661, 1.042618158181391, 2.067758159584387, 1.1203788227988545, 2.8388838359195683, 1.6472741812248866, -0.2375792572085171, 1.9016094707817055, 1.709872331725789, 1.9407028479047053, 1.4621940315576738]|-789.5121459960937500|     16.00000000|[93, 32, 0, 8]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       5|[-1.9101878946407498, -1.3244028151838458, -3.2738943323077874, -1.829613341695296, -3.0671639651164426, 1.1755433386004364, -0.7588453505253896, 0.8785805738346142, 2.992547760377244, 0.8459748195049437, -1.2860416664629148, 3.0808327067689087, 1.883199496568105, -3.2920920505297393, 2.8175915692000877, -0.3810259549836542, -0.1543461654562935, 1.9838820244741004, 0.4075145731061988, -0.9174365598877372, -0.7479805337305195, 0.1112838058939725, 0.9033625516144983, -2.929716653090695, -0.0716260949781986, -0.2582002172802491, -0.1976595585988394, 1.8722413401060454, 0.7362205540522495, 1.9812847121329522, -2.718610556877528, 1.4673250067963917, -2.4545491397080745, 2.183903525746135, -1.112908042482843, 1.8382185736787364, 0.6920524010451417, -0.0263763806637585, 1.0916990291592725, 2.2985929407368815, -3.417471403405369, 2.1509964785924534, -0.8982060032765403, -0.8166717018023912, 1.1903452458780737, 0.2739081210572048, -0.1030577903675359, 2.8187963360516908, 1.0346721907049308, 0.270008953330762, 3.276096416487112, 3.7879770624921125, 2.7169307146254154, 0.4611884921621745, -1.1860702932276403, -1.3590160411116918, -1.1012726223671654, 1.0109779791320923, 2.0479121727100003, 0.4546482225906108, -0.1467121904332209, 3.0008246693553593, 0.9780047740540647, -1.7346395457622967, 1.6534614323419816, 1.035412967142555, 0.0342298679714879, 0.5382140813998115, 2.411753403852382, 4.324308776706438, 2.456830090639664, 0.2931224564314213, 2.5989461677649244, 1.4616515950013276, 2.7050513486019376, -0.3849169100906886, 2.907199718632616, 1.5860043747730108, 0.0699533523594897, 2.1143524593608616, 1.2762518205490192, 1.6550972553955101, 0.7799361350430343, 2.9447612193791253, -0.2383151751749258, -0.332862811224521, 4.064377940446539, 1.7436865808846522, -0.1932369824186642, 1.1782151974454131, 0.5024740200144848, 0.5859749840912927, 1.8737850525201065, 1.605673421987512, 0.4640155102817765, 2.4566499773222317, 4.826905924273705, 2.253718024126049, -1.0334824460935261, 1.2105697396656998]|-833.5346679687500000|     32.00000000|[116, 40, 0, 10]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       6|[-1.9101878946407498, -1.3244028151838458, -3.2738943323077874, -1.829613341695296, -3.0671639651164426, 1.1755433386004364, -0.7588453505253896, 0.8785805738346142, 2.992547760377244, 0.8459748195049437, -1.2860416664629148, 3.0808327067689087, 1.883199496568105, -3.2920920505297393, 2.8175915692000877, -0.3810259549836542, -0.1543461654562935, 1.9838820244741004, 0.4075145731061988, -0.9174365598877372, -0.7479805337305195, 0.1112838058939725, 0.9033625516144983, -2.929716653090695, -0.0716260949781986, -0.2582002172802491, -0.1976595585988394, 1.8722413401060454, 0.7362205540522495, 1.9812847121329522, -2.718610556877528, 1.4673250067963917, -2.4545491397080745, 2.183903525746135, -1.112908042482843, 1.8382185736787364, 0.6920524010451417, -0.0263763806637585, 1.0916990291592725, 2.2985929407368815, -3.417471403405369, 2.1509964785924534, -0.8982060032765403, -0.8166717018023912, 1.1903452458780737, 0.2739081210572048, -0.1030577903675359, 2.8187963360516908, 1.0346721907049308, 0.270008953330762, 3.276096416487112, 3.7879770624921125, 2.7169307146254154, 0.4611884921621745, -1.1860702932276403, -1.3590160411116918, -1.1012726223671654, 1.0109779791320923, 2.0479121727100003, 0.4546482225906108, -0.1467121904332209, 3.0008246693553593, 0.9780047740540647, -1.7346395457622967, 1.6534614323419816, 1.035412967142555, 0.0342298679714879, 0.5382140813998115, 2.411753403852382, 4.324308776706438, 2.456830090639664, 0.2931224564314213, 2.5989461677649244, 1.4616515950013276, 2.7050513486019376, -0.3849169100906886, 2.907199718632616, 1.5860043747730108, 0.0699533523594897, 2.1143524593608616, 1.2762518205490192, 1.6550972553955101, 0.7799361350430343, 2.9447612193791253, -0.2383151751749258, -0.332862811224521, 4.064377940446539, 1.7436865808846522, -0.1932369824186642, 1.1782151974454131, 0.5024740200144848, 0.5859749840912927, 1.8737850525201065, 1.605673421987512, 0.4640155102817765, 2.4566499773222317, 4.826905924273705, 2.253718024126049, -1.0334824460935261, 1.2105697396656998]|-833.5346679687500000|     16.00000000|[222, 80, 0, 20]                                                           |  | trying linear partial model with 13 points | trying linear partial model with 23 points | trying linear partial model with 35 points | trying linear partial model with 45 points | trying linear partial model with 56 points | trying linear partial model with 66 points | trying linear partial model with 77 points | trying linear partial model with 87 points | trying linear partial model with 97 points | exploitation failed, decreasing delta | actual_k=4
       7|[-2.5496030283918802, -3.4855088818580007, -3.2877626358899974, -0.3442874760033263, -3.7820644441019278, 0.4853574702124109, -1.8146811660771094, 2.344003614043249, 3.4686147064932973, -3.468648336131605, 0.3378381225397957, 4.497942531009164, 2.008015159816165, -4.235137128555244, 2.6911900151887846, 2.2629261656232638, 1.8280121494380746, 1.3103379144460896, -1.6745536525867868, -1.2199647832342224, 0.3957602503925676, 2.00082609896865, -0.0860721716516816, -2.908773074429459, 1.40430768445094, -0.0150245787553573, 1.0744094737515884, 4.2219816996950925, 0.9976932621597564, 5.069249913095626, -2.0563187397254583, 4.453919149153725, -1.4781723121996335, 2.6684165521485883, -0.1770708427716385, -0.8947084953465274, -0.5699992678330279, 2.1065008981591404, 1.4951995816872283, 4.089462662349208, -5.469675793321368, 3.746881532028075, -1.6075162670614696, -0.7974548244664998, 1.9199931669549348, 4.234816304968603, 0.3872045539695947, 2.9308576832609803, 0.9282607768892976, 1.9112473771558758, 5.140753986899285, 4.704271092033031, 1.7908167586917507, 0.3361475040254694, 1.1236033553917464, -1.7933721525942252, 0.115280398006453, 3.160903657833589, -1.2858024470180194, -0.0577172818516324, -0.9832034905867758, 0.2459695326094553, -1.5155228345242624, -3.259647450844045, 2.050470138307438, 0.0731624324158735, 0.141339946260138, -1.0868951225038963, 1.827880559694552, 5.726914466738606, 0.6092703717826573, 0.9842277231568566, 4.795136614908186, -0.0295544198241238, 1.8615327259709957, -2.293691115150694, 2.1621282690955743, 1.2623725858077375, 3.507666447366108, 1.9889338434222483, 2.598805419181303, 2.4911713134091715, 1.8333188637250057, 5.407973200929828, 1.5057872079937415, 1.329945327171806, 3.906017448722248, 0.1335505170660307, -0.0599284697334904, 1.4894747531708057, 2.9062472907386647, 4.333448927891629, 1.583072285006787, 3.202675149686085, 1.2750260059496301, 2.8276150603860883, 3.379147411254544, 1.5132298255090268, -0.1141537681971182, 0.3091400166608816]|-894.2855834960937500|     32.00000000|[244, 88, 0, 22]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       8|[-2.5496030283918802, -3.4855088818580007, -3.2877626358899974, -0.3442874760033263, -3.7820644441019278, 0.4853574702124109, -1.8146811660771094, 2.344003614043249, 3.4686147064932973, -3.468648336131605, 0.3378381225397957, 4.497942531009164, 2.008015159816165, -4.235137128555244, 2.6911900151887846, 2.2629261656232638, 1.8280121494380746, 1.3103379144460896, -1.6745536525867868, -1.2199647832342224, 0.3957602503925676, 2.00082609896865, -0.0860721716516816, -2.908773074429459, 1.40430768445094, -0.0150245787553573, 1.0744094737515884, 4.2219816996950925, 0.9976932621597564, 5.069249913095626, -2.0563187397254583, 4.453919149153725, -1.4781723121996335, 2.6684165521485883, -0.1770708427716385, -0.8947084953465274, -0.5699992678330279, 2.1065008981591404, 1.4951995816872283, 4.089462662349208, -5.469675793321368, 3.746881532028075, -1.6075162670614696, -0.7974548244664998, 1.9199931669549348, 4.234816304968603, 0.3872045539695947, 2.9308576832609803, 0.9282607768892976, 1.9112473771558758, 5.140753986899285, 4.704271092033031, 1.7908167586917507, 0.3361475040254694, 1.1236033553917464, -1.7933721525942252, 0.115280398006453, 3.160903657833589, -1.2858024470180194, -0.0577172818516324, -0.9832034905867758, 0.2459695326094553, -1.5155228345242624, -3.259647450844045, 2.050470138307438, 0.0731624324158735, 0.141339946260138, -1.0868951225038963, 1.827880559694552, 5.726914466738606, 0.6092703717826573, 0.9842277231568566, 4.795136614908186, -0.0295544198241238, 1.8615327259709957, -2.293691115150694, 2.1621282690955743, 1.2623725858077375, 3.507666447366108, 1.9889338434222483, 2.598805419181303, 2.4911713134091715, 1.8333188637250057, 5.407973200929828, 1.5057872079937415, 1.329945327171806, 3.906017448722248, 0.1335505170660307, -0.0599284697334904, 1.4894747531708057, 2.9062472907386647, 4.333448927891629, 1.583072285006787, 3.202675149686085, 1.2750260059496301, 2.8276150603860883, 3.379147411254544, 1.5132298255090268, -0.1141537681971182, 0.3091400166608816]|-894.2855834960937500|     16.00000000|[351, 128, 1, 33]                                                          |  | trying linear partial model with 13 points | trying linear partial model with 23 points | trying linear partial model with 33 points | trying linear partial model with 44 points | trying linear partial model with 54 points | trying linear partial model with 65 points | trying linear partial model with 75 points | trying linear partial model with 85 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 98 points | exploitation failed, decreasing delta | actual_k=4
       9|[2.1219625881482305, -3.5379817315516586, -0.2861481605449034, -0.1466367524405394, -1.0870354453696778, -0.5565391490883379, -1.8736565671835177, 4.123877349240683, 1.977806107966443, -2.2490194259324277, -0.5292349757477801, 3.8313207890429988, 0.3875601678718414, -7.5111568053567, 5.095347794914996, 3.5271647039019394, 3.274888437322548, 2.26880885452804, 0.6041838338937309, -0.975459022711524, 3.001822168071503, 2.5551809052075525, 1.7242361669553148, -0.9532944912977104, 0.7330998704402265, -0.8496575533627813, 0.878191284129889, 1.9472518368608411, 2.833125396839426, 7.69980068974756, 1.2024746282730816, 4.957837202696122, -1.49158529835042, 2.8201463430982674, -1.634095355227334, -1.4417385919812151, -0.1197599711167058, -0.5962954968038727, 2.8744773229122744, 3.756416809722568, -7.273390519360275, 3.1808871687305524, -3.4042936335396217, -0.4248481403621422, 1.663425744404161, 4.83093183662244, 0.3809467402530569, 3.200938011866052, -0.7475128451475126, 0.0633480674531808, 2.807197956492496, 7.09913418654727, 3.2091527748478708, 2.1204005659080676, -0.849136246326107, -3.5581413603104792, 1.7713025802083946, 2.45907348425547, -0.8725538391051243, -0.917584849407864, -1.8290009740343502, 3.6618582475271886, -1.130359177379636, -4.862487229616733, 1.1377106446988878, 0.7676814131851334, 1.4654852220048646, -1.3980920361394338, 0.6129507538314865, 6.553176771712973, 1.3717098563854062, 0.4002060750483331, 6.798602566649452, -0.4679763440982411, 1.9042122228274685, -3.9802408568834275, 1.3644027134629253, 2.180684168748935, 2.641213043079837, 0.2632787504150162, 4.294095908856804, 2.7695461675433304, -0.3553098750763579, 3.7023738517153495, 1.899995566942907, 2.2231972126626367, 7.0326376420401076, 1.4985992716010066, 3.0681359260733405, 0.248393340996073, 5.469798387564528, 4.350012568720265, 2.051459161393238, 2.44819636084132, 2.5915618820203243, 2.675896780694737, 3.577606748653491, 2.668671645089141, 1.6551854214026585, 2.048292605836323]|-921.6107788085937500|     32.00000000|[407, 148, 1, 38]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 23 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 34 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | iterate success | actual_k=4
      10|[2.1219625881482305, -3.5379817315516586, -0.2861481605449034, -0.1466367524405394, -1.0870354453696778, -0.5565391490883379, -1.8736565671835177, 4.123877349240683, 1.977806107966443, -2.2490194259324277, -0.5292349757477801, 3.8313207890429988, 0.3875601678718414, -7.5111568053567, 5.095347794914996, 3.5271647039019394, 3.274888437322548, 2.26880885452804, 0.6041838338937309, -0.975459022711524, 3.001822168071503, 2.5551809052075525, 1.7242361669553148, -0.9532944912977104, 0.7330998704402265, -0.8496575533627813, 0.878191284129889, 1.9472518368608411, 2.833125396839426, 7.69980068974756, 1.2024746282730816, 4.957837202696122, -1.49158529835042, 2.8201463430982674, -1.634095355227334, -1.4417385919812151, -0.1197599711167058, -0.5962954968038727, 2.8744773229122744, 3.756416809722568, -7.273390519360275, 3.1808871687305524, -3.4042936335396217, -0.4248481403621422, 1.663425744404161, 4.83093183662244, 0.3809467402530569, 3.200938011866052, -0.7475128451475126, 0.0633480674531808, 2.807197956492496, 7.09913418654727, 3.2091527748478708, 2.1204005659080676, -0.849136246326107, -3.5581413603104792, 1.7713025802083946, 2.45907348425547, -0.8725538391051243, -0.917584849407864, -1.8290009740343502, 3.6618582475271886, -1.130359177379636, -4.862487229616733, 1.1377106446988878, 0.7676814131851334, 1.4654852220048646, -1.3980920361394338, 0.6129507538314865, 6.553176771712973, 1.3717098563854062, 0.4002060750483331, 6.798602566649452, -0.4679763440982411, 1.9042122228274685, -3.9802408568834275, 1.3644027134629253, 2.180684168748935, 2.641213043079837, 0.2632787504150162, 4.294095908856804, 2.7695461675433304, -0.3553098750763579, 3.7023738517153495, 1.899995566942907, 2.2231972126626367, 7.0326376420401076, 1.4985992716010066, 3.0681359260733405, 0.248393340996073, 5.469798387564528, 4.350012568720265, 2.051459161393238, 2.44819636084132, 2.5915618820203243, 2.675896780694737, 3.577606748653491, 2.668671645089141, 1.6551854214026585, 2.048292605836323]|-921.6107788085937500|     16.00000000|[515, 188, 1, 48]                                                          |  | trying linear partial model with 13 points | trying linear partial model with 25 points | trying linear partial model with 35 points | trying linear partial model with 45 points | trying linear partial model with 55 points | trying linear partial model with 67 points | trying linear partial model with 78 points | trying linear partial model with 89 points | trying linear partial model with 99 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
