k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3745460029166223, 0.0805017333401181, -0.0046744663351509, 0.3414217239241933, 0.2806377610422461, 0.2369282147135544, 0.1412398386947722, -0.1602701731467903, -0.3428438885960133, 0.0293233258482448, 0.1002232421346877, -0.0840800710475305, 0.0931274217350224, -0.2873608990342496, 0.1488417240954102, 0.0735541775870292, -0.058330198031015, 0.1481651843646188, -0.1457571969828858, 0.3521120798837594, -0.1677836611427269, 0.3210180263141136]| 13.9616146087646484|      2.00000000|[29, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       2|[1.442337152742056, -0.2328923305868873, -0.5272345033376141, 1.0790575111006842, 0.7041247419120599, -0.0276976253335805, 0.5323711163390635, -0.1986286201510217, -0.4644964447609572, -0.0005659808516251, -0.0157769538227186, -0.1860044623371773, 0.7094786311397216, -0.246797775855624, -0.1982882260891226, -0.2746769920055531, -0.1957731358742168, 0.3198185809366507, -0.2073925262006976, 0.8643981669374676, -0.9171758919167007, 0.2811208705939494]| 12.4657859802246094|      4.00000000|[57, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       3|[1.442337152742056, -0.2328923305868873, -0.5272345033376141, 1.0790575111006842, 0.7041247419120599, -0.0276976253335805, 0.5323711163390635, -0.1986286201510217, -0.4644964447609572, -0.0005659808516251, -0.0157769538227186, -0.1860044623371773, 0.7094786311397216, -0.246797775855624, -0.1982882260891226, -0.2746769920055531, -0.1957731358742168, 0.3198185809366507, -0.2073925262006976, 0.8643981669374676, -0.9171758919167007, 0.2811208705939494]| 12.4657859802246094|      2.00000000|[85, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       4|[1.442337152742056, -0.2328923305868873, -0.5272345033376141, 1.0790575111006842, 0.7041247419120599, -0.0276976253335805, 0.5323711163390635, -0.1986286201510217, -0.4644964447609572, -0.0005659808516251, -0.0157769538227186, -0.1860044623371773, 0.7094786311397216, -0.246797775855624, -0.1982882260891226, -0.2746769920055531, -0.1957731358742168, 0.3198185809366507, -0.2073925262006976, 0.8643981669374676, -0.9171758919167007, 0.2811208705939494]| 12.4657859802246094|      1.00000000|[113, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       5|[1.9906228245673967, -0.1323017575244946, -0.4801759662788159, 1.5923722202869866, 0.5407910034894751, 0.2247075434124661, 0.7029020269390094, -0.1792431084199117, -0.5645035572907317, -0.0513352771276689, 0.1332051857161372, -0.0125993072128055, 0.872456312253878, -0.2181964485465889, 0.0683663618821264, -0.0797823347826266, -0.3138895206484544, 0.4276616205725312, -0.101486022191279, 1.10577395755721, -0.8396539761130969, 0.3176305609884099]| 12.1487407684326172|      2.00000000|[141, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       6|[1.9906228245673967, -0.1323017575244946, -0.4801759662788159, 1.5923722202869866, 0.5407910034894751, 0.2247075434124661, 0.7029020269390094, -0.1792431084199117, -0.5645035572907317, -0.0513352771276689, 0.1332051857161372, -0.0125993072128055, 0.872456312253878, -0.2181964485465889, 0.0683663618821264, -0.0797823347826266, -0.3138895206484544, 0.4276616205725312, -0.101486022191279, 1.10577395755721, -0.8396539761130969, 0.3176305609884099]| 12.1487407684326172|      1.00000000|[169, 12, 0, 12]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       7|[1.9906228245673967, -0.1323017575244946, -0.4801759662788159, 1.5923722202869866, 0.5407910034894751, 0.2247075434124661, 0.7029020269390094, -0.1792431084199117, -0.5645035572907317, -0.0513352771276689, 0.1332051857161372, -0.0125993072128055, 0.872456312253878, -0.2181964485465889, 0.0683663618821264, -0.0797823347826266, -0.3138895206484544, 0.4276616205725312, -0.101486022191279, 1.10577395755721, -0.8396539761130969, 0.3176305609884099]| 12.1487407684326172|      0.50000000|[197, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       8|[1.9906228245673967, -0.1323017575244946, -0.4801759662788159, 1.5923722202869866, 0.5407910034894751, 0.2247075434124661, 0.7029020269390094, -0.1792431084199117, -0.5645035572907317, -0.0513352771276689, 0.1332051857161372, -0.0125993072128055, 0.872456312253878, -0.2181964485465889, 0.0683663618821264, -0.0797823347826266, -0.3138895206484544, 0.4276616205725312, -0.101486022191279, 1.10577395755721, -0.8396539761130969, 0.3176305609884099]| 12.1487407684326172|      0.25000000|[226, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       9|[1.9906228245673967, -0.1323017575244946, -0.4801759662788159, 1.5923722202869866, 0.5407910034894751, 0.2247075434124661, 0.7029020269390094, -0.1792431084199117, -0.5645035572907317, -0.0513352771276689, 0.1332051857161372, -0.0125993072128055, 0.872456312253878, -0.2181964485465889, 0.0683663618821264, -0.0797823347826266, -0.3138895206484544, 0.4276616205725312, -0.101486022191279, 1.10577395755721, -0.8396539761130969, 0.3176305609884099]| 12.1487407684326172|      0.12500000|[254, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      10|[1.9906228245673967, -0.1323017575244946, -0.4801759662788159, 1.5923722202869866, 0.5407910034894751, 0.2247075434124661, 0.7029020269390094, -0.1792431084199117, -0.5645035572907317, -0.0513352771276689, 0.1332051857161372, -0.0125993072128055, 0.872456312253878, -0.2181964485465889, 0.0683663618821264, -0.0797823347826266, -0.3138895206484544, 0.4276616205725312, -0.101486022191279, 1.10577395755721, -0.8396539761130969, 0.3176305609884099]| 12.1487407684326172|      0.06250000|[282, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      11|[1.9990485556663593, -0.1440841076348776, -0.4697861196390901, 1.62760316973373, 0.5257154913351632, 0.218646196555914, 0.7183734471396789, -0.1652489913909838, -0.564252648109273, -0.0453518483530214, 0.1339349075060296, -0.0171685003794147, 0.8649528443325016, -0.2190290750522491, 0.054930454306568, -0.0892987702754127, -0.3110388208375543, 0.4524033002570492, -0.1228228278082296, 1.1087233654745439, -0.8266357528332161, 0.3146325698391081]| 12.1467638015747070|      0.12500000|[310, 22, 0, 22]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      12|[1.9990485556663593, -0.1440841076348776, -0.4697861196390901, 1.62760316973373, 0.5257154913351632, 0.218646196555914, 0.7183734471396789, -0.1652489913909838, -0.564252648109273, -0.0453518483530214, 0.1339349075060296, -0.0171685003794147, 0.8649528443325016, -0.2190290750522491, 0.054930454306568, -0.0892987702754127, -0.3110388208375543, 0.4524033002570492, -0.1228228278082296, 1.1087233654745439, -0.8266357528332161, 0.3146325698391081]| 12.1467638015747070|      0.06250000|[338, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      13|[1.9990485556663593, -0.1440841076348776, -0.4697861196390901, 1.62760316973373, 0.5257154913351632, 0.218646196555914, 0.7183734471396789, -0.1652489913909838, -0.564252648109273, -0.0453518483530214, 0.1339349075060296, -0.0171685003794147, 0.8649528443325016, -0.2190290750522491, 0.054930454306568, -0.0892987702754127, -0.3110388208375543, 0.4524033002570492, -0.1228228278082296, 1.1087233654745439, -0.8266357528332161, 0.3146325698391081]| 12.1467638015747070|      0.03125000|[366, 26, 0, 26]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      14|[2.014147025360271, -0.1426822564053395, -0.4703324333756965, 1.6361166115987087, 0.5202887002153066, 0.2178649172838447, 0.7057437389683243, -0.1607572799448403, -0.5511081573690039, -0.0429222498030908, 0.1305916812856445, -0.0199372431245552, 0.8638512390228081, -0.2132075439751847, 0.0587722223603737, -0.0909561746905037, -0.314736062377433, 0.4433317744527737, -0.1291499330997089, 1.1158238658352841, -0.8274812225438107, 0.3198143592001888]| 12.1462249755859375|      0.06250000|[395, 28, 0, 28]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      15|[2.014147025360271, -0.1426822564053395, -0.4703324333756965, 1.6361166115987087, 0.5202887002153066, 0.2178649172838447, 0.7057437389683243, -0.1607572799448403, -0.5511081573690039, -0.0429222498030908, 0.1305916812856445, -0.0199372431245552, 0.8638512390228081, -0.2132075439751847, 0.0587722223603737, -0.0909561746905037, -0.314736062377433, 0.4433317744527737, -0.1291499330997089, 1.1158238658352841, -0.8274812225438107, 0.3198143592001888]| 12.1462249755859375|      0.03125000|[424, 30, 0, 30]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      16|[2.0244825294708124, -0.1390355910611607, -0.4619832460426694, 1.6526096868296172, 0.5262192877964315, 0.2213951681565026, 0.7059085416627698, -0.1628162344697289, -0.5563157151960884, -0.0449159111184804, 0.1259464707669874, -0.019294085840134, 0.8626764360211985, -0.2099721339943561, 0.0552409666047898, -0.0958824609731027, -0.3145871670391601, 0.4488653290283409, -0.1407471899747756, 1.1029282297569911, -0.8246234727586431, 0.3244550732204473]| 12.1458568572998047|      0.06250000|[452, 32, 0, 32]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      17|[2.0244825294708124, -0.1390355910611607, -0.4619832460426694, 1.6526096868296172, 0.5262192877964315, 0.2213951681565026, 0.7059085416627698, -0.1628162344697289, -0.5563157151960884, -0.0449159111184804, 0.1259464707669874, -0.019294085840134, 0.8626764360211985, -0.2099721339943561, 0.0552409666047898, -0.0958824609731027, -0.3145871670391601, 0.4488653290283409, -0.1407471899747756, 1.1029282297569911, -0.8246234727586431, 0.3244550732204473]| 12.1458568572998047|      0.03125000|[480, 34, 0, 34]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      18|[2.0244825294708124, -0.1390355910611607, -0.4619832460426694, 1.6526096868296172, 0.5262192877964315, 0.2213951681565026, 0.7059085416627698, -0.1628162344697289, -0.5563157151960884, -0.0449159111184804, 0.1259464707669874, -0.019294085840134, 0.8626764360211985, -0.2099721339943561, 0.0552409666047898, -0.0958824609731027, -0.3145871670391601, 0.4488653290283409, -0.1407471899747756, 1.1029282297569911, -0.8246234727586431, 0.3244550732204473]| 12.1458568572998047|      0.01562500|[508, 36, 0, 36]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      19|[2.0244825294708124, -0.1390355910611607, -0.4619832460426694, 1.6526096868296172, 0.5262192877964315, 0.2213951681565026, 0.7059085416627698, -0.1628162344697289, -0.5563157151960884, -0.0449159111184804, 0.1259464707669874, -0.019294085840134, 0.8626764360211985, -0.2099721339943561, 0.0552409666047898, -0.0958824609731027, -0.3145871670391601, 0.4488653290283409, -0.1407471899747756, 1.1029282297569911, -0.8246234727586431, 0.3244550732204473]| 12.1458568572998047|      0.00781250|[536, 38, 0, 38]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      20|[2.029493559282811, -0.1389491629324213, -0.4598786558196093, 1.6546575936570238, 0.5251886352199987, 0.2230250462829364, 0.7043784015251898, -0.1625436623499219, -0.5559212995638728, -0.0430756678694826, 0.1261013687654159, -0.0197784674363343, 0.8618354606293315, -0.2108758956595058, 0.0532113278775417, -0.0957406344891263, -0.3139031683597367, 0.4490325972167274, -0.1410639818094422, 1.1048351096994173, -0.824060845774032, 0.3217817809458779]| 12.1458330154418945|      0.01562500|[564, 40, 0, 40]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      21|[2.029493559282811, -0.1389491629324213, -0.4598786558196093, 1.6546575936570238, 0.5251886352199987, 0.2230250462829364, 0.7043784015251898, -0.1625436623499219, -0.5559212995638728, -0.0430756678694826, 0.1261013687654159, -0.0197784674363343, 0.8618354606293315, -0.2108758956595058, 0.0532113278775417, -0.0957406344891263, -0.3139031683597367, 0.4490325972167274, -0.1410639818094422, 1.1048351096994173, -0.824060845774032, 0.3217817809458779]| 12.1458330154418945|      0.00781250|[593, 42, 0, 42]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      22|[2.029493559282811, -0.1389491629324213, -0.4598786558196093, 1.6546575936570238, 0.5251886352199987, 0.2230250462829364, 0.7043784015251898, -0.1625436623499219, -0.5559212995638728, -0.0430756678694826, 0.1261013687654159, -0.0197784674363343, 0.8618354606293315, -0.2108758956595058, 0.0532113278775417, -0.0957406344891263, -0.3139031683597367, 0.4490325972167274, -0.1410639818094422, 1.1048351096994173, -0.824060845774032, 0.3217817809458779]| 12.1458330154418945|      0.00390625|[621, 44, 0, 44]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      23|[2.030315792319752, -0.1395402438590855, -0.4598827982360358, 1.6571879211691134, 0.5248441070901914, 0.2230796434362951, 0.7046601497140317, -0.1619458318598888, -0.5565576407862689, -0.042684168120623, 0.1265183588951105, -0.0203464729880049, 0.86089850702434, -0.2123908170662561, 0.0532489985694323, -0.095625830076377, -0.312893615175436, 0.4483031047785695, -0.1418105472122163, 1.1049472847828818, -0.8240840676982674, 0.3208287403696081]| 12.1458253860473633|      0.00781250|[649, 46, 0, 46]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      24|[2.030315792319752, -0.1395402438590855, -0.4598827982360358, 1.6571879211691134, 0.5248441070901914, 0.2230796434362951, 0.7046601497140317, -0.1619458318598888, -0.5565576407862689, -0.042684168120623, 0.1265183588951105, -0.0203464729880049, 0.86089850702434, -0.2123908170662561, 0.0532489985694323, -0.095625830076377, -0.312893615175436, 0.4483031047785695, -0.1418105472122163, 1.1049472847828818, -0.8240840676982674, 0.3208287403696081]| 12.1458253860473633|      0.00390625|[677, 48, 0, 48]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      25|[2.030315792319752, -0.1395402438590855, -0.4598827982360358, 1.6571879211691134, 0.5248441070901914, 0.2230796434362951, 0.7046601497140317, -0.1619458318598888, -0.5565576407862689, -0.042684168120623, 0.1265183588951105, -0.0203464729880049, 0.86089850702434, -0.2123908170662561, 0.0532489985694323, -0.095625830076377, -0.312893615175436, 0.4483031047785695, -0.1418105472122163, 1.1049472847828818, -0.8240840676982674, 0.3208287403696081]| 12.1458253860473633|      0.00195312|[705, 50, 0, 50]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      26|[2.0296168309509337, -0.1401204276153974, -0.4602054719431409, 1.6582800089151313, 0.5250280824962054, 0.2230136146542841, 0.7046769981328781, -0.1618365726590471, -0.5565862339175973, -0.0426573569670081, 0.1258640407987238, -0.0203366978339089, 0.8607022479931465, -0.2120011321781233, 0.0534586052867017, -0.0958165819941096, -0.3129546409119875, 0.4482635638082527, -0.1416088698911683, 1.1054377923225363, -0.8245737244824295, 0.3214733757844618]| 12.1458225250244141|      0.00390625|[734, 52, 0, 52]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      27|[2.0296168309509337, -0.1401204276153974, -0.4602054719431409, 1.6582800089151313, 0.5250280824962054, 0.2230136146542841, 0.7046769981328781, -0.1618365726590471, -0.5565862339175973, -0.0426573569670081, 0.1258640407987238, -0.0203366978339089, 0.8607022479931465, -0.2120011321781233, 0.0534586052867017, -0.0958165819941096, -0.3129546409119875, 0.4482635638082527, -0.1416088698911683, 1.1054377923225363, -0.8245737244824295, 0.3214733757844618]| 12.1458225250244141|      0.00195312|[763, 54, 0, 54]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      28|[2.0288813838059663, -0.1408802647299679, -0.4601632654072047, 1.6589193441538244, 0.5254064083836344, 0.2233483226648638, 0.7045998693782571, -0.1620150690903183, -0.5565543130191651, -0.0421016773625981, 0.1261251311488373, -0.0203354285905366, 0.8605637507611449, -0.2116015866673573, 0.0537793149563125, -0.0962820325027439, -0.3127409991196897, 0.4478831527984519, -0.1410320522268385, 1.1047129150999977, -0.8244210877583268, 0.3212615806226266]| 12.1458206176757812|      0.00390625|[791, 56, 0, 56]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      29|[2.0288813838059663, -0.1408802647299679, -0.4601632654072047, 1.6589193441538244, 0.5254064083836344, 0.2233483226648638, 0.7045998693782571, -0.1620150690903183, -0.5565543130191651, -0.0421016773625981, 0.1261251311488373, -0.0203354285905366, 0.8605637507611449, -0.2116015866673573, 0.0537793149563125, -0.0962820325027439, -0.3127409991196897, 0.4478831527984519, -0.1410320522268385, 1.1047129150999977, -0.8244210877583268, 0.3212615806226266]| 12.1458206176757812|      0.00195312|[819, 58, 0, 58]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      30|[2.0287644526663517, -0.1414884103006054, -0.4595514305187957, 1.6598727524438772, 0.5249422166329328, 0.2236758350521979, 0.7039406495783622, -0.1622400792879213, -0.556426428018618, -0.0423868613235463, 0.1260481193870893, -0.0205004136244443, 0.859973761973069, -0.210899986134901, 0.0535199739585247, -0.0961962682773823, -0.3127781795012762, 0.4478914572053591, -0.1412970685869543, 1.1046381744109772, -0.8242121274365317, 0.3216777549728527]| 12.1458177566528320|      0.00390625|[847, 60, 0, 60]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      31|[2.0287644526663517, -0.1414884103006054, -0.4595514305187957, 1.6598727524438772, 0.5249422166329328, 0.2236758350521979, 0.7039406495783622, -0.1622400792879213, -0.556426428018618, -0.0423868613235463, 0.1260481193870893, -0.0205004136244443, 0.859973761973069, -0.210899986134901, 0.0535199739585247, -0.0961962682773823, -0.3127781795012762, 0.4478914572053591, -0.1412970685869543, 1.1046381744109772, -0.8242121274365317, 0.3216777549728527]| 12.1458177566528320|      0.00195312|[875, 62, 0, 62]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      32|[2.0275664068462382, -0.141172504819562, -0.4593237973004375, 1.6605257225057284, 0.5248883633916855, 0.223721398556619, 0.7040744600144224, -0.1623693559790544, -0.5560894016245169, -0.0424513838125841, 0.1258041321352405, -0.0199401682173483, 0.8602343850943273, -0.2108917225352317, 0.0535223240364638, -0.0956209088563863, -0.312833901338788, 0.4477031215190082, -0.1411533820321552, 1.1047982442258681, -0.8236777232665582, 0.3223856984433134]| 12.1458158493041992|      0.00390625|[903, 64, 0, 64]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      33|[2.0275664068462382, -0.141172504819562, -0.4593237973004375, 1.6605257225057284, 0.5248883633916855, 0.223721398556619, 0.7040744600144224, -0.1623693559790544, -0.5560894016245169, -0.0424513838125841, 0.1258041321352405, -0.0199401682173483, 0.8602343850943273, -0.2108917225352317, 0.0535223240364638, -0.0956209088563863, -0.312833901338788, 0.4477031215190082, -0.1411533820321552, 1.1047982442258681, -0.8236777232665582, 0.3223856984433134]| 12.1458158493041992|      0.00195312|[931, 66, 0, 66]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      34|[2.0272006726456495, -0.1415255714134397, -0.4587987223496826, 1.661246244120973, 0.5248189749113593, 0.2237398005095657, 0.703654300803942, -0.1619977078667471, -0.5555417781454404, -0.0428304342014766, 0.1256005291542039, -0.0199690647147557, 0.8601138201722023, -0.2103717371754419, 0.0534961460099197, -0.0957106205898892, -0.3124060436472285, 0.4476395240969543, -0.1422481038031804, 1.1044967763499463, -0.8233105811623741, 0.3221600829427871]| 12.1458139419555664|      0.00390625|[959, 68, 0, 68]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      35|[2.0272006726456495, -0.1415255714134397, -0.4587987223496826, 1.661246244120973, 0.5248189749113593, 0.2237398005095657, 0.703654300803942, -0.1619977078667471, -0.5555417781454404, -0.0428304342014766, 0.1256005291542039, -0.0199690647147557, 0.8601138201722023, -0.2103717371754419, 0.0534961460099197, -0.0957106205898892, -0.3124060436472285, 0.4476395240969543, -0.1422481038031804, 1.1044967763499463, -0.8233105811623741, 0.3221600829427871]| 12.1458139419555664|      0.00195312|[987, 70, 0, 70]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      36|[2.0261750667911826, -0.1415665039161107, -0.4580209260150926, 1.6616227542835351, 0.5250877100213562, 0.2241567649695137, 0.7032869787429332, -0.1623775121696871, -0.5557881128629704, -0.0432845377891753, 0.1253341057869357, -0.0203179422144349, 0.8603181741966733, -0.2111194295404515, 0.0534202227924396, -0.0953239442001941, -0.3120272943238476, 0.4475500970927434, -0.142045889821612, 1.1042948645008628, -0.8233106541050224, 0.3219591094603807]| 12.1458120346069336|      0.00390625|[1016, 72, 0, 72]                                                          |  | trying linear partial model with 16 points | iterate success | actual_k=1
      37|[2.0261750667911826, -0.1415665039161107, -0.4580209260150926, 1.6616227542835351, 0.5250877100213562, 0.2241567649695137, 0.7032869787429332, -0.1623775121696871, -0.5557881128629704, -0.0432845377891753, 0.1253341057869357, -0.0203179422144349, 0.8603181741966733, -0.2111194295404515, 0.0534202227924396, -0.0953239442001941, -0.3120272943238476, 0.4475500970927434, -0.142045889821612, 1.1042948645008628, -0.8233106541050224, 0.3219591094603807]| 12.1458120346069336|      0.00195312|[1044, 74, 0, 74]                                                          |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      38|[2.025299704106748, -0.1423643187027706, -0.4585079578633269, 1.6623648921841157, 0.5245228765491979, 0.2242413162866431, 0.7036688224396753, -0.1621116648721685, -0.5558896798996817, -0.0428268591508814, 0.1255377896422142, -0.0204085905908275, 0.860281670559924, -0.2115033235184708, 0.0531134236631599, -0.0951518905978307, -0.3123728537454432, 0.4473839756168017, -0.1420384491426244, 1.1043740547695102, -0.8227767638072805, 0.322276909848036]| 12.1458091735839844|      0.00390625|[1072, 76, 0, 76]                                                          |  | trying linear partial model with 16 points | iterate success | actual_k=1
      39|[2.025299704106748, -0.1423643187027706, -0.4585079578633269, 1.6623648921841157, 0.5245228765491979, 0.2242413162866431, 0.7036688224396753, -0.1621116648721685, -0.5558896798996817, -0.0428268591508814, 0.1255377896422142, -0.0204085905908275, 0.860281670559924, -0.2115033235184708, 0.0531134236631599, -0.0951518905978307, -0.3123728537454432, 0.4473839756168017, -0.1420384491426244, 1.1043740547695102, -0.8227767638072805, 0.322276909848036]| 12.1458091735839844|      0.00195312|[1100, 78, 0, 78]                                                          |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      40|[2.023943035542702, -0.1426803509535015, -0.458769347449978, 1.663189731744556, 0.5242471732867611, 0.2248662204094987, 0.7039155509265654, -0.1617896947906164, -0.5554824097674382, -0.0424873189848508, 0.1254074636538755, -0.0203581284397656, 0.8602267838868098, -0.2118395474933754, 0.053166729259466, -0.0951465568318735, -0.3123141569894048, 0.4474267673824679, -0.141980514514575, 1.1045867047823725, -0.8226437796886538, 0.3222188163749094]| 12.1458063125610352|      0.00390625|[1128, 80, 0, 80]                                                          |  | trying linear partial model with 16 points | iterate success | actual_k=1
      41|[2.023943035542702, -0.1426803509535015, -0.458769347449978, 1.663189731744556, 0.5242471732867611, 0.2248662204094987, 0.7039155509265654, -0.1617896947906164, -0.5554824097674382, -0.0424873189848508, 0.1254074636538755, -0.0203581284397656, 0.8602267838868098, -0.2118395474933754, 0.053166729259466, -0.0951465568318735, -0.3123141569894048, 0.4474267673824679, -0.141980514514575, 1.1045867047823725, -0.8226437796886538, 0.3222188163749094]| 12.1458063125610352|      0.00195312|[1156, 82, 0, 82]                                                          |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
