k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.3503365218639374, 1.0320137403905392]                                        |  5.0006613731384277|      2.00000000|[4, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[1.9092860519886017, 0.9846094697713852]                                        |  3.9548814296722412|      4.00000000|[7, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[2.207774043083191, -2.3631616979837418]                                        |  2.1424643993377686|      8.00000000|[10, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[2.207774043083191, -2.3631616979837418]                                        |  2.1424643993377686|      4.00000000|[13, 0, 1, 5]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       5|[2.207774043083191, -2.3631616979837418]                                        |  2.1424643993377686|      2.00000000|[17, 0, 2, 7]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       6|[2.207774043083191, -2.3631616979837418]                                        |  2.1424643993377686|      1.00000000|[21, 0, 3, 9]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       7|[2.026184394955635, -1.4427104741334915]                                        |  0.1981052458286285|      2.00000000|[25, 0, 3, 10]                                                             | | GPS sucess | actual_k=0
       8|[2.026184394955635, -1.4427104741334915]                                        |  0.1981052458286285|      1.00000000|[28, 0, 4, 12]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       9|[2.026184394955635, -1.4427104741334915]                                        |  0.1981052458286285|      0.50000000|[32, 0, 5, 14]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
      10|[2.0297438309062272, -1.1495448499917984]                                       |  0.0244174413383007|      1.00000000|[36, 0, 5, 15]                                                             | | GPS sucess | actual_k=0
      11|[2.0297438309062272, -1.1495448499917984]                                       |  0.0244174413383007|      0.50000000|[39, 0, 6, 17]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
      12|[2.0297438309062272, -1.1495448499917984]                                       |  0.0244174413383007|      0.25000000|[43, 0, 7, 19]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
      13|[2.0565371841657907, -0.9770283102989197]                                       |  0.0067754359915853|      0.50000000|[47, 0, 7, 20]                                                             | | GPS sucess | actual_k=0
