k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6900506913661957, 1.0149429189041257, 0.7367843389511108, 0.8525077998638153, 0.7959614545106888, 0.9691805373877287, 0.8611490875482559, 0.8299702703952789, 0.7098760008811951, 0.9536748863756657, 1.1036155670881271, 0.5508190393447876, 1.1018618792295456, 1.0013103384990245, 1.0179250985383987, 1.183563470840454, 0.7305318117141724, 0.8649802654981613, 1.0647680088877678, 0.8241280019283295, 1.0400912463665009, 0.8409844487905502]|  1.3162982463836670|      2.00000000|[276, 0, 0, 18]                                                            | | GPS sucess | actual_k=0
       2|[0.2244492471218109, 1.0173577007371932, 0.7736273072659969, 0.9985325038433075, 0.6414411813020706, 0.4464624058455229, 0.3772265464067459, 0.7905251085758209, 0.243987113237381, 1.0124875493347645, 1.4922822266817093, -0.6597377061843872, 0.9795744866132736, 0.8238754768390208, 0.8139525502920151, 1.4630499482154846, 0.1356213688850403, 0.5506042093038559, 0.484013132750988, 1.007163256406784, 1.19623264670372, 0.2938074916601181]|  0.9732322692871094|      4.00000000|[551, 0, 0, 36]                                                            | | GPS sucess | actual_k=0
       3|[-1.1064030230045319, 0.3662232097703964, -0.2090825773775578, -0.1926540434360504, 0.4363118708133698, 0.1214565169066191, 0.1577456444501877, 1.1769475042819977, -0.8956584632396698, 1.1337091140449047, 1.2525708079338074, -1.4479442834854126, 0.0680271834135056, 0.6537273724097759, 0.9619656950235367, 2.349961042404175, 0.5908649861812592, 1.361281082034111, 0.2650849744677544, 1.9725745022296906, -0.0444979965686798, -0.8082070499658585]|  0.7315875887870789|      8.00000000|[826, 0, 0, 54]                                                            | | GPS sucess | actual_k=0
       4|[-0.299832671880722, -0.4000735345762223, 0.3325178883969784, -1.651649385690689, -0.5844685733318329, 0.0289372485131025, -0.705542579293251, -0.3235145509243011, -0.8487859033048153, -0.4473079033195972, -1.1332312226295471, -3.1459357738494873, 1.8487111777067184, -1.4756886165123433, 4.94141449034214, 0.274571418762207, -3.040844351053238, 1.0998041182756424, -0.3842008784413338, 0.6395807564258575, -1.0806038677692413, -1.5378590375185013]|  0.5389530658721924|     16.00000000|[1101, 0, 0, 72]                                                           | | GPS sucess | actual_k=0
       5|[-0.299832671880722, -0.4000735345762223, 0.3325178883969784, -1.651649385690689, -0.5844685733318329, 0.0289372485131025, -0.705542579293251, -0.3235145509243011, -0.8487859033048153, -0.4473079033195972, -1.1332312226295471, -3.1459357738494873, 1.8487111777067184, -1.4756886165123433, 4.94141449034214, 0.274571418762207, -3.040844351053238, 1.0998041182756424, -0.3842008784413338, 0.6395807564258575, -1.0806038677692413, -1.5378590375185013]|  0.5389530658721924|      8.00000000|[1376, 0, 0, 90]                                                           |  | used quadratic model with 276 points | actual_k=0
       6|[-1.3342556655406952, -2.7704944673459977, -1.0191088654100895, -1.2457805275917053, -2.0367593467235565, -0.7597671467810869, -2.6273110061883926, -1.8620083034038544, -0.8221888169646263, -0.6745325364172459, -0.8130593597888947, -3.3257663249969482, 3.976525232195854, -0.4664011399727315, 2.2278322130441666, 0.1441997289657593, -3.1685208678245544, 1.4752634316682816, -1.371555633842945, 4.038615256547928, -4.442123681306839, 0.1513163298368454]|  0.5180069804191589|     16.00000000|[1651, 0, 0, 108]                                                          | | GPS sucess | actual_k=0
       7|[-1.3342556655406952, -2.7704944673459977, -1.0191088654100895, -1.2457805275917053, -2.0367593467235565, -0.7597671467810869, -2.6273110061883926, -1.8620083034038544, -0.8221888169646263, -0.6745325364172459, -0.8130593597888947, -3.3257663249969482, 3.976525232195854, -0.4664011399727315, 2.2278322130441666, 0.1441997289657593, -3.1685208678245544, 1.4752634316682816, -1.371555633842945, 4.038615256547928, -4.442123681306839, 0.1513163298368454]|  0.5180069804191589|      8.00000000|[1926, 0, 0, 126]                                                          |  | used quadratic model with 276 points | actual_k=0
       8|[-1.3342556655406952, -2.7704944673459977, -1.0191088654100895, -1.2457805275917053, -2.0367593467235565, -0.7597671467810869, -2.6273110061883926, -1.8620083034038544, -0.8221888169646263, -0.6745325364172459, -0.8130593597888947, -3.3257663249969482, 3.976525232195854, -0.4664011399727315, 2.2278322130441666, 0.1441997289657593, -3.1685208678245544, 1.4752634316682816, -1.371555633842945, 4.038615256547928, -4.442123681306839, 0.1513163298368454]|  0.5180069804191589|      4.00000000|[2201, 0, 0, 144]                                                          |  | used quadratic model with 276 points | actual_k=0
       9|[-0.8880771994590759, -2.9621467504184693, -0.7330531515181065, -2.1921063661575317, -1.4228618443012238, -1.6831084210425615, -2.6486524417996407, -1.1242009103298187, -0.6506529524922371, -0.6412883885204792, -1.3532800376415253, -4.689362525939941, 4.549540624022484, -0.9553520779591054, 2.435489743947983, 0.1028802245855331, -4.445303976535797, -0.7642406672239304, -0.2394207194447517, 3.19387486577034, -3.8999463617801666, -0.0030618458986282]|  0.4873643517494202|      8.00000000|[2476, 0, 0, 162]                                                          | | GPS sucess | actual_k=0
      10|[-2.0395761132240295, -1.353653660742566, -0.8099049217998981, -0.0414105653762817, -1.5788122564554214, -1.274758817628026, -2.2994649186730385, -2.6446695029735565, -0.0163412168622017, -0.5607912503182888, 1.2858465015888214, -5.3848811984062195, 2.5287898629903793, -1.7245423893909901, 1.0698632895946503, -0.888985350728035, -7.571068346500397, -5.340068742632866, -1.4314759448170662, 3.576289117336273, -3.3280079066753387, -0.8779062181711197]|  0.4633034467697144|     16.00000000|[2751, 0, 0, 180]                                                          | | GPS sucess | actual_k=0
      11|[-2.0395761132240295, -1.353653660742566, -0.8099049217998981, -0.0414105653762817, -1.5788122564554214, -1.274758817628026, -2.2994649186730385, -2.6446695029735565, -0.0163412168622017, -0.5607912503182888, 1.2858465015888214, -5.3848811984062195, 2.5287898629903793, -1.7245423893909901, 1.0698632895946503, -0.888985350728035, -7.571068346500397, -5.340068742632866, -1.4314759448170662, 3.576289117336273, -3.3280079066753387, -0.8779062181711197]|  0.4633034467697144|      8.00000000|[3026, 0, 0, 198]                                                          |  | used quadratic model with 276 points | actual_k=0
