k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 0.1]                                                                      | 87.6860481455954357|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.1793725104302015, -0.4714634925893083]                                       | 17.0255385327495503|      2.00000000|[2, 1, 1, 2]                                                               |  | used linear model with 3 points | iterate success | actual_k=1
       2|[2.1793725104302015, -0.4714634925893083]                                       | 17.0255385327495503|      1.00000000|[5, 1, 2, 4]                                                               |  | used linear model with 3 points | iterate failure | actual_k=1
       3|[1.2816582531899061, -0.0308853895238176]                                       |  4.4906210899353027|      2.00000000|[8, 1, 2, 5]                                                               | | GPS sucess | actual_k=1
       4|[1.2816582531899061, -0.0308853895238176]                                       |  4.4906210899353027|      1.00000000|[9, 2, 3, 7]                                                               |  | used linear model with 3 points | iterate failure | actual_k=1
       5|[0.5230694622963514, 0.6206842749544844]                                        |  1.8785877227783203|      2.00000000|[12, 2, 3, 8]                                                              | | GPS sucess | actual_k=1
       6|[0.5230694622963514, 0.6206842749544844]                                        |  1.8785877227783203|      1.00000000|[14, 2, 4, 10]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
       7|[0.1861182064980116, -0.3208379060796037]                                       |  0.9408514499664307|      2.00000000|[17, 2, 4, 11]                                                             | | GPS sucess | actual_k=1
       8|[0.1861182064980116, -0.3208379060796037]                                       |  0.9408514499664307|      1.00000000|[19, 2, 4, 12]                                                             |  | used linear model with 3 points | actual_k=1
       9|[0.1861182064980116, -0.3208379060796037]                                       |  0.9408514499664307|      0.50000000|[20, 3, 5, 14]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
      10|[0.1861182064980116, -0.3208379060796037]                                       |  0.9408514499664307|      0.25000000|[22, 4, 6, 16]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
      11|[0.3353663594692793, -0.5213995934298769]                                       |  0.9040958285331726|      0.50000000|[25, 4, 6, 17]                                                             | | GPS sucess | actual_k=1
      12|[0.3353663594692793, -0.5213995934298769]                                       |  0.9040958285331726|      0.25000000|[26, 5, 7, 19]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
      13|[0.0880146832436171, -0.5576921203008428]                                       |  0.8003711700439453|      0.50000000|[29, 5, 7, 20]                                                             | | GPS sucess | actual_k=1
