id      | name           | load time (s)  | n      | m      | n_fixed| n_free | vartype
       0|SISSER          |        0.006115|       2|       0|       0|       2|0 0
       1|CHWIRUT2LS      |        0.002615|       3|       0|       0|       3|0 0 0
       2|DENSCHNB        |        0.002698|       2|       0|       0|       2|0 0
       3|GBRAINLS        |         0.01872|       2|       0|       0|       2|0 0
       4|MGH10LS         |        0.003052|       3|       0|       0|       3|0 0 0
       5|QING            |        0.002672|     100|       0|       0|     100|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
       6|BOX3            |        0.002747|       3|       0|       0|       3|0 0 0
       7|DENSCHNC        |        0.002406|       2|       0|       0|       2|0 0
       8|LANCZOS3LS      |        0.002644|       6|       0|       0|       6|0 0 0 0 0 0
       9|GAUSS1LS        |        0.003288|       8|       0|       0|       8|0 0 0 0 0 0 0 0
